Source,Target,Label,inter,cor,p
1848,1355,-1,np,-0.896127224,0.00258811
1719,1355,-1,np,-0.880952381,0.00385032
1835,1627,-1,np,-0.880952381,0.00385032
1744,1627,-1,np,-0.910195959,0.001690861
1718,1627,-1,np,-0.857142857,0.006530017
2235,1627,-1,np,-0.878310066,0.004103934
1667,1627,-1,np,-0.933487642,0.000699402
1921,916,-1,np,-0.970077272,6.55E-05
1936,916,1,pp,0.838338383,0.009323116
2022,916,-1,np,-0.850314646,0.007471415
2006,916,1,pp,0.838338383,0.009323116
1749,916,-1,np,-0.922172222,0.001110817
1819,916,-1,np,-0.910195959,0.001690861
1759,916,-1,np,-0.857142857,0.006530017
2314,1398,-1,np,-0.867532847,0.005249136
2169,1398,-1,np,-0.920678655,0.001174651
2332,1398,-1,np,-0.910195959,0.001690861
2217,1398,-1,np,-0.928571429,0.000862968
2050,1398,-1,np,-0.891630982,0.002928681
2037,1398,-1,np,-0.862290909,0.005872991
1900,1574,1,pp,0.874267171,0.004512386
2279,1574,-1,np,-0.951876318,0.000268663
2106,1574,1,pp,0.867532847,0.005249136
1834,1574,-1,np,-0.915729116,0.001403174
2189,1574,-1,np,-0.838338383,0.009323116
2265,1574,-1,np,-0.904761905,0.002008276
1768,1574,-1,np,-0.896127224,0.00258811
2210,1574,1,pp,0.85548378,0.00675133
2096,1574,-1,np,-0.898219696,0.002438797
1921,781,-1,np,-0.874267171,0.004512386
1947,781,-1,np,-0.904761905,0.002008276
2252,781,-1,np,-0.904761905,0.002008276
1643,781,-1,np,-0.855605819,0.00673489
2031,781,1,pp,0.880952381,0.00385032
2177,781,-1,np,-0.850314646,0.007471415
1819,781,-1,np,-0.922172222,0.001110817
2151,781,-1,np,-0.857142857,0.006530017
1728,781,-1,np,-0.898219696,0.002438797
2282,781,1,pp,0.927105069,0.00091618
1951,781,-1,np,-0.928571429,0.000862968
1907,781,-1,np,-0.850314646,0.007471415
2113,781,1,pp,0.857142857,0.006530017
2150,781,-1,np,-0.922172222,0.001110817
2125,1554,1,pp,0.952380952,0.0002604
2315,1554,-1,np,-0.898219696,0.002438797
1961,1554,-1,np,-0.898219696,0.002438797
2306,1554,-1,np,-0.879581914,0.003980559
2243,61,-1,np,-0.880952381,0.00385032
2198,61,-1,np,-0.857142857,0.006530017
2004,61,1,pp,0.886243434,0.003373343
1998,61,1,pp,0.857142857,0.006530017
2312,61,-1,np,-0.867532847,0.005249136
2257,61,1,pp,0.928571429,0.000862968
2319,61,-1,np,-0.898219696,0.002438797
2321,1284,1,pp,0.857142857,0.006530017
2337,1284,1,pp,0.850314646,0.007471415
1797,1284,1,pp,0.880952381,0.00385032
1821,1284,-1,np,-0.898219696,0.002438797
2165,1284,1,pp,0.862290909,0.005872991
2242,1284,-1,np,-0.886243434,0.003373343
2256,1284,-1,np,-0.883851509,0.003583935
1958,1284,-1,np,-0.880952381,0.00385032
