Source,Target,Label,inter,cor,p
747,582,1,pp,0.976190476,3.31E-05
738,324,1,pp,0.871575794,0.004798257
714,596,-1,np,-0.880952381,0.00385032
732,526,1,pp,0.904761905,0.002008276
723,526,-1,np,-0.928571429,0.000862968
756,42,-1,np,-0.85548378,0.00675133
714,525,1,pp,0.880952381,0.00385032
750,191,-1,np,-0.880952381,0.00385032
756,191,-1,np,-0.867532847,0.005249136
729,272,-1,np,-0.898219696,0.002438797
750,662,-1,np,-0.880952381,0.00385032
726,315,1,pp,0.834748647,0.009929687
712,315,1,pp,0.898219696,0.002438797
748,315,1,pp,0.85548378,0.00675133
721,515,1,pp,0.853912564,0.006965288
726,341,-1,np,-0.945230086,0.000394052
712,341,-1,np,-0.898219696,0.002438797
748,341,-1,np,-0.879581914,0.003980559
756,319,-1,np,-0.85548378,0.00675133
749,700,1,pp,0.928571429,0.000862968
744,700,1,pp,0.928571429,0.000862968
732,643,-1,np,-0.857142857,0.006530017
722,643,1,pp,0.933487642,0.000699402
732,483,1,pp,0.904761905,0.002008276
723,44,-1,np,-0.904761905,0.002008276
730,544,-1,np,-0.880952381,0.00385032
755,544,-1,np,-0.928571429,0.000862968
732,600,1,pp,0.904761905,0.002008276
749,600,1,pp,0.880952381,0.00385032
712,493,1,pp,0.874267171,0.004512386
728,636,-1,np,-0.928571429,0.000862968
748,636,1,pp,0.915729116,0.001403174
740,636,-1,np,-0.880952381,0.00385032
756,636,1,pp,0.915729116,0.001403174
728,455,1,pp,0.857142857,0.006530017
749,517,1,pp,0.857142857,0.006530017
727,287,1,pp,0.878310066,0.004103934
711,287,-1,np,-0.902707567,0.002137647
756,19,1,pp,0.915729116,0.001403174
716,699,-1,np,-0.850314646,0.007471415
746,229,-1,np,-0.896127224,0.00258811
716,24,1,pp,0.886243434,0.003373343
756,504,-1,np,-0.915729116,0.001403174
735,551,1,pp,0.879581914,0.003980559
721,424,1,pp,0.853912564,0.006965288
728,424,-1,np,-0.857142857,0.006530017
748,424,1,pp,0.879581914,0.003980559
711,424,-1,np,-0.853912564,0.006965288
754,424,1,pp,0.880952381,0.00385032
755,164,-1,np,-0.857142857,0.006530017
748,461,1,pp,0.879581914,0.003980559
740,461,-1,np,-0.880952381,0.00385032
756,461,1,pp,0.843434712,0.008503234
728,422,1,pp,0.880952381,0.00385032
756,422,-1,np,-0.879581914,0.003980559
739,376,-1,np,-0.850314646,0.007471415
733,376,-1,np,-0.862290909,0.005872991
725,475,1,pp,0.98802352,4.26E-06
753,408,-1,np,-0.867532847,0.005249136
749,185,1,pp,0.952380952,0.0002604
744,185,1,pp,0.928571429,0.000862968
723,372,-1,np,-0.857142857,0.006530017
737,708,1,pp,0.898219696,0.002438797
721,309,-1,np,-0.878310066,0.004103934
737,224,-1,np,-0.946124747,0.000375312
729,590,-1,np,-0.922172222,0.001110817
732,590,1,pp,0.880952381,0.00385032
749,590,1,pp,0.880952381,0.00385032
744,590,1,pp,0.904761905,0.002008276
714,117,-1,np,-0.857142857,0.006530017
717,30,1,pp,0.904761905,0.002008276
734,30,1,pp,0.857142857,0.006530017
738,157,1,pp,0.90840294,0.001791685
740,609,-1,np,-0.857142857,0.006530017
754,609,1,pp,0.904761905,0.002008276
733,465,-1,np,-0.838338383,0.009323116
715,556,-1,np,-0.952380952,0.0002604
742,399,-1,np,-0.874267171,0.004512386
711,399,-1,np,-0.878310066,0.004103934
742,484,1,pp,0.898219696,0.002438797
753,484,-1,np,-0.98802352,4.26E-06
716,239,-1,np,-0.946124747,0.000375312
727,588,-1,np,-0.927105069,0.00091618
738,170,1,pp,0.871575794,0.004798257
720,205,1,pp,0.874267171,0.004512386
748,149,-1,np,-0.879581914,0.003980559
756,149,-1,np,-0.879581914,0.003980559
737,200,-1,np,-0.898219696,0.002438797
756,381,-1,np,-0.927778183,0.000891495
732,22,1,pp,0.880952381,0.00385032
756,562,1,pp,0.963925385,0.000114214
745,562,-1,np,-0.880952381,0.00385032
730,40,-1,np,-0.857142857,0.006530017
749,40,-1,np,-0.952380952,0.0002604
745,40,-1,np,-0.857142857,0.006530017
728,565,-1,np,-0.880952381,0.00385032
756,565,1,pp,0.951876318,0.000268663
745,565,-1,np,-0.904761905,0.002008276
713,310,1,pp,0.898219696,0.002438797
750,310,1,pp,0.857142857,0.006530017
711,310,-1,np,-0.902707567,0.002137647
751,456,1,pp,0.904761905,0.002008276
737,38,1,pp,0.898219696,0.002438797
716,693,-1,np,-0.898219696,0.002438797
728,307,1,pp,0.880952381,0.00385032
756,307,-1,np,-0.891630982,0.002928681
736,514,-1,np,-0.880952381,0.00385032
728,1,1,pp,0.928571429,0.000862968
756,1,-1,np,-0.843434712,0.008503234
735,96,-1,np,-0.843434712,0.008503234
753,96,1,pp,0.927778183,0.000891495
747,76,-1,np,-0.904761905,0.002008276
733,76,-1,np,-0.850314646,0.007471415
712,129,1,pp,0.838338383,0.009323116
729,618,-1,np,-0.946124747,0.000375312
735,482,-1,np,-0.843434712,0.008503234
728,365,-1,np,-0.880952381,0.00385032
755,365,-1,np,-0.857142857,0.006530017
756,365,1,pp,0.915729116,0.001403174
745,365,-1,np,-0.928571429,0.000862968
745,623,1,pp,0.857142857,0.006530017
722,674,1,pp,0.897117993,0.002516695
712,647,1,pp,0.886243434,0.003373343
751,303,-1,np,-0.880952381,0.00385032
749,575,1,pp,0.928571429,0.000862968
726,312,-1,np,-0.834748647,0.009929687
748,312,-1,np,-0.891630982,0.002928681
740,312,1,pp,0.880952381,0.00385032
734,592,1,pp,0.880952381,0.00385032
714,592,1,pp,0.880952381,0.00385032
728,231,-1,np,-0.857142857,0.006530017
756,176,-1,np,-0.843434712,0.008503234
756,440,-1,np,-0.927778183,0.000891495
714,58,-1,np,-0.880952381,0.00385032
753,107,-1,np,-0.843434712,0.008503234
712,597,1,pp,0.850314646,0.007471415
735,225,1,pp,0.891630982,0.002928681
729,47,-1,np,-0.910195959,0.001690861
