Source,Target,Label,inter,cor,p
2137,914,-1,np,-0.922172222,0.001110817
1754,1399,-1,np,-0.838338383,0.009323116
2025,1399,-1,np,-0.910195959,0.001690861
1825,1399,-1,np,-0.872871561,0.004659215
1688,1399,1,pp,0.850314646,0.007471415
2167,1575,-1,np,-0.857142857,0.006530017
2252,1575,1,pp,0.904761905,0.002008276
2044,1575,1,pp,0.878310066,0.004103934
2114,1575,-1,np,-0.838338383,0.009323116
1965,1575,1,pp,0.843434712,0.008503234
1957,1575,1,pp,0.850314646,0.007471415
1902,1575,1,pp,0.850314646,0.007471415
1702,1575,1,pp,0.857142857,0.006530017
1968,778,-1,np,-0.934148484,0.000679106
2233,778,-1,np,-0.880952381,0.00385032
1817,778,-1,np,-0.915729116,0.001403174
2052,778,-1,np,-0.927778183,0.000891495
1869,778,-1,np,-0.843434712,0.008503234
2234,778,-1,np,-0.879581914,0.003980559
2001,778,-1,np,-0.922172222,0.001110817
2170,778,-1,np,-0.963925385,0.000114214
1848,778,-1,np,-0.857142857,0.006530017
1950,778,-1,np,-0.934148484,0.000679106
1785,778,-1,np,-0.85548378,0.00675133
2016,778,-1,np,-0.848625129,0.007716947
2083,778,-1,np,-0.843434712,0.008503234
2077,1555,-1,np,-0.927778183,0.000891495
1803,1555,-1,np,-0.922172222,0.001110817
1978,1555,1,pp,0.853912564,0.006965288
1641,60,1,pp,0.904761905,0.002008276
1982,60,-1,np,-0.898219696,0.002438797
2147,1285,1,pp,0.880952381,0.00385032
1850,1285,1,pp,0.952380952,0.0002604
2265,1285,1,pp,0.857142857,0.006530017
2275,1285,-1,np,-0.838338383,0.009323116
1838,1285,1,pp,0.946124747,0.000375312
1747,1285,1,pp,0.857142857,0.006530017
1865,1285,1,pp,0.857142857,0.006530017
2034,1285,1,pp,0.880952381,0.00385032
2140,1285,1,pp,0.857142857,0.006530017
1989,1285,1,pp,0.857142857,0.006530017
2196,1285,-1,np,-0.862290909,0.005872991
2169,1285,-1,np,-0.928571429,0.000862968
1936,1285,-1,np,-0.976190476,3.31E-05
1708,1554,-1,np,-0.970077272,6.55E-05
2295,1554,-1,np,-0.850314646,0.007471415
1815,1554,-1,np,-0.880952381,0.00385032
2183,1554,1,pp,0.952380952,0.0002604
2205,1554,-1,np,-0.946124747,0.000375312
1893,1554,-1,np,-0.857142857,0.006530017
1697,1554,-1,np,-0.928571429,0.000862968
2189,1554,-1,np,-0.838338383,0.009323116
1727,1554,-1,np,-0.857142857,0.006530017
2149,1554,-1,np,-0.838338383,0.009323116
1750,1554,-1,np,-0.874267171,0.004512386
1923,1554,-1,np,-0.862290909,0.005872991
1846,1554,-1,np,-1,0
1686,1554,1,pp,0.904761905,0.002008276
