Source,Target,Label,inter,cor,p
1926,935,1,pp,0.862290909,0.005872991
2251,664,-1,np,-0.838338383,0.009323116
2238,664,1,pp,0.850314646,0.007471415
1814,664,-1,np,-0.853912564,0.006965288
2129,664,1,pp,0.904761905,0.002008276
1888,664,-1,np,-0.95810101,0.000178157
1704,1035,1,pp,0.857142857,0.006530017
1872,1035,1,pp,0.928571429,0.000862968
2141,1035,1,pp,0.834748647,0.009929687
2297,1035,-1,np,-0.838338383,0.009323116
2292,1035,-1,np,-0.867532847,0.005249136
2177,1035,1,pp,0.928571429,0.000862968
1851,1035,1,pp,0.862290909,0.005872991
1784,1035,1,pp,0.898219696,0.002438797
1753,1035,-1,np,-0.904761905,0.002008276
1930,1198,-1,np,-0.904761905,0.002008276
2277,1198,-1,np,-0.952380952,0.0002604
1678,1198,-1,np,-0.862290909,0.005872991
1991,1198,1,pp,0.850314646,0.007471415
2152,1198,1,pp,0.886243434,0.003373343
2149,1198,-1,np,-0.891630982,0.002928681
1680,1198,-1,np,-0.838338383,0.009323116
2098,1198,1,pp,0.850314646,0.007471415
1786,1198,1,pp,0.904761905,0.002008276
1741,1198,1,pp,0.843434712,0.008503234
2119,1198,-1,np,-0.880952381,0.00385032
1933,1198,-1,np,-0.857142857,0.006530017
2247,1198,-1,np,-0.946124747,0.000375312
2276,1198,-1,np,-0.850314646,0.007471415
2056,1198,-1,np,-0.934148484,0.000679106
2011,1198,-1,np,-0.874267171,0.004512386
1969,1198,-1,np,-0.857142857,0.006530017
1946,1198,-1,np,-0.928571429,0.000862968
1957,1198,-1,np,-0.976190476,3.31E-05
2254,1198,-1,np,-0.98802352,4.26E-06
2297,18,-1,np,-0.874267171,0.004512386
1929,18,1,pp,0.880952381,0.00385032
2304,18,1,pp,0.874267171,0.004512386
2177,18,1,pp,0.928571429,0.000862968
1851,18,1,pp,0.886243434,0.003373343
1690,18,1,pp,0.904761905,0.002008276
1753,18,-1,np,-0.880952381,0.00385032
2141,70,1,pp,0.969781517,6.74E-05
1726,70,-1,np,-0.857142857,0.006530017
2224,70,1,pp,0.85548378,0.00675133
2341,70,-1,np,-0.857142857,0.006530017
2256,1345,-1,np,-0.850314646,0.007471415
2298,1345,-1,np,-0.904761905,0.002008276
1806,1345,-1,np,-0.910195959,0.001690861
2063,1345,1,pp,0.838338383,0.009323116
1950,537,-1,np,-0.904761905,0.002008276
1841,537,-1,np,-0.857142857,0.006530017
1754,537,-1,np,-0.880952381,0.00385032
2240,537,1,pp,0.838338383,0.009323116
1775,537,-1,np,-0.85548378,0.00675133
2099,537,1,pp,0.850314646,0.007471415
1716,537,-1,np,-0.857142857,0.006530017
2094,537,1,pp,0.838338383,0.009323116
1937,537,1,pp,0.874267171,0.004512386
2233,537,-1,np,-0.927105069,0.00091618
2178,537,-1,np,-0.904761905,0.002008276
1671,537,1,pp,0.902707567,0.002137647
1907,537,-1,np,-0.898219696,0.002438797
2241,1498,1,pp,0.850314646,0.007471415
2327,1498,-1,np,-0.886243434,0.003373343
2344,1498,-1,np,-0.857142857,0.006530017
1796,1498,-1,np,-0.857142857,0.006530017
1658,1498,1,pp,0.976190476,3.31E-05
1942,1498,1,pp,0.934148484,0.000679106
2165,1498,-1,np,-0.874267171,0.004512386
2319,1498,1,pp,0.838338383,0.009323116
1780,1498,1,pp,0.847024363,0.007954271
1918,1498,1,pp,0.853912564,0.006965288
1748,128,1,pp,0.85548378,0.00675133
1785,128,1,pp,0.898219696,0.002438797
1895,128,1,pp,0.857142857,0.006530017
1884,128,1,pp,0.838338383,0.009323116
2267,128,-1,np,-0.903680049,0.002075752
1684,1076,-1,np,-0.878310066,0.004103934
2089,1076,-1,np,-0.913223321,0.001529138
1772,1076,-1,np,-0.853912564,0.006965288
1834,1076,-1,np,-0.843434712,0.008503234
1773,1076,1,pp,0.904761905,0.002008276
2176,1076,1,pp,0.904761905,0.002008276
2211,1076,-1,np,-0.902707567,0.002137647
1882,1076,-1,np,-0.862488692,0.005848633
2328,1076,1,pp,0.901853335,0.002192994
2256,40,1,pp,0.838338383,0.009323116
1851,40,-1,np,-0.838338383,0.009323116
1768,40,1,pp,0.862290909,0.005872991
1717,187,-1,np,-0.898219696,0.002438797
2124,47,-1,np,-0.880952381,0.00385032
1911,47,-1,np,-0.850314646,0.007471415
1976,47,-1,np,-0.850314646,0.007471415
1666,47,-1,np,-0.975900073,3.44E-05
2096,47,-1,np,-0.857142857,0.006530017
1710,47,-1,np,-0.898219696,0.002438797
2189,47,-1,np,-0.878310066,0.004103934
1973,47,-1,np,-0.838338383,0.009323116
2055,47,-1,np,-0.850314646,0.007471415
2185,47,-1,np,-0.883851509,0.003583935
2058,47,-1,np,-0.880952381,0.00385032
1905,47,-1,np,-0.898219696,0.002438797
2097,47,-1,np,-0.880952381,0.00385032
1887,47,-1,np,-0.904761905,0.002008276
1988,47,1,pp,0.951502571,0.000274893
2163,1496,-1,np,-0.85548378,0.00675133
2085,1496,1,pp,0.850314646,0.007471415
1936,1496,1,pp,0.928571429,0.000862968
2221,1496,1,pp,0.843434712,0.008503234
2317,1496,1,pp,0.857142857,0.006530017
2208,1496,1,pp,0.838338383,0.009323116
2069,1496,1,pp,0.922172222,0.001110817
1997,1496,1,pp,0.922172222,0.001110817
1951,1496,-1,np,-0.904761905,0.002008276
1987,1496,-1,np,-0.850314646,0.007471415
1844,1496,-1,np,-0.857142857,0.006530017
1694,1496,-1,np,-0.915729116,0.001403174
1924,1496,-1,np,-0.904761905,0.002008276
2199,1496,-1,np,-0.976190476,3.31E-05
1652,1496,-1,np,-0.838338383,0.009323116
2341,1496,1,pp,0.904761905,0.002008276
1784,1496,-1,np,-0.838338383,0.009323116
2043,1496,-1,np,-0.857142857,0.006530017
2289,1496,-1,np,-0.874267171,0.004512386
2058,787,1,pp,0.857142857,0.006530017
2337,1459,-1,np,-0.874267171,0.004512386
2019,1459,-1,np,-0.857142857,0.006530017
1848,1459,1,pp,0.836501913,0.009630399
2012,1459,1,pp,0.904761905,0.002008276
1871,1459,-1,np,-0.874267171,0.004512386
2175,1459,-1,np,-0.880952381,0.00385032
1722,1459,1,pp,0.970077272,6.55E-05
1730,1525,-1,np,-0.880952381,0.00385032
2336,1525,-1,np,-0.904761905,0.002008276
2002,1525,-1,np,-0.838338383,0.009323116
1659,1525,-1,np,-0.904761905,0.002008276
2027,1525,1,pp,0.928571429,0.000862968
2145,1525,1,pp,0.952380952,0.0002604
2237,1525,-1,np,-0.849805035,0.007544942
1803,1525,1,pp,0.963624112,0.000117073
1708,1525,1,pp,0.850314646,0.007471415
2231,1525,1,pp,0.843434712,0.008503234
1830,1525,-1,np,-0.891630982,0.002928681
1829,111,1,pp,0.880952381,0.00385032
1659,111,1,pp,0.880952381,0.00385032
2340,111,-1,np,-0.880952381,0.00385032
1677,111,1,pp,0.874267171,0.004512386
2209,111,1,pp,0.898219696,0.002438797
2337,1200,-1,np,-0.898219696,0.002438797
1686,1200,1,pp,0.891630982,0.002928681
1666,1200,-1,np,-0.878310066,0.004103934
1871,1200,-1,np,-0.898219696,0.002438797
2189,1200,-1,np,-0.902707567,0.002137647
2313,1200,-1,np,-0.952380952,0.0002604
2009,1200,-1,np,-0.857142857,0.006530017
1703,1200,-1,np,-0.886243434,0.003373343
2185,1200,-1,np,-0.847024363,0.007954271
1651,1200,-1,np,-0.898219696,0.002438797
2097,1200,-1,np,-0.857142857,0.006530017
1887,1200,-1,np,-0.904761905,0.002008276
1959,1469,1,pp,0.896127224,0.00258811
1819,1469,1,pp,0.98802352,4.26E-06
2064,1469,-1,np,-0.874267171,0.004512386
1978,1469,1,pp,0.880952381,0.00385032
1912,1469,1,pp,0.880952381,0.00385032
1781,1469,1,pp,0.886243434,0.003373343
1825,1469,1,pp,0.878310066,0.004103934
2247,1469,-1,np,-0.838338383,0.009323116
2294,505,-1,np,-0.904761905,0.002008276
1859,505,1,pp,0.857142857,0.006530017
2284,505,1,pp,0.928571429,0.000862968
2196,505,1,pp,0.904761905,0.002008276
1931,505,1,pp,0.939827251,0.000520392
1913,505,1,pp,0.867532847,0.005249136
1729,505,-1,np,-0.880952381,0.00385032
2267,505,-1,np,-0.915729116,0.001403174
1733,505,1,pp,0.903680049,0.002075752
2300,312,1,pp,0.862290909,0.005872991
2290,312,-1,np,-0.838338383,0.009323116
1656,312,-1,np,-0.853912564,0.006965288
2027,312,1,pp,0.880952381,0.00385032
2237,312,-1,np,-0.875172349,0.004418764
1903,312,-1,np,-0.904761905,0.002008276
1830,312,-1,np,-0.843434712,0.008503234
2047,207,-1,np,-0.857142857,0.006530017
2020,207,1,pp,0.898219696,0.002438797
2071,207,1,pp,0.915729116,0.001403174
2150,207,-1,np,-0.850314646,0.007471415
2214,207,-1,np,-0.927105069,0.00091618
1899,207,-1,np,-0.840082559,0.009037111
2121,207,-1,np,-0.922172222,0.001110817
2155,207,-1,np,-0.951502571,0.000274893
2250,207,1,pp,0.850314646,0.007471415
2252,207,-1,np,-0.946124747,0.000375312
1741,207,1,pp,0.867532847,0.005249136
2047,1580,-1,np,-0.857142857,0.006530017
2182,1580,-1,np,-0.904761905,0.002008276
1873,1580,1,pp,0.898219696,0.002438797
2121,1580,-1,np,-0.898219696,0.002438797
1860,1580,-1,np,-0.904761905,0.002008276
2250,1580,1,pp,0.874267171,0.004512386
1807,1580,1,pp,0.891630982,0.002928681
1773,1580,1,pp,0.880952381,0.00385032
1787,1580,-1,np,-0.872871561,0.004659215
2235,1580,-1,np,-0.904761905,0.002008276
1691,1580,1,pp,0.874267171,0.004512386
2244,1580,1,pp,0.880952381,0.00385032
2274,1580,-1,np,-0.874267171,0.004512386
2066,1580,-1,np,-0.850314646,0.007471415
2082,1580,-1,np,-0.857142857,0.006530017
1882,1580,-1,np,-0.837121378,0.009526041
2303,1580,-1,np,-0.878310066,0.004103934
1670,1580,-1,np,-0.976190476,3.31E-05
1905,1580,-1,np,-0.850314646,0.007471415
1802,1580,-1,np,-0.904761905,0.002008276
