Source,Target,Label,inter,cor,p
1808,1515,-1,np,-0.886243434,0.003373343
2350,1515,-1,np,-0.848625129,0.007716947
1984,1515,-1,np,-0.95810101,0.000178157
2064,1515,-1,np,-0.850314646,0.007471415
2303,1515,-1,np,-0.898219696,0.002438797
1920,1515,-1,np,-0.857142857,0.006530017
2176,1515,-1,np,-0.880952381,0.00385032
1686,1515,-1,np,-0.874267171,0.004512386
2169,1359,1,pp,0.850314646,0.007471415
1756,1359,1,pp,0.902707567,0.002137647
2066,1359,1,pp,0.88949918,0.003099782
1760,1359,-1,np,-0.886243434,0.003373343
2207,1359,1,pp,0.952380952,0.0002604
1865,1359,1,pp,0.857142857,0.006530017
1954,1359,1,pp,0.886243434,0.003373343
2102,1359,-1,np,-0.880952381,0.00385032
1661,1359,1,pp,0.836501913,0.009630399
2156,1359,1,pp,0.857142857,0.006530017
1654,1359,1,pp,0.843434712,0.008503234
2259,1630,-1,np,-0.891630982,0.002928681
2079,1630,-1,np,-0.98802352,4.26E-06
2091,1630,-1,np,-0.838338383,0.009323116
1965,1630,1,pp,0.898219696,0.002438797
1703,1630,1,pp,0.838338383,0.009323116
1745,1630,-1,np,-0.857142857,0.006530017
1868,1630,1,pp,0.880952381,0.00385032
1918,1630,1,pp,0.857142857,0.006530017
1895,1630,-1,np,-0.90840294,0.001791685
2164,1630,-1,np,-0.886243434,0.003373343
2260,1630,1,pp,0.952380952,0.0002604
1822,1630,1,pp,0.857142857,0.006530017
1740,1630,1,pp,0.904761905,0.002008276
2337,1630,-1,np,-0.85548378,0.00675133
1906,1630,-1,np,-0.915729116,0.001403174
2216,918,-1,np,-0.880952381,0.00385032
1732,918,-1,np,-0.857142857,0.006530017
1833,918,-1,np,-0.928571429,0.000862968
1827,918,-1,np,-0.843434712,0.008503234
2039,918,-1,np,-0.857142857,0.006530017
2143,918,1,pp,0.879581914,0.003980559
1710,918,1,pp,0.903680049,0.002075752
1939,918,-1,np,-0.898219696,0.002438797
1867,918,-1,np,-0.946124747,0.000375312
1782,918,1,pp,0.853912564,0.006965288
2067,918,1,pp,0.838338383,0.009323116
2149,918,-1,np,-0.857142857,0.006530017
2238,1402,-1,np,-0.951876318,0.000268663
1959,1402,-1,np,-0.928571429,0.000862968
1738,1402,-1,np,-0.928571429,0.000862968
2041,1402,-1,np,-0.879581914,0.003980559
2154,1402,-1,np,-0.853912564,0.006965288
2332,1402,1,pp,0.853912564,0.006965288
2014,1402,-1,np,-0.933487642,0.000699402
2126,1402,1,pp,0.857142857,0.006530017
1694,1402,1,pp,0.898219696,0.002438797
2205,1402,1,pp,0.879581914,0.003980559
2248,1577,-1,np,-0.880952381,0.00385032
2063,1577,-1,np,-0.879581914,0.003980559
2361,1577,-1,np,-0.874267171,0.004512386
2036,1577,1,pp,0.867532847,0.005249136
1857,1577,-1,np,-0.910195959,0.001690861
2319,1577,1,pp,0.85548378,0.00675133
2326,1577,1,pp,0.922172222,0.001110817
2284,1577,1,pp,0.880952381,0.00385032
1910,1577,1,pp,0.951876318,0.000268663
2082,1577,1,pp,0.850314646,0.007471415
2127,1577,1,pp,0.891630982,0.002928681
1854,1577,1,pp,0.851064496,0.007364059
1904,1577,1,pp,0.857142857,0.006530017
2002,1577,1,pp,0.857142857,0.006530017
1713,1577,1,pp,0.880952381,0.00385032
2104,1577,-1,np,-0.886243434,0.003373343
1870,782,-1,np,-0.867532847,0.005249136
1782,782,1,pp,0.853912564,0.006965288
1707,782,1,pp,0.838338383,0.009323116
2142,782,1,pp,0.847024363,0.007954271
2170,1557,-1,np,-0.879581914,0.003980559
2201,1557,-1,np,-0.850314646,0.007471415
2141,1557,1,pp,0.934148484,0.000679106
2330,1557,1,pp,0.904761905,0.002008276
1990,1557,-1,np,-0.880952381,0.00385032
1690,61,-1,np,-0.874267171,0.004512386
2172,61,1,pp,0.898219696,0.002438797
2000,61,1,pp,0.872871561,0.004659215
1840,61,-1,np,-0.85548378,0.00675133
2078,61,1,pp,0.880952381,0.00385032
2151,61,1,pp,0.850314646,0.007471415
1747,1288,-1,np,-0.951502571,0.000274893
2172,1288,-1,np,-0.850314646,0.007471415
2345,1288,-1,np,-0.838338383,0.009323116
2334,1288,-1,np,-0.850314646,0.007471415
2006,1288,-1,np,-0.904761905,0.002008276
2113,1288,-1,np,-0.915729116,0.001403174
