Source,Target,Label,inter,cor,p
1860,1501,-1,np,-0.932954371,0.000716066
1988,1501,1,pp,0.875172349,0.004418764
2128,1501,1,pp,0.857142857,0.006530017
1837,1501,1,pp,0.886243434,0.003373343
2145,1501,1,pp,0.857142857,0.006530017
1923,1501,1,pp,0.838338383,0.009323116
1782,128,1,pp,0.850314646,0.007471415
1948,128,1,pp,0.857142857,0.006530017
2203,128,-1,np,-0.880952381,0.00385032
1724,128,-1,np,-0.922172222,0.001110817
1669,128,-1,np,-0.952380952,0.0002604
1653,128,1,pp,0.898219696,0.002438797
1684,128,-1,np,-0.970077272,6.55E-05
2262,128,1,pp,0.862290909,0.005872991
1960,128,-1,np,-0.857142857,0.006530017
2057,128,-1,np,-0.904761905,0.002008276
2058,128,-1,np,-0.850314646,0.007471415
1739,1077,-1,np,-0.922172222,0.001110817
2024,1077,-1,np,-0.904761905,0.002008276
1669,40,-1,np,-0.904761905,0.002008276
1653,40,1,pp,0.922172222,0.001110817
2115,40,1,pp,0.898219696,0.002438797
1846,40,-1,np,-0.879581914,0.003980559
2286,40,-1,np,-0.867532847,0.005249136
2141,189,-1,np,-0.922172222,0.001110817
2060,189,1,pp,0.909241209,0.001744075
2232,189,-1,np,-0.946124747,0.000375312
2106,189,1,pp,0.928571429,0.000862968
2085,189,1,pp,0.879581914,0.003980559
2112,189,1,pp,0.910195959,0.001690861
2285,189,1,pp,0.922172222,0.001110817
2178,189,1,pp,0.904761905,0.002008276
2011,47,-1,np,-0.862290909,0.005872991
2064,47,-1,np,-0.857142857,0.006530017
2224,47,-1,np,-0.886243434,0.003373343
2277,47,1,pp,0.838338383,0.009323116
1722,47,-1,np,-0.904761905,0.002008276
1735,47,1,pp,0.886243434,0.003373343
1809,1499,-1,np,-0.850314646,0.007471415
2090,1499,-1,np,-0.862290909,0.005872991
1971,1499,1,pp,0.946124747,0.000375312
1972,1499,-1,np,-0.850314646,0.007471415
1655,788,1,pp,0.952380952,0.0002604
2291,788,-1,np,-0.880952381,0.00385032
2220,788,1,pp,0.838338383,0.009323116
2320,788,1,pp,0.857142857,0.006530017
2203,788,-1,np,-0.904761905,0.002008276
1724,788,-1,np,-0.898219696,0.002438797
1791,788,-1,np,-0.850314646,0.007471415
1930,788,-1,np,-0.857142857,0.006530017
2026,788,-1,np,-0.898219696,0.002438797
1684,788,-1,np,-0.838338383,0.009323116
2057,788,-1,np,-0.880952381,0.00385032
1785,788,-1,np,-0.880952381,0.00385032
1776,1462,-1,np,-0.85548378,0.00675133
1782,1462,-1,np,-0.874267171,0.004512386
1948,1462,-1,np,-0.880952381,0.00385032
1669,1462,1,pp,0.928571429,0.000862968
1684,1462,1,pp,0.850314646,0.007471415
