Source,Target,Label,inter,cor,p
1793,305,-1,np,-0.951502571,0.000274893
1918,305,-1,np,-0.880952381,0.00385032
1756,305,1,pp,0.836501913,0.009630399
2206,305,1,pp,0.878310066,0.004103934
1754,305,1,pp,0.903680049,0.002075752
2192,202,1,pp,0.922172222,0.001110817
1798,202,-1,np,-0.862488692,0.005848633
1938,202,1,pp,0.891630982,0.002928681
2192,1538,1,pp,0.838338383,0.009323116
1837,1538,1,pp,0.880952381,0.00385032
1890,1538,1,pp,0.857142857,0.006530017
1679,1538,1,pp,0.874267171,0.004512386
1793,563,1,pp,0.951502571,0.000274893
1756,563,-1,np,-0.933487642,0.000699402
1896,582,1,pp,0.90840294,0.001791685
1965,582,-1,np,-0.904761905,0.002008276
1756,967,-1,np,-0.860748345,0.006065193
1950,967,-1,np,-0.857142857,0.006530017
1678,967,1,pp,0.904761905,0.002008276
2162,967,1,pp,0.902707567,0.002137647
1599,458,-1,np,-0.857142857,0.006530017
2120,458,-1,np,-0.891630982,0.002928681
1746,458,-1,np,-0.857142857,0.006530017
1950,458,-1,np,-0.928571429,0.000862968
1774,458,-1,np,-0.880952381,0.00385032
1962,458,-1,np,-0.946124747,0.000375312
1836,458,-1,np,-0.928571429,0.000862968
2192,50,-1,np,-0.862290909,0.005872991
2144,50,1,pp,0.857142857,0.006530017
2076,50,-1,np,-0.896127224,0.00258811
1933,50,-1,np,-0.850314646,0.007471415
1621,50,1,pp,0.850314646,0.007471415
1860,1499,1,pp,0.857142857,0.006530017
2120,1499,1,pp,0.843434712,0.008503234
1977,1499,1,pp,0.886243434,0.003373343
1739,1499,1,pp,0.927778183,0.000891495
1802,1499,1,pp,0.880952381,0.00385032
2060,1499,1,pp,0.838338383,0.009323116
1633,1499,-1,np,-0.904761905,0.002008276
2120,46,1,pp,0.915729116,0.001403174
2152,46,1,pp,0.838338383,0.009323116
1746,46,1,pp,0.857142857,0.006530017
1739,46,1,pp,0.927778183,0.000891495
1802,46,1,pp,0.857142857,0.006530017
1962,46,1,pp,0.898219696,0.002438797
1751,46,1,pp,0.891630982,0.002928681
1927,46,1,pp,0.857142857,0.006530017
2060,46,1,pp,0.898219696,0.002438797
2000,46,1,pp,0.857142857,0.006530017
1836,46,1,pp,0.952380952,0.0002604
1895,1298,1,pp,0.85548378,0.00675133
1787,1298,-1,np,-0.857142857,0.006530017
1989,1298,1,pp,0.850314646,0.007471415
1975,1298,1,pp,0.976190476,3.31E-05
1892,539,-1,np,-0.932954371,0.000716066
1985,539,-1,np,-0.838338383,0.009323116
1715,539,-1,np,-0.857142857,0.006530017
2082,539,-1,np,-0.880952381,0.00385032
2064,539,1,pp,0.898219696,0.002438797
2142,1483,-1,np,-0.850314646,0.007471415
2182,1483,1,pp,0.898219696,0.002438797
1765,1483,-1,np,-0.904761905,0.002008276
1939,1483,1,pp,0.951876318,0.000268663
2157,1483,1,pp,0.934148484,0.000679106
2146,1483,-1,np,-0.874267171,0.004512386
1992,1483,1,pp,0.915729116,0.001403174
1762,177,1,pp,0.928571429,0.000862968
2131,177,1,pp,0.834748647,0.009929687
1621,177,-1,np,-0.934148484,0.000679106
2165,177,-1,np,-0.862290909,0.005872991
1972,177,-1,np,-0.838338383,0.009323116
2173,177,-1,np,-0.952380952,0.0002604
1845,177,1,pp,0.880952381,0.00385032
1937,957,-1,np,-0.85548378,0.00675133
1622,957,-1,np,-0.904761905,0.002008276
1898,957,1,pp,0.850314646,0.007471415
1693,957,-1,np,-0.928571429,0.000862968
2019,957,1,pp,0.850314646,0.007471415
1873,957,1,pp,0.857142857,0.006530017
1955,957,-1,np,-0.904761905,0.002008276
1978,957,1,pp,0.922172222,0.001110817
1639,957,-1,np,-0.850314646,0.007471415
1871,957,-1,np,-0.927105069,0.00091618
2108,957,-1,np,-0.946124747,0.000375312
2081,957,-1,np,-0.843434712,0.008503234
1658,957,-1,np,-0.886243434,0.003373343
1953,957,-1,np,-0.95810101,0.000178157
1941,957,-1,np,-0.843434712,0.008503234
2197,957,1,pp,0.952380952,0.0002604
1702,957,-1,np,-0.934148484,0.000679106
2052,957,-1,np,-0.857142857,0.006530017
2105,1162,-1,np,-0.898219696,0.002438797
2156,1162,-1,np,-0.910195959,0.001690861
1676,1162,-1,np,-0.874267171,0.004512386
1677,1162,-1,np,-0.880952381,0.00385032
2167,1162,-1,np,-0.867532847,0.005249136
1826,1162,-1,np,-0.874267171,0.004512386
1948,1162,-1,np,-0.850314646,0.007471415
1896,1162,-1,np,-0.847024363,0.007954271
1886,1162,-1,np,-0.928571429,0.000862968
2005,1162,-1,np,-0.879581914,0.003980559
1994,1162,1,pp,0.874267171,0.004512386
1855,1162,1,pp,0.88949918,0.003099782
2044,1162,-1,np,-0.857142857,0.006530017
1605,1162,-1,np,-0.904761905,0.002008276
1986,1162,1,pp,0.857142857,0.006530017
2015,1162,-1,np,-0.898219696,0.002438797
2050,1162,-1,np,-0.850314646,0.007471415
1737,1162,1,pp,0.886243434,0.003373343
1688,1162,1,pp,0.904761905,0.002008276
1944,989,1,pp,0.952380952,0.0002604
1963,989,1,pp,0.904761905,0.002008276
1660,989,1,pp,0.857142857,0.006530017
1913,989,1,pp,0.857142857,0.006530017
2119,989,-1,np,-0.850314646,0.007471415
1821,989,1,pp,0.874267171,0.004512386
1621,989,-1,np,-0.874267171,0.004512386
1739,42,1,pp,0.879581914,0.003980559
2178,42,1,pp,0.904761905,0.002008276
1877,42,-1,np,-0.874267171,0.004512386
2073,42,1,pp,0.850314646,0.007471415
2192,877,-1,np,-0.838338383,0.009323116
1864,846,1,pp,0.880952381,0.00385032
1896,846,1,pp,0.883851509,0.003583935
2040,846,1,pp,0.886243434,0.003373343
1856,846,1,pp,0.857142857,0.006530017
1635,846,1,pp,0.904761905,0.002008276
1935,846,1,pp,0.850314646,0.007471415
2192,240,1,pp,0.874267171,0.004512386
2038,240,-1,np,-0.880952381,0.00385032
1621,240,-1,np,-0.898219696,0.002438797
2165,240,-1,np,-0.898219696,0.002438797
1801,240,-1,np,-0.880952381,0.00385032
2098,1052,-1,np,-0.878310066,0.004103934
1728,1052,1,pp,0.898219696,0.002438797
1919,1052,1,pp,0.880952381,0.00385032
1989,1052,-1,np,-0.886243434,0.003373343
2117,1052,-1,np,-0.898219696,0.002438797
1696,1052,-1,np,-0.85548378,0.00675133
2102,782,1,pp,0.843434712,0.008503234
1713,782,1,pp,0.857142857,0.006530017
2159,782,-1,np,-0.904761905,0.002008276
2104,782,-1,np,-0.928571429,0.000862968
1626,782,-1,np,-0.934148484,0.000679106
1992,782,-1,np,-0.85548378,0.00675133
1716,782,1,pp,0.898219696,0.002438797
2063,782,1,pp,0.850314646,0.007471415
2052,782,1,pp,0.857142857,0.006530017
1681,782,-1,np,-0.904761905,0.002008276
2006,782,-1,np,-0.952380952,0.0002604
1812,607,-1,np,-0.838338383,0.009323116
1783,607,-1,np,-0.875172349,0.004418764
1782,607,-1,np,-0.904761905,0.002008276
1888,607,1,pp,0.857142857,0.006530017
2132,607,1,pp,0.963925385,0.000114214
2105,1550,-1,np,-0.970077272,6.55E-05
1896,1550,-1,np,-0.871575794,0.004798257
2136,1550,-1,np,-0.847024363,0.007954271
1994,1550,1,pp,0.946124747,0.000375312
1855,1550,1,pp,0.963624112,0.000117073
1750,1550,1,pp,0.886243434,0.003373343
1903,1550,1,pp,0.850314646,0.007471415
1726,1550,-1,np,-0.867532847,0.005249136
1737,1550,1,pp,0.886243434,0.003373343
1793,310,-1,np,-0.951502571,0.000274893
1918,310,-1,np,-0.904761905,0.002008276
1892,310,1,pp,0.847024363,0.007954271
2187,310,-1,np,-0.857142857,0.006530017
1754,310,1,pp,0.867532847,0.005249136
1884,1001,1,pp,0.850314646,0.007471415
1794,1001,-1,np,-0.886243434,0.003373343
1725,1001,1,pp,0.845594325,0.008170172
2043,612,-1,np,-0.862290909,0.005872991
1981,612,1,pp,0.874267171,0.004512386
1757,612,-1,np,-0.928571429,0.000862968
1811,612,-1,np,-0.867532847,0.005249136
2101,1282,1,pp,0.898219696,0.002438797
2024,1282,-1,np,-0.843434712,0.008503234
1884,1420,-1,np,-0.850314646,0.007471415
2127,1420,1,pp,0.843434712,0.008503234
1926,1,1,pp,0.857142857,0.006530017
2125,1,1,pp,0.922172222,0.001110817
1791,1048,-1,np,-0.952380952,0.0002604
1999,1048,-1,np,-0.886243434,0.003373343
1772,1048,-1,np,-0.874267171,0.004512386
2106,1048,1,pp,0.904761905,0.002008276
1641,1048,1,pp,0.928571429,0.000862968
2099,842,-1,np,-0.98802352,4.26E-06
1676,842,-1,np,-0.898219696,0.002438797
1853,842,-1,np,-0.976190476,3.31E-05
1735,842,-1,np,-0.963925385,0.000114214
1896,842,-1,np,-0.883851509,0.003583935
1901,842,-1,np,-0.838338383,0.009323116
1750,842,1,pp,0.850314646,0.007471415
1644,842,1,pp,0.952380952,0.0002604
1803,842,1,pp,0.880952381,0.00385032
1703,842,1,pp,0.880952381,0.00385032
1928,842,1,pp,0.838338383,0.009323116
1667,842,1,pp,0.874267171,0.004512386
2167,335,1,pp,0.915729116,0.001403174
1772,335,1,pp,0.970077272,6.55E-05
2059,335,-1,np,-0.857142857,0.006530017
1762,171,1,pp,0.857142857,0.006530017
2076,171,1,pp,0.847024363,0.007954271
1621,171,-1,np,-0.970077272,6.55E-05
2165,171,-1,np,-0.922172222,0.001110817
1972,171,-1,np,-0.874267171,0.004512386
1875,171,1,pp,0.857142857,0.006530017
2173,171,-1,np,-0.928571429,0.000862968
2065,286,1,pp,0.880952381,0.00385032
1970,286,1,pp,0.946124747,0.000375312
2134,286,1,pp,0.898219696,0.002438797
1888,286,-1,np,-0.904761905,0.002008276
1765,643,-1,np,-0.880952381,0.00385032
1840,643,-1,np,-0.880952381,0.00385032
2157,643,1,pp,0.886243434,0.003373343
2146,643,-1,np,-0.898219696,0.002438797
2078,643,1,pp,0.850314646,0.007471415
2192,40,1,pp,0.874267171,0.004512386
1776,40,-1,np,-0.857142857,0.006530017
1798,40,-1,np,-0.887856007,0.003235981
1894,40,-1,np,-0.871575794,0.004798257
1910,431,1,pp,0.857142857,0.006530017
1963,431,1,pp,0.880952381,0.00385032
2134,431,1,pp,0.886243434,0.003373343
2203,931,-1,np,-0.871575794,0.004798257
2043,931,1,pp,0.850314646,0.007471415
1657,931,1,pp,0.850314646,0.007471415
1711,931,1,pp,0.838338383,0.009323116
2200,931,-1,np,-0.951876318,0.000268663
1617,931,1,pp,0.934148484,0.000679106
1908,931,-1,np,-0.910195959,0.001690861
2150,931,-1,np,-0.994029797,5.30E-07
2203,1080,-1,np,-0.847024363,0.007954271
2135,1080,1,pp,0.874267171,0.004512386
1672,1080,1,pp,0.862290909,0.005872991
1914,1080,-1,np,-0.910195959,0.001690861
1908,1080,-1,np,-0.862290909,0.005872991
2203,991,1,pp,0.969781517,6.74E-05
2200,991,1,pp,0.843434712,0.008503234
1617,991,-1,np,-0.862290909,0.005872991
1989,991,1,pp,0.898219696,0.002438797
1982,991,-1,np,-0.857142857,0.006530017
1908,991,1,pp,0.850314646,0.007471415
2150,991,1,pp,0.898219696,0.002438797
2192,119,1,pp,0.838338383,0.009323116
2144,119,-1,np,-0.952380952,0.0002604
1776,119,-1,np,-0.880952381,0.00385032
1992,119,-1,np,-0.85548378,0.00675133
2102,1578,1,pp,0.879581914,0.003980559
2196,1578,-1,np,-0.910195959,0.001690861
2098,1578,-1,np,-0.902707567,0.002137647
2182,1578,-1,np,-0.850314646,0.007471415
1939,1578,-1,np,-0.843434712,0.008503234
2146,1578,1,pp,0.850314646,0.007471415
1615,1578,-1,np,-0.862290909,0.005872991
1653,1578,-1,np,-0.878310066,0.004103934
2192,917,1,pp,0.946124747,0.000375312
1894,917,-1,np,-0.871575794,0.004798257
2203,626,1,pp,0.945230086,0.000394052
1711,626,-1,np,-0.946124747,0.000375312
2071,626,-1,np,-0.842835583,0.008597139
2200,626,1,pp,0.915729116,0.001403174
1617,626,-1,np,-0.946124747,0.000375312
1908,626,1,pp,0.874267171,0.004512386
2150,626,1,pp,0.850314646,0.007471415
2192,873,1,pp,0.838338383,0.009323116
1717,873,-1,np,-0.850314646,0.007471415
1945,873,-1,np,-0.862290909,0.005872991
