ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
687,Zotu3335,2,0,0,5.19E-31,1,6,-0.163299316,0
688,Zotu2447,2,1,1,9.85E-62,0,137,0,0
689,Zotu2717,3,4,6,5.63E-29,0.333333333,53,0.707106781,0
690,Zotu2831,4,8,8,2.32E-35,0.166666667,19,2,0
691,Zotu1934,1,0,0,3.42E-79,0,302,0,0
692,Zotu2210,2,0,0,3.72E-40,1,81,0,0
693,Zotu793,3,3,3,1.61E-51,0,76,1.732050808,0
694,Zotu1975,1,0,0,3.42E-79,0,210,0,0
695,Zotu1581,1,0,0,3.42E-79,0,209,0,0
696,Zotu2055,2,2,2,7.00E-55,0,61,1,0
697,Zotu88,1,0,0,3.42E-79,0,208,0,0
698,Zotu737,4,2.333333333,9,2.00E-10,0.833333333,38,0.581238194,0
699,Zotu18464,1,0,0,3.42E-79,0,207,0,0
700,Zotu17613,1,0,0,1.54E-36,0,40,-0.912870929,0
701,Zotu2408,1,0,0,3.42E-79,0,220,0,0
702,Zotu4886,1,0,0,3.42E-79,0,247,0,0
703,Zotu1735,1,0,0,3.42E-79,0,206,0,0
704,Zotu669,1,0,0,3.42E-79,0,204,0,0
705,Zotu911,1,0,0,3.42E-79,0,279,0,0
706,Zotu516,1,0,0,3.42E-79,0,203,0,0
707,Zotu771,1,0,0,1.61E-51,0,75,-0.577350269,0
708,Zotu152,2,4,4,2.15E-51,0,36,0.816496581,0
709,Zotu2445,1,0,0,3.42E-79,0,296,0,0
710,Zotu1834,1,0,0,3.42E-79,0,218,0,0
711,Zotu533,1,0,0,4.24E-42,0,4,-1.401826052,0
712,Zotu1205,3,3,4,2.94E-30,0.333333333,65,0.75,0
713,Zotu2373,1,0,0,9.85E-62,0,119,0,0
714,Zotu4788,3,8,16,5.17E-24,0.666666667,10,0.538815906,0
715,Zotu3989,1,0,0,3.42E-79,0,234,0,0
716,Zotu17178,2,0,0,1.68E-35,1,19,0,0
717,Zotu384,1,0,0,3.42E-79,0,202,0,0
718,Zotu4041,1,0,0,9.85E-62,0,118,0,0
719,Zotu1173,2,0,0,2.84E-44,1,79,0,0
720,Zotu4157,1,0,0,1.30E-29,0,2,-1.085930607,0
721,Zotu991,1,0,0,1.07E-51,0,36,-1.224744871,0
722,Zotu1037,2,4,4,1.55E-49,0,32,0.707106781,0
723,Zotu2667,1,0,0,3.42E-79,0,298,0,0
724,Zotu6952,3,0,0,7.59E-24,1,52,0,0
725,Zotu2355,2,1,1,9.85E-62,0,122,0,0
726,Zotu4117,1,0,0,9.85E-62,0,143,0,0
727,Zotu4971,1,0,0,4.32E-55,0,46,-1,0
728,Zotu3498,3,0,0,7.59E-24,1,64,0,0
729,Zotu2612,1,0,0,3.42E-79,0,275,0,0
730,Zotu1530,1,0,0,9.85E-62,0,130,0,0
731,Zotu4079,1,0,0,3.42E-79,0,200,0,0
732,Zotu5142,1,0,0,3.42E-79,0,197,0,0
733,Zotu267,2,0,0,7.19E-32,1,67,-1,0
734,Zotu1306,3,3,3,1.61E-51,0,71,1.732050808,0
735,Zotu1556,1,0,0,3.42E-79,0,306,0,0
736,Zotu4151,3,3,3,1.61E-51,0,73,1.732050808,0
737,Zotu1651,1,0,0,2.15E-19,0,1,-1.436212474,0
738,Zotu1938,1,0,0,3.42E-79,0,194,0,0
739,Zotu343,3,2,2,4.36E-40,0.333333333,80,1.414213562,0
740,Zotu2575,1,0,0,3.42E-79,0,192,0,0
741,Zotu3095,1,0,0,3.42E-79,0,191,0,0
742,Zotu1770,1,0,0,0.000465403,0,0,-1.30558242,0
743,Zotu5172,1,0,0,7.13E-47,0,21,-0.894427191,0
744,Zotu458,1,0,0,3.42E-79,0,189,0,0
745,Zotu1033,3,17,50,0.004910658,0.666666667,0,-0.087038828,0
746,Zotu367,4,16,16,1.97E-34,0.166666667,12,2.309401077,0
747,Zotu1843,1,0,0,2.49E-48,0,35,-0.75,0
748,Zotu1238,3,64,144,0.015988102,0.333333333,0,-0.087038828,0
749,Zotu2030,5,73,163,0.248440798,0.1,0,1.131504764,0
750,Zotu493,2,4.5,12,3.20E-31,0,11,-0.21821789,0
751,Zotu1021,3,0.5,1,9.21E-32,0.666666667,68,1,0
752,Zotu453,2,44,64,7.50E-30,0,3,-0.134839972,0
753,Zotu4963,1,0,0,9.85E-62,0,115,0,0
754,Zotu345,1,0,0,1.91E-30,0,3,-1.213559752,0
755,Zotu1278,1,0,0,3.42E-79,0,244,0,0
756,Zotu3596,2,3,3,3.52E-48,0,35,0.5,0
757,Zotu6274,1,0,0,3.42E-79,0,187,0,0
758,Zotu976,1,0,0,3.42E-79,0,186,0,0
759,Zotu4961,1,0,0,7.13E-47,0,20,-0.894427191,0
760,Zotu3383,1,0,0,3.42E-79,0,184,0,0
761,Zotu2117,1,0,0,9.85E-62,0,116,0,0
762,Zotu3377,1,0,0,3.42E-79,0,304,0,0
763,Zotu907,2,0,0,4.30E-29,1,2,-0.173748897,0
764,Zotu1206,3,81.5,181,0.065344562,0,0,-0.087038828,0
765,Zotu3055,1,0,0,3.42E-79,0,266,0,0
766,Zotu874,1,0,0,3.42E-79,0,183,0,0
767,Zotu1775,1,0,0,3.42E-79,0,182,0,0
768,Zotu4084,1,0,0,1.61E-51,0,71,-0.577350269,0
769,Zotu1603,2,2,2,7.00E-55,0,46,1,0
770,Zotu15085,1,0,0,3.42E-79,0,229,0,0
771,Zotu20818,3,1,2,3.33E-30,0.666666667,65,0.75,0
772,Zotu8526,3,15.16666667,35,5.55E-32,0,9,1.143001143,0
773,Zotu1403,2,0,0,2.84E-44,1,90,0,0
774,Zotu3840,1,0,0,4.32E-55,0,43,-1,0
775,Zotu4207,2,6,6,1.15E-46,0,21,0.447213595,0
776,Zotu505,1,0,0,3.42E-79,0,181,0,0
777,Zotu2247,2,9,16,1.01E-32,0,9,-0.254000254,0
778,Zotu1243,1,0,0,3.42E-79,0,271,0,0
