ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
271,Zotu6033,3,25,327,2.71E-20,0.666666667,1,0.252982213,0
272,Zotu11,1,0,0,4.38E-208,0,256,0,0
273,Zotu15258,6,3,7,0.477844059,0.533333333,33,1.322875656,0
274,Zotu92,3,0,0,0.318562706,1,33,-0.661437828,0
275,Zotu2846,4,12,12,2.81E-84,0.166666667,16,2.160246899,0
276,Zotu378,1,0,0,3.61E-18,0,0,-1.146423008,0
277,Zotu13661,1,0,0,5.82E-85,0,16,-1.08012345,0
278,Zotu933,6,817.671645,4515,3.64E-17,0.066666667,0,2.218079299,0
279,Zotu13381,2,0,0,7.49E-111,1,79,0,0
280,Zotu16527,4,788,4208,5.10E-19,0.166666667,1,1.138419958,0
281,Zotu4342,3,3,3,8.62E-131,0,64,1.732050808,0
282,Zotu8488,1,0,0,4.38E-208,0,247,0,0
283,Zotu539,1,0,0,9.32E-18,0,0,-1.146423008,0
284,Zotu1622,4,1166.068831,6889,1.31E-17,0,1,0.252982213,0.375
285,Zotu16818,1,0,0,4.38E-208,0,244,0,0
286,Zotu5424,1,0,0,1.28E-159,0,118,0,0
287,Zotu974,1,0,0,4.38E-208,0,242,0,0
288,Zotu965,1,0,0,4.38E-208,0,238,0,0
289,Zotu7364,1,0,0,1.28E-159,0,123,0,0
290,Zotu4309,1,0,0,4.38E-208,0,237,0,0
291,Zotu11516,1,0,0,4.38E-208,0,264,0,0
292,Zotu225,1,0,0,1.01E-140,0,46,-1,0
293,Zotu17,1,0,0,2.66E-39,0,19,-0.845781612,0
294,Zotu18918,1,0,0,4.38E-208,0,232,0,0
295,Zotu8615,5,22,42,9.08E-18,0.4,7,1.460998893,0
296,Zotu710,2,0,0,7.49E-111,1,84,0,0
297,Zotu1706,2,4,4,1.72E-125,0,24,0.707106781,0
298,Zotu412,1,0,0,1.28E-159,0,117,0,0
299,Zotu5951,3,4,14,3.95E-10,0.333333333,14,-0.043355498,0
300,Zotu7677,3,2,2,2.50E-99,0.333333333,82,1.414213562,0
301,Zotu490,5,187.35,376,5.16E-13,0,2,1.671834638,0
302,Zotu4335,1,0,0,4.38E-208,0,224,0,0
303,Zotu2064,5,224.5,2294,9.19E-17,0.5,0,1.545178837,0
304,Zotu2828,1,0,0,1.15E-99,0,82,-1.414213562,0
305,Zotu4119,3,0,0,1.13E-12,1,9,-0.056077215,0
306,Zotu2765,1,0,0,4.38E-208,0,221,0,0
307,Zotu3422,1,0,0,1.01E-89,0,20,-1.224744871,0
308,Zotu8765,2,0,0,2.14E-99,1,66,0,0
309,Zotu884,1,0,0,1.28E-159,0,100,0,0
310,Zotu1793,1,0,0,4.38E-208,0,217,0,0
311,Zotu594,1,0,0,4.38E-208,0,216,0,0
312,Zotu3331,1,0,0,1.01E-140,0,47,-1,0
313,Zotu3540,1,0,0,4.38E-208,0,213,0,0
314,Zotu78,1,0,0,4.38E-208,0,221,0,0
315,Zotu3576,1,0,0,4.38E-208,0,215,0,0
316,Zotu1113,2,0,0,7.49E-111,1,78,0,0
317,Zotu1579,1,0,0,4.38E-208,0,270,0,0
