ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
2776,Zotu5643,2,0.166666667,1,5.90E-93,0,33,-0.961523948,0
2777,Zotu44,1,0,0,9.45E-222,0,348,0,0
2778,Zotu532,1,0,0,1.37E-62,0,22,-1.049525036,0
2779,Zotu1013,3,33,309,5.26E-45,0.666666667,2,-0.415721568,0
2780,Zotu2036,1,0,0,9.45E-222,0,361,0,0
2781,Zotu1106,3,1,3,2.42E-116,0,84,0,0
2782,Zotu2733,4,0,0,3.72E-106,1,87,0,0
2783,Zotu5334,3,0.2,1,3.33E-55,0.666666667,3,-0.449797988,0
2784,Zotu1312,3,12.2,61,1.08E-118,0,96,0.19245009,0
2785,Zotu5741,7,80.5,413,1.86E-73,0.476190476,56,1.220713253,0
2786,Zotu4027,5,0,0,1.51E-87,1,70,0,0
2787,Zotu2770,1,0,0,9.45E-222,0,328,0,0
2788,Zotu6345,4,51.16666667,226,1.33E-89,0.333333333,21,0.092400687,0
2789,Zotu4201,4,19.66666667,181,1.89E-12,0.833333333,1,-0.820132161,0
2790,Zotu7977,2,0,0,5.93E-164,1,167,0,0
2791,Zotu4232,1,0,0,9.45E-222,0,321,0,0
2792,Zotu19744,11,0.375,3,3.47E-25,0.945454545,39,0.577350269,0
2793,Zotu2569,1,0,0,1.85E-12,0,1,-1.455398466,0
2794,Zotu2315,13,5.69047619,59,1.12E-27,0.679487179,83,1.142857143,0
2795,Zotu7901,4,191.5,98255,5.41E-53,0.166666667,17,0.379907748,0
2796,Zotu2151,5,0.5,4,4.78E-66,0.6,72,0.08441582,0
2797,Zotu2921,3,0.2,1,1.97E-111,0.666666667,14,0.225733059,0
2798,Zotu2193,1,0,0,6.86E-102,0,28,-1.112590499,0
2799,Zotu2175,6,5,15,9.64E-57,0,134,0.287183263,0
2800,Zotu1489,1,0,0,9.45E-222,0,295,0,0
2801,Zotu1088,1,0,0,9.45E-222,0,377,0,0
2802,Zotu5589,4,0,0,2.51E-33,1,50,-0.679039837,0
2803,Zotu2239,3,0.5,3,1.12E-54,0,3,-0.449797988,0
