ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
46,Zotu830,3,12.5,21,1.35E-141,0.00E+00,37,0.686406473,0
47,Zotu274,1,0,0,1.75E-25,0.00E+00,18,-1.164964745,0
48,Zotu432,1,0,0,2.59E-207,0.00E+00,52,-0.894427191,0
49,Zotu823,1,0,0,0,0.00E+00,121,0,0
50,Zotu137,1,0,0,1.75E-159,0.00E+00,28,-1.459600898,0
51,Zotu2424,2,3,3,5.68E-180,0.00E+00,49,0,0
52,Zotu3657,2,33,46,2.15E-07,0.00E+00,5,-0.557888155,0
53,Zotu481,2,5600,43690,1.33E-14,0.00E+00,24,0,0
54,Zotu1375,1,0,0,1.88E-11,0.00E+00,19,-1.420141491,0
55,Zotu1144,2,90,105,3.03E-77,0.00E+00,6,-0.525785614,0
56,Zotu869,3,1136,8754,3.03E-17,3.33E-01,24,1.322875656,0
57,Zotu1846,2,0,0,4.66E-16,1.00E+00,19,-0.433263506,0
58,Zotu1153,1,0,0,0,0.00E+00,156,0,0
59,Zotu2024,2,8,8,4.67E-216,0.00E+00,39,0.632455532,0
60,Zotu2512,3,28,28,4.64E-159,3.33E-01,28,1.04257207,0
61,Zotu835,1,0,0,9.93E-27,0.00E+00,9,-1.392715036,0
62,Zotu1233,2,569,3495,1.74E-17,0.00E+00,12,-0.441128773,0
63,Zotu425,1,0,0,1.51E-17,0.00E+00,0,-1.356469935,0
64,Zotu675,4,293.5,427,8.46E-125,1.67E-01,22,1.772316082,0
65,Zotu540,2,340,410,8.15E-98,0.00E+00,10,-0.26432744,0
66,Zotu790,2,0,0,2.97E-200,1.00E+00,84,0,0
67,Zotu400,3,40261.7562,189932,1.10E-11,0.00E+00,16,0.734288162,0
68,Zotu24,3,153.5,261,5.71E-125,0.00E+00,22,0.775388286,0
69,Zotu3778,1,0,0,1.05E-25,0.00E+00,7,-1.545993318,0
70,Zotu1240,1,0,0,2.91E-126,0.00E+00,22,-1.218467306,0
71,Zotu20787,2,0,0,7.17E-184,1.00E+00,86,0,0
72,Zotu1787,4,6723,55969,5.45E-25,1.67E-01,7,0.943869605,0
73,Zotu2407,1,0,0,8.61E-270,0.00E+00,105,0,0
74,Zotu17775,2,102,120,2.52E-126,0.00E+00,4,-0.34299717,0
75,Zotu18001,1,0,0,0,0.00E+00,150,0,0
76,Zotu1186,3,0,0,7.52E-15,1.00E+00,12,0.514650235,0
77,Zotu334,1,0,0,2.56E-180,0.00E+00,50,-1.58113883,0
78,Zotu268,1,0,0,6.44E-243,0.00E+00,63,-1,0
79,Zotu1496,5,13028.91456,105003,5.70E-26,1.00E-01,9,1.671258044,0.32
80,Zotu128,3,932.1666667,1568,6.50E-95,3.33E-01,3,0.412310563,0
81,Zotu821,2,20,20,2.75E-203,0.00E+00,34,0.333333333,0
82,Zotu338,1,0,0,1.93E-216,0.00E+00,56,-0.75,0
83,Zotu224,2,16741.62885,217003,3.05E-22,0.00E+00,9,-0.371390676,0
84,Zotu244,2,569,3471,1.13E-25,0.00E+00,14,-0.391924758,0
85,Zotu1298,3,569,1413,1.16E-14,3.33E-01,21,0.060633906,0
86,Zotu467,1,0,0,0,0.00E+00,131,0,0
87,Zotu645,1,0,0,5.79E-127,0.00E+00,4,-1.429154876,0
88,Zotu20151,3,6,6,1.23E-139,3.33E-01,47,0.774596669,0
89,Zotu13,1,0,0,8.34E-160,0.00E+00,28,-1.459600898,0
90,Zotu972,2,569,3522,3.44E-27,0.00E+00,20,-0.204124145,0
91,Zotu108,2,1136,2958,3.88E-16,0.00E+00,0,-0.555662383,0
92,Zotu60,1,0,0,6.96E-126,0.00E+00,22,-1.218467306,0
93,Zotu866,2,8,8,1.09E-203,0.00E+00,34,0.333333333,0
94,Zotu130,3,2,2,8.39E-184,3.33E-01,75,1.414213562,0
95,Zotu551,4,175.5,351,6.16E-125,1.67E-01,22,1.772316082,0
96,Zotu1007,3,1701,5226,7.52E-26,3.33E-01,18,0.183941802,0
97,Zotu174,2,4,4,1.99E-169,0.00E+00,42,0,0
98,Zotu326,4,28892,166556,2.42E-20,1.67E-01,15,1.060660172,0
99,Zotu231,2,0,0,1.61E-83,1.00E+00,67,-1.016001016,0
100,Zotu261,3,27453,163750,5.09E-21,0.00E+00,15,0.309359217,0
101,Zotu850,2,0,0,1.01E-78,1.00E+00,6,-0.525785614,0
102,Zotu361,1,0,0,6.44E-243,0.00E+00,58,-1,0
103,Zotu871,1,0,0,0,0.00E+00,117,0,0
104,Zotu84,1,0,0,1.11E-13,0.00E+00,16,-1.425382902,0
105,Zotu91,1,0,0,4.49E-21,0.00E+00,15,-1.193242693,0
106,Zotu107,1,0,0,1.89E-203,0.00E+00,34,-1.333333333,0
107,Zotu55,6,25680.36923,204419,5.60E-20,6.67E-02,1,2.097859678,0.277777778
108,Zotu1065,1,0,0,0,0.00E+00,135,0,0
109,Zotu3942,1,0,0,0,0.00E+00,111,0,0
110,Zotu1105,2,72,86,9.63E-99,0.00E+00,10,-0.26432744,0
111,Zotu181,1,0,0,5.41E-14,0.00E+00,2,-1.360748972,0
112,Zotu574,4,0,0,3.28E-24,1.00E+00,18,0.858395075,0
113,Zotu2574,1,0,0,8.61E-270,0.00E+00,90,0,0
114,Zotu2485,3,1136,5314,7.75E-17,3.33E-01,26,0.693375245,0
