Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu2117,1,0,0,1.47800978761828e-311,0,222,0,0
Zotu3377,1,0,0,1.47800978761828e-311,0,220,0,0
Zotu7712,1,0,0,1.47800978761828e-311,0,378,0,0
Zotu1206,2,0,0,5.25E-180,1,131,0,0
Zotu2547,1,0,0,3.53E-121,0,86,-1.206045378,0
Zotu1775,2,0,0,1.15E-99,1,9,-0.31046021,0
Zotu2537,2,0,0,5.25E-180,1,122,0,0
Zotu1603,1,0,0,6.23E-246,0,167,0,0
Zotu2250,2,7,9,6.81E-102,0,15,-0.381385036,0
Zotu7413,4,43,54,1.86E-119,0.166666667,8,2.317296488,0
Zotu3286,1,0,0,1.47800978761828e-311,0,392,0,0
Zotu1403,1,0,0,1.47800978761828e-311,0,390,0,0
Zotu1782,1,0,0,1.47800978761828e-311,0,389,0,0
Zotu9,1,0,0,1.47800978761828e-311,0,388,0,0
Zotu4798,2,1,1,1.25E-245,0,163,0,0
Zotu1383,2,0,0,9.43E-106,1,19,-0.447213595,0
Zotu1123,2,0,0,9.43E-106,1,19,-0.447213595,0
Zotu2356,1,0,0,1.47800978761828e-311,0,386,0,0
Zotu4872,3,53,79,5.30E-85,0,3,0.660295645,0
Zotu2149,1,0,0,9.69E-123,0,8,-1.406930011,0
Zotu2609,3,20,23,8.96E-127,0,12,1.069044968,0
Zotu966,2,3,3,3.04E-207,0,41,0.816496581,0
Zotu1642,2,1,1,1.25E-245,0,158,0,0
Zotu48,1,0,0,1.47800978761828e-311,0,382,0,0
Zotu3354,1,0,0,1.47800978761828e-311,0,381,0,0
Zotu1932,1,0,0,1.47800978761828e-311,0,380,0,0
Zotu919,3,6,6,3.80E-155,0.333333333,23,1.224744871,0
Zotu732,1,0,0,1.47800978761828e-311,0,376,0,0
Zotu3042,3,14,14,1.23E-152,0.333333333,14,1.290994449,0
Zotu773,1,0,0,3.55E-161,0,36,-1.58113883,0
Zotu1072,1,0,0,1.32E-133,0,38,-1.45999279,0
Zotu1567,1,0,0,2.27E-220,0,60,-1,0
Zotu4614,1,0,0,1.47800978761828e-311,0,374,0,0
Zotu704,1,0,0,1.47800978761828e-311,0,371,0,0
Zotu4025,1,0,0,6.23E-246,0,151,0,0
Zotu2206,1,0,0,1.47800978761828e-311,0,367,0,0
Zotu1171,4,189,7238,0.000420925,0.666666667,0,0.452378499,0
Zotu307,2,34,2073,3.94E-05,0,0,-0.694724124,0
Zotu309,8,309.5,9309,0.000775495,0.321428571,0,2.746583745,0
Zotu61,5,331.5,12429,0.00018691,0.1,0,1.02592981,0
Zotu318,4,51.33333333,192,9.34E-61,0.833333333,1,1.182624792,0
Zotu8394,1,0,0,2.27E-220,0,64,-1,0
Zotu17061,2,69,2075,3.79E-05,0,0,-0.694724124,0
Zotu381,3,35.66666667,51,1.16E-104,0,10,0.649519053,0
Zotu9526,1,0,0,1.47800978761828e-311,0,363,0,0
Zotu19241,1,0,0,1.47800978761828e-311,0,362,0,0
Zotu992,2,0,0,5.25E-180,1,95,0,0
Zotu324,2,1,1,1.25E-245,0,157,0,0
Zotu1370,2,15,15,5.60E-180,0,18,0.353553391,0
Zotu9865,1,0,0,1.47800978761828e-311,0,361,0,0
Zotu16745,1,0,0,1.47800978761828e-311,0,360,0,0
Zotu927,2,0,0,5.25E-180,1,124,0,0
Zotu1130,2,2,2,3.68E-220,0,64,1,0
Zotu4525,1,0,0,2.27E-220,0,70,-1,0
Zotu12744,1,0,0,3.23E-195,0,51,-0.75,0
Zotu29,1,0,0,2.01E-101,0,5,-1.290994449,0
Zotu849,2,0,0,5.25E-180,1,94,0,0
Zotu9433,1,0,0,6.23E-246,0,162,0,0
Zotu595,1,0,0,1.08E-62,0,2,-1.354241288,0
Zotu3484,1,0,0,5.64E-187,0,24,-1.020620726,0
Zotu443,1,0,0,6.23E-246,0,193,0,0
Zotu1713,4,3.5,12,4.86E-56,0.666666667,17,0.707106781,0
Zotu2252,1,0,0,1.47800978761828e-311,0,381,0,0
Zotu9655,1,0,0,1.47800978761828e-311,0,356,0,0
Zotu4599,2,13,15,1.12E-110,0,7,-0.34554737,0
Zotu611,2,1,1,1.25E-245,0,194,0,0
Zotu1378,1,0,0,1.52E-207,0,90,-0.577350269,0
Zotu2158,4,40,72,8.51E-62,0.5,2,0.61159284,0
Zotu2611,3,1.5,3,9.66E-121,0.666666667,86,0.603022689,0
Zotu2090,1,0,0,1.47800978761828e-311,0,367,0,0
Zotu4547,6,145.6468254,4684,0.407539831,0.666666667,0,1.599481122,0
Zotu2819,1,0,0,6.23E-246,0,138,0,0
Zotu2241,1,0,0,1.47800978761828e-311,0,353,0,0
