Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu130,5,4974.086923,257174,0.170507138,0.2,4,1.004975155,0
Zotu1007,3,0,0,2.06E-10,1,0,-0.406586399,0
Zotu231,1,0,0,3.94E-153,0,304,0,0
Zotu850,3,35.7,2970,2.98E-14,0.333333333,0,-0.406586399,0
Zotu962,2,37.86904762,2378,3.96E-14,0,0,-0.989949494,0
Zotu871,1,0,0,3.94E-153,0,198,0,0
Zotu3753,3,9.166666667,100,1.69E-32,0.666666667,3,-0.062136977,0
Zotu84,1,0,0,3.94E-153,0,195,0,0
Zotu4929,1,0,0,1.83E-104,0,74,-0.577350269,0
Zotu3468,5,86.5,467,1.28E-31,0.5,3,1.553424415,0
Zotu4411,3,27,36,2.25E-62,0.333333333,8,0.698535473,0
Zotu107,3,2.333333333,9,6.76E-06,0.666666667,5,-0.059339083,0
Zotu2390,3,0,0,1.07E-44,1,10,0.294883912,0
Zotu7661,3,3,3,5.48E-104,0,71,1.732050808,0
Zotu55,1,0,0,3.94E-153,0,183,0,0
Zotu3386,4,33,40,1.67E-60,0.166666667,9,1.856558243,0
Zotu1343,3,23,23,6.28E-89,0,15,1.603567451,0
Zotu181,1,0,0,3.94E-153,0,177,0,0
Zotu574,1,0,0,3.94E-153,0,204,0,0
Zotu2574,2,0,0,2.03E-91,1,86,0,0
Zotu1439,2,2,2,3.21E-110,0,52,1,0
Zotu2872,2,6,6,1.28E-100,0,31,0.707106781,0
Zotu1747,1,0,0,3.94E-153,0,269,0,0
Zotu1559,1,0,0,3.94E-153,0,248,0,0
Zotu471,1,0,0,1.98E-110,0,49,-1,0
Zotu2795,1,0,0,3.94E-153,0,244,0,0
Zotu1894,2,0,0,2.03E-91,1,116,0,0
Zotu948,2,14,14,9.34E-65,0,14,0,0
Zotu83,2,0,0,2.03E-91,1,82,0,0
Zotu2089,1,0,0,3.94E-153,0,167,0,0
Zotu2266,4,1.5,3,3.05E-55,0.5,65,1.224744871,0
Zotu1301,1,0,0,3.94E-153,0,391,0,0
Zotu609,1,0,0,3.94E-153,0,385,0,0
Zotu472,1,0,0,3.94E-153,0,379,0,0
Zotu556,1,0,0,3.94E-153,0,373,0,0
Zotu4793,1,0,0,2.00E-122,0,123,0,0
Zotu2020,1,0,0,3.94E-153,0,361,0,0
Zotu5115,1,0,0,3.94E-153,0,353,0,0
Zotu1022,1,0,0,2.06E-88,0,16,-0.989949494,0
Zotu1402,1,0,0,2.05E-84,0,87,-1.414213562,0
Zotu1759,1,0,0,3.94E-153,0,342,0,0
Zotu2505,2,0,0,3.79E-84,1,100,0,0
Zotu2488,3,3,3,5.48E-104,0,75,1.732050808,0
Zotu1372,2,1,1,4.00E-122,0,162,0,0
Zotu1479,1,0,0,3.94E-153,0,389,0,0
Zotu2094,2,0,0,2.03E-91,1,98,0,0
Zotu2955,2,0.5,1,2.03E-91,0,101,0,0
Zotu3675,2,1,1,4.00E-122,0,161,0,0
Zotu800,1,0,0,3.94E-153,0,310,0,0
Zotu3530,1,0,0,1.83E-104,0,70,-0.577350269,0
Zotu2131,1,0,0,3.94E-153,0,297,0,0
Zotu3760,1,0,0,3.94E-153,0,288,0,0
