Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
Zotu3284,4,5,5,2.06E-89,0.166666667,91,1.825741858,0
Zotu1639,3,3,3,1.19E-91,0.333333333,96,1.118033989,0
Zotu3978,1,0,0,1.95E-71,0,26,-1.333945938,0
Zotu3058,1,0,0,1.39E-44,0,12,-0.830454799,0
Zotu3296,1,0,0,3.61E-97,0,54,-1.58113883,0
Zotu1945,1,0,0,3.82E-197,0,307,0,0
Zotu2715,1,0,0,1.26E-72,0,102,-1.372812946,0
Zotu6192,2,1,1,3.41E-153,0,156,0,0
Zotu1112,2,140,140,4.63E-89,0,6,0,0
Zotu2554,5,8,14,1.11E-33,0.4,97,1.414213562,0
Zotu8453,1,0,0,3.82E-197,0,279,0,0
Zotu2426,2,0,0,1.52E-109,1,138,0,0
Zotu4228,1,0,0,3.82E-197,0,218,0,0
Zotu1327,5,4,12,0.386400234,0.7,75,0.650443636,0
Zotu6166,3,2,4,1.66E-73,0.666666667,32,1.020620726,0
Zotu3852,2,0,0,2.77E-83,1,34,0,0
Zotu1368,1,0,0,3.82E-197,0,301,0,0
Zotu824,2,0,0,1.86E-10,1,1,-0.909989137,0
Zotu1969,1,0,0,2.89E-43,0,73,-1.257237114,0
Zotu2956,5,43.5,48,1.02E-63,0.2,10,2.432902399,0
Zotu3307,3,8.833333333,17,4.63E-56,0.333333333,58,0.316227766,0
Zotu1515,1,0,0,3.82E-197,0,238,0,0
Zotu4109,3,53,59,5.08E-64,0,10,0.652729912,0
Zotu2047,2,30,30,1.47E-71,0,15,-0.208514414,0
Zotu7748,2,0,0,1.52E-109,1,132,0,0
Zotu2166,4,2.5,5,3.28E-56,0.5,101,1.206045378,0
Zotu4665,2,0.333333333,1,3.01E-28,0,0,-0.486111273,0
Zotu3367,1,0,0,3.82E-197,0,420,0,0
Zotu2338,3,5,15,1.77E-41,0.666666667,8,0.259160528,0
Zotu3164,1,0,0,1.71E-153,0,172,0,0
Zotu1470,2,0,0,1.52E-109,1,144,0,0
Zotu1324,2,1,1,3.41E-153,0,214,0,0
Zotu1492,1,0,0,1.71E-153,0,155,0,0
Zotu2140,3,13,28,8.82E-68,0.333333333,9,0.789753974,0
Zotu1756,2,102,256,5.43E-27,0,0,-0.486111273,0
Zotu170,2,2,2,2.93E-136,0,90,1,0
Zotu2216,2,0,0,1.52E-109,1,146,0,0
Zotu325,1,0,0,2.82E-11,0,1,-1.498805637,0
Zotu3411,2,0,0,1.52E-109,1,125,0,0
Zotu829,4,4,4,3.86E-78,0.333333333,143,2,0
Zotu3111,1,0,0,1.71E-153,0,161,0,0
Zotu2387,3,24.5,33,1.44E-77,0,14,0.845154255,0
Zotu506,2,3,3,1.16E-127,0,69,0.816496581,0
Zotu411,1,0,0,1.42E-71,0,4,-1.606438658,0
Zotu196,1,0,0,3.31E-71,0,2,-1.282744204,0
Zotu641,1,0,0,5.82E-128,0,116,-0.577350269,0
Zotu2603,4,25,63,3.41E-30,0.5,11,0.839181358,0
Zotu492,1,0,0,3.82E-197,0,221,0,0
Zotu1549,1,0,0,2.43E-90,0,36,-1.322875656,0
Zotu5004,2,9,9,1.52E-109,0,40,0.324442842,0
Zotu5321,2,0,0,3.41E-11,1,5,-0.43287469,0
Zotu154,1,0,0,3.82E-197,0,356,0,0
Zotu2045,4,43,43,1.24E-85,0,17,2.081665999,0
Zotu522,1,0,0,3.82E-197,0,272,0,0
Zotu5244,2,12,12,1.06E-109,0,29,0.353553391,0
Zotu5982,2,1,1,3.41E-153,0,180,0,0
Zotu5847,3,0,0,2.66E-58,1,80,0,0
Zotu4781,2,0,0,8.91E-89,1,6,0,0
Zotu4502,1,0,0,8.77E-90,0,89,-0.912870929,0
Zotu4355,1,0,0,2.45E-106,0,33,-0.989949494,0
Zotu5880,1,0,0,3.82E-197,0,486,0,0
Zotu6386,1,0,0,1.71E-153,0,160,0,0
Zotu3184,2,0,0,1.52E-109,1,152,0,0
Zotu3601,1,0,0,3.82E-197,0,482,0,0
Zotu1427,4,7,9,4.68E-70,0.166666667,111,1.507556723,0
Zotu7714,2,4.5,9,7.92E-78,0,14,-0.169030851,0
Zotu542,1,0,0,3.82E-197,0,478,0,0
Zotu1912,3,5,10,2.69E-70,0.666666667,26,0.848874688,0
Zotu4477,1,0,0,3.82E-197,0,475,0,0
Zotu298,1,0,0,3.82E-197,0,474,0,0
Zotu2224,4,0.333333333,1,1.23E-33,0.833333333,72,0.816496581,0
Zotu1150,2,0,0,1.52E-109,1,148,0,0
Zotu281,1,0,0,2.15E-13,0,5,-1.144025966,0
Zotu2418,1,0,0,3.82E-197,0,469,0,0
Zotu538,6,246.3333333,1720,4.08E-10,0.333333333,1,1.445276864,0
Zotu3174,2,0,0,1.52E-109,1,148,0,0
Zotu8606,2,0,0,3.47E-64,1,16,-0.280056017,0
Zotu5441,1,0,0,3.82E-197,0,465,0,0
Zotu190,2,1,1,3.41E-153,0,209,0,0
Zotu600,1,0,0,3.82E-197,0,464,0,0
Zotu1224,2,3,3,1.39E-119,0,66,0.5,0
Zotu775,3,0.5,1,3.17E-78,0.666666667,106,1,0
Zotu3515,1,0,0,3.82E-197,0,462,0,0
Zotu4341,3,0,0,3.26E-42,1,3,0.518736468,0
Zotu6191,2,0,0,3.39E-64,1,16,-0.280056017,0
Zotu3059,1,0,0,3.82E-197,0,459,0,0
Zotu1704,4,4,12,7.63E-28,0.833333333,19,0.790569415,0
Zotu1283,1,0,0,3.82E-197,0,457,0,0
Zotu5832,1,0,0,3.82E-197,0,455,0,0
Zotu6996,1,0,0,1.18E-27,0,0,-1.258170355,0
Zotu2043,1,0,0,5.82E-128,0,117,-0.577350269,0
Zotu807,2,15,15,2.91E-107,0,28,0.282842712,0
Zotu4389,1,0,0,3.82E-197,0,452,0,0
Zotu2323,2,0,0,2.47E-78,1,113,-1,0
Zotu1267,1,0,0,1.71E-153,0,198,0,0
Zotu3555,3,14,30,2.25E-68,0.666666667,2,0.866719057,0
Zotu3638,5,35,35,2.71E-72,0.1,20,2.740038777,0
Zotu5586,1,0,0,3.09E-89,0,6,-1.178511302,0
Zotu2163,1,0,0,5.16E-92,0,99,-1.118033989,0
Zotu6586,1,0,0,3.82E-197,0,450,0,0
Zotu1631,1,0,0,3.82E-197,0,449,0,0
Zotu6732,2,0,0,1.34E-73,1,24,-0.377964473,0
Zotu2386,4,32,65,7.79E-41,0.5,8,1.382189481,0
Zotu5463,2,2,2,2.93E-136,0,88,1,0
Zotu3511,1,0,0,6.37E-43,0,3,-1.251070305,0
Zotu3853,1,0,0,3.82E-197,0,443,0,0
Zotu4018,2,1,1,3.41E-153,0,207,0,0
Zotu2235,4,76.66666667,490,9.45E-26,0.833333333,0,1.058006889,0
Zotu1714,5,6,12,4.74E-42,0.4,73,1.616447718,0
Zotu1232,1,0,0,1.71E-153,0,216,0,0
Zotu3818,1,0,0,2.07E-23,0,7,-1.177177389,0
Zotu2978,1,0,0,1.70E-54,0,22,-1.5,0
Zotu3899,1,0,0,3.82E-197,0,437,0,0
Zotu12028,1,0,0,3.82E-197,0,435,0,0
Zotu4755,1,0,0,3.82E-197,0,434,0,0
Zotu1916,4,2.333333333,3,8.50E-37,0.5,79,0.784464541,0
Zotu1749,3,84,84,4.78E-89,0,6,1.178511302,0
Zotu3529,1,0,0,3.82E-197,0,431,0,0
Zotu1326,2,0,0,4.21E-44,1,12,-0.24913644,0
Zotu3215,3,88,154,5.55E-69,0,2,0.866719057,0
Zotu3846,1,0,0,3.82E-197,0,430,0,0
Zotu5303,3,0,0,2.66E-58,1,77,0,0
Zotu1098,3,2,5,2.15E-53,0.666666667,18,0.363803438,0
Zotu4296,1,0,0,1.71E-153,0,210,0,0
Zotu7741,1,0,0,3.82E-197,0,426,0,0
Zotu5108,1,0,0,3.31E-71,0,2,-1.282744204,0
Zotu4177,1,0,0,3.82E-197,0,424,0,0
Zotu4359,1,0,0,8.62E-88,0,48,-1,0
Zotu524,1,0,0,1.71E-153,0,214,0,0
Zotu4203,2,0,0,1.52E-109,1,131,0,0
Zotu497,1,0,0,3.82E-197,0,421,0,0
Zotu4081,3,3,3,1.75E-127,0,119,1.732050808,0
Zotu3634,1,0,0,5.12E-86,0,17,-1.040833,0
Zotu719,1,0,0,3.82E-197,0,420,0,0
Zotu1247,1,0,0,3.82E-197,0,417,0,0
Zotu4409,1,0,0,3.82E-197,0,416,0,0
Zotu388,4,8,27,9.76E-23,0.666666667,7,0.739940073,0
Zotu3339,3,239,319,3.13E-69,0,2,0.866719057,0
Zotu209,3,2,4,2.31E-69,0.666666667,37,0.693375245,0
Zotu2527,1,0,0,3.82E-197,0,411,0,0
Zotu2171,3,0,0,7.21E-37,1,79,-0.588348405,0
Zotu2385,1,0,0,1.21E-71,0,15,-1.459600898,0
Zotu138,3,0,0,5.96E-11,1,5,0.278276586,0
Zotu1146,1,0,0,3.82E-197,0,404,0,0
Zotu5988,1,0,0,1.71E-153,0,177,0,0
Zotu2829,1,0,0,1.81E-136,0,95,-1,0
Zotu2042,4,16,16,4.05E-83,0.166666667,34,2,0
Zotu8462,1,0,0,1.71E-153,0,210,0,0
Zotu1707,2,7,7,1.42E-109,0,29,0.353553391,0
Zotu1076,1,0,0,3.82E-197,0,404,0,0
Zotu4666,2,52,300,6.56E-27,0,0,-0.486111273,0
Zotu3310,1,0,0,3.82E-197,0,395,0,0
Zotu2207,3,4,6,2.41E-56,0.333333333,98,0.301511345,0
Zotu4358,1,0,0,1.71E-153,0,208,0,0
Zotu5718,1,0,0,3.82E-197,0,392,0,0
Zotu3472,1,0,0,3.82E-197,0,391,0,0
