ID	hps_f_cd_1	hps_f_cd_2	hps_f_cd_3	hps_f_cd_4	hps_f_cd_5	hps_f_cd_6	hps_f_cd_7	hps_f_cd_8
Zotu13751								
Zotu10768								
Zotu12127								
Zotu6486								
Zotu885								
Zotu4756								
Zotu17478								
Zotu13055								
Zotu16157								
Zotu5238								
Zotu15094								
Zotu19026								
Zotu9240								
Zotu13121								2
Zotu13583								
Zotu17626								
Zotu11957								
Zotu17655								
Zotu17673								
Zotu3825								
Zotu10810								
Zotu17341								
Zotu3133								
Zotu6707								
Zotu16124								
Zotu19649								
Zotu9784								
Zotu13663								
Zotu14982								
Zotu11444								
Zotu8874								
Zotu7734								
Zotu17514								
Zotu16513								
Zotu10724								
Zotu7342								
Zotu19319								
Zotu12450								
Zotu13970								
Zotu13338								
Zotu12174								
Zotu6364								
Zotu8957								
Zotu7800								
Zotu13998								
Zotu7011								
Zotu3289								
Zotu7871								
Zotu13002								
Zotu9504								
Zotu4277								
Zotu7117								
Zotu10040								
Zotu10833								
Zotu10788								
Zotu16396								
Zotu20753								
Zotu19821								
Zotu5919								
Zotu5354								
Zotu10197								
Zotu1555						1		
Zotu7356								
Zotu17308								
Zotu14242								
Zotu9495								
Zotu6408								
Zotu2878								
Zotu6687								
Zotu5255								
Zotu14003								
Zotu13984								
Zotu17024								
Zotu6834								
Zotu16902								
Zotu19045								
Zotu13980								
Zotu2380					1			
Zotu6490								
Zotu15816								
Zotu10556								
Zotu3733		65						
Zotu7191								
Zotu7715								
Zotu20466								
Zotu14553								
Zotu18399								
Zotu18910								
Zotu18510	1							
Zotu4039					1			
Zotu10761								
Zotu16211								
Zotu10434								
Zotu9318								
Zotu10549							1	
Zotu6667								
Zotu10219								
Zotu11391								
Zotu6703								
Zotu3193								
Zotu9390								
Zotu11797								
Zotu1400								1
Zotu13456								
Zotu1340	1		216	1				
Zotu5793								
Zotu14282								
Zotu7233						5		
Zotu9697								
Zotu13251								
Zotu7473								
Zotu14049								
Zotu19484								
Zotu886		1						
Zotu602							9	
Zotu477			2			7	9	
Zotu19793								
Zotu18673								
Zotu19261								
Zotu6815								
Zotu18915								
Zotu6483								
Zotu7463								
Zotu7041								
Zotu4926								
Zotu19467								
Zotu11779								
Zotu16269								
Zotu19331								
Zotu15482								
Zotu20018								
Zotu17942								
Zotu4198			2					
Zotu8387								
Zotu2597								
Zotu17194								
Zotu14835								
Zotu20732								
Zotu19529								
Zotu6353								
Zotu9384			10					
Zotu17358								
Zotu2202			122					
Zotu18975	1							
Zotu15606								
Zotu18299								
Zotu14428								
Zotu7187								
Zotu20791								
Zotu5379								
Zotu13578							5	
Zotu1351		64					2	
Zotu1893			1					
Zotu20700								
Zotu9290								
Zotu6421								
Zotu16176								
Zotu13880								
Zotu9811								
Zotu18383								
Zotu6796								
Zotu11544								
Zotu19264								
Zotu15838								
Zotu10993								
Zotu19945								
Zotu13952								
Zotu10007								
Zotu20474								
Zotu16519								
Zotu5191								
Zotu9928								
Zotu1508							1	
Zotu17362								
Zotu5795								
Zotu9014								
Zotu11305							1	
Zotu6101							3	
Zotu17446								
Zotu8494								
Zotu7076						10		
Zotu19108								
Zotu7659								
Zotu11122								
Zotu3998			57					
Zotu17230								
Zotu6241					18			
Zotu564	1				1	2	1	
Zotu9774								
Zotu5969								
Zotu10850								
Zotu13175								
Zotu629					1		2	
Zotu953					1		1	
Zotu7595								
Zotu3597			1					
Zotu2520				1				
Zotu10341								
Zotu6514								
Zotu8183							1	
Zotu20841								
Zotu10985								
Zotu362		2		1	1	2	10	83
Zotu890			1	114	1			38
Zotu548	1	1	1		2	10	8	1
Zotu3134					1	2	3	
Zotu4812				13			1	10
Zotu13892								
Zotu830	1	3					2	
Zotu274			1		2	1	3	
Zotu1640								
Zotu4310								
Zotu2208							1	
Zotu432				79	1	16	1	1
Zotu2687			1		1			
Zotu823	1						2	
Zotu4594								
Zotu20763								
Zotu11178								
Zotu15780								
Zotu2238							9	
Zotu8708							1	
Zotu8038								
Zotu11843								
