ID	bs_f_1	bs_f_2	bs_f_3	bs_f_4	bs_f_5	bs_f_6	bs_f_7	bs_f_8
Zotu11593								
Zotu256	14	23	8	23	8	18	12	31
Zotu709	8	3	2	15	2	3	9	23
Zotu4674	1	2		4			6	
Zotu1067			2	8		1	3	16
Zotu4071				1	1	1	3	2
Zotu16428								1
Zotu11487								
Zotu16153	1	2						
Zotu19824								
Zotu12435								
Zotu18191			1					
Zotu10162	1							
Zotu5176	2							1
Zotu4675		2					1	1
Zotu15221								
Zotu1972			2					
Zotu19300								
Zotu5830	5	4	2	1				
Zotu10824	1	1			1	1	2	
Zotu7729	3	1		1	1			
Zotu11714								
Zotu17878				1				
Zotu5083		2						1
Zotu2147		2		1	2	1	2	2
Zotu19397								
Zotu4608				1			1	
Zotu9816			2					
Zotu15604								
Zotu10416	1				1			1
Zotu13709								
Zotu2359	2	3	2	3	2	4	2	2
Zotu17631								
Zotu13773				2				
Zotu17045								
Zotu11372								2
Zotu4367	1	1	2	6	3	1	1	3
Zotu13878		2						
Zotu19768				1			1	
Zotu9575		4	1	4		3	1	1
Zotu7957	1	2	1			1		
Zotu4902			1	1	1	1		1
Zotu6394	1			1				
Zotu11439		3		5		1	1	2
Zotu14206								
Zotu16885				2		1		
Zotu11163	1	1		2		2	1	
Zotu15292						1	1	
Zotu6669	1	1	1			2	3	4
Zotu6920					4	1		
Zotu15573						2		2
Zotu5119	1			6	2	1		
Zotu17128								
Zotu17277	1							
Zotu19448								
Zotu2922	2	1		3			2	1
Zotu8022	1			1				
Zotu9348								
Zotu5904		1	1	2	1	2	3	4
Zotu15076	1							
Zotu4137		1	1		1		2	
Zotu4825		1			2	1		
Zotu12446			1	1	1	1	1	
Zotu1739	5	1	1	9	6	3	6	3
Zotu17868				1		1		
Zotu6986		1	2			2	2	1
Zotu17947								
Zotu13717								
Zotu15575								
Zotu1660	4	3	1	5	8	10	6	3
Zotu8637				1		1		
Zotu6755			3	4		3		3
Zotu15741							1	
Zotu12927								
Zotu8726	2					1		
Zotu8691	1			1		1		
Zotu1305	2	5	1	1	1	5	6	2
Zotu11208				1				
Zotu17113				1				
Zotu17225								1
Zotu10835				1				
Zotu14222							1	1
Zotu9234								
Zotu15538		2						1
Zotu17370								1
Zotu11871								
Zotu17261								
Zotu18792	1							
Zotu707	2	6	6	17	9	12	2	3
Zotu1255	8	1	4	4	4	7	4	10
Zotu1053	18	7	7	15	2	7	9	10
Zotu3165	3	1	3	4	3	1	2	3
Zotu2596	3	1						1
Zotu3622	3		1	4	1	5	3	4
Zotu17825				1			2	1
Zotu12136								
Zotu12932		3			1	2		
Zotu16113								
Zotu6426	5					5		1
Zotu3707	2	1	1	3	1	1	3	
Zotu9999		3						1
Zotu19819								
Zotu20792	1							
Zotu14707								
Zotu8879	1							2
Zotu14523								
Zotu9621					1			
Zotu6655	4	2		1		2	3	
Zotu9254				1			1	
Zotu20316	1	1				1		
Zotu14145						1		1
Zotu20348								
Zotu5192		3	1			1		
Zotu7355	1			2			2	
Zotu1830	2	3	3	15	1	11	4	5
Zotu10272				2				
Zotu17663		1						
Zotu3151	5	8	1	2		2		4
Zotu7813			1	2			1	
Zotu15431	1				1			
Zotu1152	21	16	12	35	4	7	6	12
Zotu18669								
Zotu10226						1		
Zotu18858								
Zotu18672								
Zotu233	26	34	26	42	22	67	44	36
Zotu7152							2	
Zotu18467								
Zotu14152							1	
Zotu5916								
Zotu446	21	24	13	39	8	32	31	41
Zotu13129		1		1		1		
Zotu5752	1	1		6		3	3	5
Zotu999	11	11	6	17	1	6	13	5
Zotu13199								
Zotu18061			1					
Zotu6806	1							
Zotu3129	11	5	6	10	1	3	2	4
Zotu7341	4	1		1				
Zotu13678		3	2	1			2	1
Zotu462	35	39	22	76	10	25	12	17
Zotu815	25	25	6	19	9	12	4	7
Zotu3236		5	1	2	3	2	1	2
Zotu6933	2	2				1		
Zotu2146	4	8	5	7	2	7	1	5
Zotu5960	2			3	1	1		2
Zotu11246								
Zotu4439	1				1	2		3
Zotu14439							2	
Zotu18030				1			2	
Zotu12586								1
Zotu16863					2		1	
Zotu19808								
Zotu363	16	17	16	40	10	25	31	31
Zotu8285		3	1			6	1	3
Zotu5761	2		1				2	
Zotu4873	1	2		1		4	1	3
Zotu7884		1				1		1
Zotu3662		1		1		2	1	3
Zotu11068		1						
Zotu12715				2	1			
Zotu15117					1			
Zotu6878							1	1
Zotu9854		2						
Zotu10431								
Zotu3230		2			1			
Zotu8164			1					
Zotu15034								
Zotu19427								
Zotu11179								
Zotu10953	6	1	1	4	1	3		1
Zotu13988				4				2
Zotu19340								2
Zotu7241			1	1				1
Zotu857	5	6	2	5	2	1	4	15
Zotu2425	3		3	2			5	4
Zotu292	43	13	18	41	16	52	43	65
Zotu2329	4		7	2		2	6	2
Zotu9972				1				
Zotu445	30	19	2	13	4	20	16	9
Zotu14899								
Zotu18099				1				
Zotu6508		1	1	2	2		2	
Zotu17066								
Zotu19055	1							
Zotu12062								1
Zotu16494				2				
Zotu10834		1						
Zotu14646					1	1		
Zotu3410	2	4	2	4	1	4	4	1
Zotu9279						1		
Zotu9393		1		2		1	3	1
Zotu5516			2	5		1	2	2
Zotu11610							1	1
Zotu2398		3		1	1		2	5
Zotu389	63	11	16	14	4	21	11	11
Zotu5039	4			2		5		
Zotu12727								
Zotu5802	6	3	1	4	2	3	4	2
Zotu15802		2		2	2	1		
Zotu18952								
Zotu19418		1						
Zotu5200	1	3	2	1	1	1		2
Zotu9010		1		3			2	2
Zotu16669				1				
Zotu12702	1			2	1		1	
Zotu14739	1		1					2
Zotu16681								2
Zotu11721	2			1			2	
Zotu14572				3				
Zotu4846	3	4		1	1	2	4	
Zotu5031	3	2	2	1	1	3	1	6
Zotu11354				2		2	1	
Zotu10041				1		3	1	
Zotu15331	2						5	
Zotu7551	3	2	2			3	3	2
Zotu10865	7	3		2			1	
Zotu14837								
Zotu14237								
Zotu10844							2	
Zotu13263								
Zotu16179	2							1
Zotu3479	5	2	4	3	4	3	2	5
Zotu16607					1			
Zotu3894		6	3	20		3	3	3
Zotu6460	1	4	3	5		1	1	4
Zotu14340				1				2
Zotu16234				1				1
Zotu17905	2							
Zotu14265								4
Zotu13446				1		1		3
Zotu13742		1		1		1		1
Zotu11887	1	2	1		1	2		1
Zotu10729	3	1				1		2
Zotu18563	1			1				
Zotu18192								
Zotu6795	2	1		2			2	1
Zotu5596		2		2		1	1	1
Zotu20045			1	1				
Zotu9547	1	1		4		2	2	
Zotu15172							2	
Zotu20528			1					
Zotu6554		3				3	1	1
Zotu17410								
Zotu11938								
Zotu9367	3	3						5
Zotu6972	2	1			1	1		1
Zotu16136								
Zotu2215	2					2		
Zotu2932								
Zotu6729	1		1				1	2
Zotu624	24	16	6	11	1	11	7	9
Zotu4016		2	6	6	1	3	2	4
Zotu4651	1	1	3	2		1	6	4
Zotu3850	2		1	1		1		1
Zotu4883	3		1				1	2
Zotu5055	3		2			1		1
Zotu9312								
Zotu4534	1					1	1	
Zotu8230				1				2
Zotu3616	8	1	1	1		3	5	
Zotu4471						1		1
Zotu13142			2					
Zotu2080			1				3	5
Zotu1977	7	5	2	9	1	2	2	19
Zotu7482		3		2			2	
Zotu7547	1					1		
Zotu5715	3					2	1	2
Zotu3589	3	5		5	2	2	2	13
Zotu9282	1	2	2	1		2		1
Zotu6700		2	1	1	1	1	1	
Zotu7433				2			1	1
Zotu5131	3		1				2	
Zotu260	50	33	49	56	20	54	61	67
Zotu780	14	17	11	13	15	9	12	6
Zotu14780								2
Zotu15338	3				1			
Zotu15472				2		1	1	1
Zotu818	23	22	13	27	5	18	17	14
Zotu1990	3	9	5	7	5	7		5
Zotu1510	4	8	4	8		14	13	8
Zotu8088				1				3
Zotu16793				1		1		2
Zotu11589		1		1				1
Zotu20192								
Zotu2982			1	3	1	7	3	5
Zotu7074				1				1
Zotu19293	1	4					1	
Zotu1507	18	16	13	25	5	8	20	9
Zotu15565		1		1				
Zotu18345						1		
Zotu14774		1						3
Zotu5304	1	5	1	6	1	5	5	
Zotu6917	6		1	2	1	1	1	4
Zotu12862		2						
Zotu6934	1	2	3		1			
Zotu8802				1				
Zotu4402	2	3		3			2	1
Zotu14645	1	2	2	3		1	1	1
Zotu11440						2	4	
Zotu2065		2	4	7	2	4	10	20
Zotu13881				1	3		1	1
Zotu2664			1					2
Zotu16252			1				1	
Zotu7198				5			1	2
Zotu14288	1	1						
Zotu20737						1	1	
Zotu4233	2	8	6	5	1	7	7	
Zotu19153		1						
Zotu5277	1		1			5	1	5
Zotu11489	2		3		2		2	1
Zotu9511								
Zotu3019								
Zotu3005								
Zotu8851								
Zotu14848								
Zotu7179								
Zotu18454								
Zotu16518								
Zotu20347								
Zotu3985		2		2		5	2	68
Zotu13408				1				
Zotu3338							1	
Zotu8769								
Zotu9653		3	1			2		
Zotu2703								
Zotu4421								
Zotu9917								
Zotu12372								
Zotu14336								
Zotu9371								
Zotu18752		1		1		1		
Zotu11213								
Zotu12790								
Zotu5927								
Zotu19394								
Zotu12592								
Zotu7139								
Zotu20272					1			
Zotu4394					1			
Zotu4423								
Zotu18518								
Zotu5328								
Zotu725			1	3	4		6	
Zotu688		1						
Zotu227	2				1	1	17	4
Zotu3827								
Zotu13349								
Zotu1386	2	3	1	3	1	1	3	4
Zotu2446	2				3	1	4	8
Zotu12503								
Zotu2943		2	3		2	1	1	6
Zotu5270			2					1
Zotu7119				1	1	3		1
Zotu6964								
Zotu7252	2			1		2		
Zotu6837					1			
Zotu16133								
Zotu11729								
Zotu17386							1	
Zotu11258								
Zotu19233								
Zotu2985								
Zotu20227								
Zotu11496								
Zotu6409		1					2	
Zotu10717	1						1	
Zotu14715								
Zotu12260								
Zotu12035							1	
Zotu12024	1							2
Zotu12558							1	
Zotu5181								
Zotu17087								
Zotu6648	1	2			1			
Zotu5909				1				
Zotu1187		1					3	
Zotu5099								
Zotu4988			1					
Zotu12320								
Zotu20178								
Zotu166	44	58	28	42	31	79	74	66
Zotu258	27	27	15	41	21	51	40	67
Zotu18310		1		1				
Zotu11737	3							
Zotu13233		1	1			3	1	
Zotu19321				1		3		
Zotu3204	3		3	5	3	3		4
Zotu4618	2	2	1		3	1	4	1
Zotu894	20	9	8	26	5	24	14	24
Zotu19938								1
Zotu2503	3	7	3	8	1	4	9	6
Zotu8398					1		3	
Zotu19771								4
Zotu4691	1	4	4	6	1		2	2
Zotu8156	2	1			4	2	3	
Zotu11521								
Zotu14564								
Zotu109	117	102	64	162	63	80	63	97
Zotu809	13	12	7	26	3	9	12	9
Zotu5214	9	3	1		3			
Zotu1207	10	6	11	25	3	8	3	9
Zotu2112	4	4	4	7	2	7	8	3
Zotu15926		1		1				
Zotu1798	9	3	5	7	2	2	6	11
Zotu415	17	23	17	47	12	42	13	25
Zotu245	52	39	34	71	25	52	42	42
Zotu2556	1	2	1	3	8	4	1	4
Zotu1257	7	7	10	12	4	3	9	9
Zotu14440		1		2		3	2	1
Zotu17420				1		1		1
Zotu4303	4	1	2	3	1	1	3	2
Zotu9943	2	1	1					1
Zotu8546				1		1		
Zotu15101	1			1				
Zotu10077		1						
Zotu14658		1			2			
Zotu3585			3	8		7	2	3
Zotu9594	1						3	
Zotu19551		1	3				1	2
Zotu13990							1	
Zotu16760								1
Zotu2742	5	7	5	6	3	9	10	6
Zotu13926	2					2	2	1
Zotu1051	12	7	10	16	6	12	10	15
Zotu4575	2	1	1	5		1	3	2
Zotu11994				1				
Zotu787	22	12	10	28	11	41	16	24
Zotu19278								
Zotu5000	2	4	1	1	1		4	2
Zotu15586						1		1
Zotu11251								
Zotu15307								
Zotu4977							1	
Zotu8912	2		1				2	1
Zotu10908						3		
Zotu14600								
Zotu8420								1
Zotu7544								
Zotu4429								
Zotu5302								
Zotu3240					3			
Zotu7479								
Zotu1632								
Zotu8184								
Zotu12580								
Zotu8457								
Zotu17955								
Zotu20062								
Zotu5460								
Zotu15998								
Zotu16769								
Zotu17553								
Zotu17581								
Zotu8714								
Zotu6106								
Zotu16610								
Zotu8914								
Zotu228	19	31	16	32	14	67	101	94
Zotu832	10	9	5	18	4	10	7	22
Zotu994	11	13	3	5	5	10	19	14
Zotu14182	1			1	1			
Zotu616	9	3		3	1	2	4	5
Zotu1245	1		1	1	1		3	5
Zotu3321								
Zotu2644								
Zotu16032								
Zotu20182								
Zotu9394								
Zotu14623	1							1
Zotu14344	1							
Zotu20222								
Zotu4984	2		1					2
Zotu10215								1
Zotu9873								
Zotu18616								
Zotu6602								
Zotu3663								
Zotu4417	3	1						
Zotu9950	1							
Zotu10683								
Zotu14131	2							
Zotu19544								
Zotu10538					1	1		
Zotu18803		1						
Zotu13993								
Zotu12025	6							
Zotu10432								
Zotu8562								
Zotu13344								
Zotu2633	3					1		1
Zotu18606						1		2
Zotu6413					2			
Zotu11539	5	1				1		
Zotu12229	1							
Zotu18805								1
Zotu8168				1		1		
Zotu11490		2		1	2			
Zotu14688								
Zotu15020					1	2		
Zotu17286						3		
Zotu17744								
Zotu14244								
Zotu14802								
Zotu16770	1							
Zotu11754	1	2	1					1
Zotu20473								2
Zotu4597	3	1			1			
Zotu13924	1	1						
Zotu19925								
Zotu9038	2							
Zotu19318	1							
Zotu8325								2
Zotu3527	1							1
Zotu3955	2	1		1	1	1	1	
Zotu14801		2						
Zotu15682		2						
Zotu14990								
Zotu16820								
Zotu18637								
Zotu19856								
Zotu18205	2							
Zotu11441								
Zotu15903								
Zotu12180								
Zotu17428			3					
Zotu4381	1					1		1
Zotu12756	2							
Zotu14839	3				2	2		
Zotu16856								
Zotu20296								
Zotu14761		3	1	2			1	
Zotu20358		1						
Zotu5474	5			2	2		1	
Zotu5843								1
Zotu16861		1					1	
Zotu10307		1						1
Zotu17284								
Zotu3800	2							
Zotu1765	3		1		5	2		
Zotu1535	5	1			1		5	
Zotu14867	1							
Zotu14686	2							
Zotu16265								1
Zotu18248						2		
Zotu18463								
Zotu722	43	1	1	3		2	4	3
Zotu13611							1	
Zotu1303	4		9	3	2	6	10	8
Zotu9098						1	3	
Zotu774	10	8	21	16	2	24	12	16
Zotu6411		1	1	1		1	4	
Zotu2019	6	6	1	7		8	7	4
Zotu5206		1		4		1	1	1
Zotu9812	1	1				3	1	
Zotu501	27	21	18	19	3	24	34	41
Zotu7602			1	1		3		
Zotu14796	2		3					
Zotu1291	2	2			3	1	2	6
Zotu690	7	5	2	1	7	6	7	8
Zotu1906	1	1		1	2	1		6
Zotu2438	5	4	2			1	2	2
Zotu238	58	56	26	49	16	39	34	50
Zotu357	41	37	6	55	13	32	48	44
Zotu16127								
Zotu20448								
Zotu6990		2	1	2				
Zotu18072	1				1	1	2	
Zotu2536	1	1			1		1	
Zotu2197	28		1	2	13			1
Zotu1986					1			
Zotu4710				1				1
Zotu1213	2		4					
Zotu998	17			2	5		1	1
Zotu2601	7			1	1	1		
Zotu6529								
Zotu825	10	2	4	3			1	
Zotu19453								
Zotu13137								
Zotu18901								
Zotu7168								
Zotu11286								
Zotu19822								
Zotu7403								
Zotu18515				1				
Zotu3956								
Zotu19951		2						
Zotu10880								
Zotu20726								3
Zotu6317					1			1
Zotu12092	2							1
Zotu15672								
Zotu8555		1					1	
Zotu5616	1	1	1	3		1		1
Zotu18010								
Zotu11540				1				
Zotu12365								
Zotu7080								
Zotu6358								
Zotu11546								
Zotu13639								
Zotu3510								
Zotu5506								
Zotu18755								
Zotu9938				2				
Zotu11144								
Zotu10892								1
Zotu13839								
Zotu11102								
Zotu5112								
Zotu536								
Zotu5844								
Zotu3109								
Zotu3101				1		1		
Zotu16002								
Zotu10797								
Zotu10767								
Zotu7507								
Zotu7059			2					
Zotu7840								
Zotu7815								
Zotu1844					1	1		
Zotu11173					1		2	
Zotu20195								
Zotu511								
Zotu2172								
Zotu4957								
Zotu19583								
Zotu5634								
Zotu10377								
Zotu4155								
Zotu905								
Zotu10178								
Zotu15148								
Zotu19023							1	
Zotu12378								
Zotu15807				1				
Zotu606					1			
Zotu4180								
Zotu4848								
Zotu12832								
Zotu20445								
Zotu6128								
Zotu14996								
Zotu7707								
Zotu12989								
Zotu20304								
Zotu16660						2		
Zotu13969							2	1
Zotu3083	2	1	6	5		1	1	
Zotu7350				4	3		1	
Zotu3076	3	1	3	3	2	3	3	2
Zotu3932	3			2	2		1	3
Zotu4031	1	1	3	4	5	1	1	2
Zotu17415					1	1	1	
Zotu619	15	15	21	39	25	39	39	30
Zotu7369		2	1	2		1		1
Zotu2711		4	2	3		3	4	5
Zotu4616		2	3	1	1	1	3	2
Zotu2190	7		2	2	3	1	4	3
Zotu18877								
Zotu15524					1			
Zotu7264			1				1	2
Zotu11358								
Zotu17640								
Zotu126	46	68	98	119	112	53	110	93
Zotu8354			1				1	1
Zotu2037	1	4	3	2	7	8	3	1
Zotu12881	1							
Zotu3057	3	2		1	1	1	3	2
Zotu17541				1				
Zotu3077		6	4	3	4	6	5	
Zotu11211	1							
Zotu4407			2	1	2	1	1	1
Zotu4730	4	1	1	2	1	1	3	2
Zotu4304								
Zotu12889		1	2			1		
Zotu20649	2	2	4	3	2	1		1
Zotu19033				1			1	
Zotu19755	1	1	3	1	1	1	1	
Zotu18914		1		1		1		
Zotu20538	1			2		1		
Zotu19602			1	1	1			
Zotu18624								
Zotu15658					3	2		
Zotu18937	1			1				1
Zotu6540	2	2	1			2	3	2
Zotu11807		1	1				2	
Zotu17871								
Zotu11375			1			1		1
Zotu16148		1		1		1		
Zotu13074								
Zotu13425								
Zotu7802					1			
Zotu7804	3	2		1			1	
Zotu10089		1		1	3		1	
Zotu2269		1	3	1	1	2	2	
Zotu8673			2			1		
Zotu2401	2	2	7	2	6		4	
Zotu2871	1	1	6	8	2	1	2	1
Zotu3748			9	1	4	4	3	
Zotu20433								
Zotu19379								
Zotu10634							1	
Zotu7770					1	1		
Zotu14497	1			1				
Zotu16347				1	1			
Zotu4693							1	
Zotu1571	2	4	3	1	6	2	2	7
Zotu2405		9	11	3	4	7		3
Zotu7830				1	1			
Zotu6753		2	2	2	1	1		
Zotu8443			1	1	1	2		1
Zotu17431	2							
Zotu7539		1		4		1		4
Zotu14734		1	1		2		1	1
Zotu14438								
Zotu13325		1	2		1			1
Zotu7943	1	2	1		2	1		2
Zotu17085								
Zotu17305							2	
Zotu7169	1	2	1				2	
Zotu5572		1	1		1	1		
Zotu8969	2		4		1	1	3	
Zotu9555			1		2		6	
Zotu12201							1	
Zotu11640								
Zotu19597								
Zotu17668								
Zotu8403	1		1	1		1	2	
Zotu13096								1
Zotu17857								
Zotu9752			1					
Zotu17779								
Zotu11565				1				
Zotu17302					1			
Zotu14502						4		
Zotu8978				1			1	1
Zotu14334			2			3		
Zotu4795						1		
Zotu4512	2	1	2			1	1	1
Zotu10087			2			1		
Zotu9549			2			3		
Zotu5343		2	1	1		2	2	4
Zotu9947		1	1					1
Zotu17442								
Zotu2141	1	2	2	1	8	8	5	3
Zotu13763								1
Zotu5633								2
Zotu8032								3
Zotu10182		1						
Zotu11364				1	2			
Zotu4577	1	1		1	1	1	1	1
Zotu16491								
Zotu2162		4	4	3	2	10	2	3
Zotu16131		1			1	1		1
Zotu4969		2	2		1	3		2
Zotu5959		3	4		1	1	1	
Zotu13295			1	1				1
Zotu18948							2	1
Zotu12843	1		1	1			3	1
Zotu19834						1		1
Zotu11626		1				1		3
Zotu17918		1	1					
Zotu6066			2	2	1	1	1	
Zotu8149		3		1	1	2	1	1
Zotu6962		1	2		1		5	4
Zotu14248	2		4	1	2		1	2
Zotu15560	1							
Zotu5949		2	1	3	2	1	2	1
Zotu14213			3		1	2	1	2
Zotu14667					2			1
Zotu12926					2		1	
Zotu17311	1							
Zotu9841				1				
Zotu10568				1	1			
Zotu4011	1		2	1	1	2	3	1
Zotu17377	2	1		2				
Zotu4253	1		1		2	1		1
Zotu4224	3	4	1	2	5	2	4	1
Zotu14036		2					2	
Zotu9819		1			1	3	2	2
Zotu20672		2	1			1		
Zotu12038								
Zotu14357								
Zotu15200				1		1	1	2
Zotu13051		2						
Zotu15885		1		1				
Zotu13102				1				
Zotu14080			2			4	2	3
Zotu16883								
Zotu8917				2			3	2
Zotu14198								
Zotu12032							1	
Zotu12426	1	1				3	2	4
Zotu2260			2	2	3	5	1	
Zotu3004		3	5	4	3	6	1	8
Zotu10290		1	2	1		2	1	1
Zotu14254		2	2	2			1	2
Zotu20591					2		2	
Zotu6316	1		1				1	
Zotu17572								
Zotu15171								
Zotu8845						2	1	
Zotu19154					2		1	
Zotu8121								
Zotu3332			1		2			1
Zotu4562								
Zotu14442					2			
Zotu11123		1		1				
Zotu20255								
Zotu12982	1							
Zotu5088	1	1	2		3			1
Zotu19954						1		
Zotu2091	7	3	8	7	9	4	5	8
Zotu7522	3							
Zotu7455					1			
Zotu6257			3	2	1	1		2
Zotu12829								
Zotu8608	1	1	1					1
Zotu6314				1	1			1
Zotu3282		1	1		4		4	2
Zotu13387					1			
Zotu14202								
Zotu16291						2	1	
Zotu13028								
Zotu10320					2			1
Zotu10580								
Zotu16679								
Zotu1841	1		4	2	8	7	5	8
Zotu12595								
Zotu19498					2			1
Zotu8612			1	1	1	2	2	
Zotu18902	2			1				1
Zotu12029						1	1	
Zotu10250					1	1	3	
Zotu18220			2		2			
Zotu12758							2	
Zotu11405	1	1				1		1
Zotu12918								
Zotu9645		1	1					
Zotu12643						1		1
Zotu15363					1		2	1
Zotu7390	1	1	2	3	2	2	2	
Zotu11665	4		3					
Zotu10406	3	4	1			4	3	
Zotu191	28	44	35	34	55	41	62	47
Zotu18049								
Zotu3866	2		5		1	1	2	1
Zotu7640	2					3	4	1
Zotu10143								
Zotu1440	2	2	5	3	3	5	11	5
Zotu13766								
Zotu11050						1		1
Zotu17021						1		
Zotu847	5	5	9	23	12	12	19	15
Zotu4040	2	1			3	2	3	
Zotu3178	1	1	4		1		2	4
Zotu15112							1	1
Zotu2082	4	3	1	2	1	3	4	5
Zotu8155		1						
Zotu6347	1							
Zotu15653								
Zotu9898								
Zotu4856	1	1	1		2			
Zotu5228					3			
Zotu2012	3	2	3	2	4	6	7	4
Zotu6173								
Zotu4067		2		1	2	3	2	
Zotu9508				3	1	3	1	
Zotu13750		2			1			
Zotu16536						2		
Zotu14730	1		1		2			
Zotu1468	1	12	11	12	3	8	6	3
Zotu4967			2		3	1	2	1
Zotu335	7	9	23	19	35	20	18	27
Zotu11370							1	
Zotu468	16	10	16	19	28	25	17	18
Zotu4707						1		
Zotu6955			3	2				2
Zotu11006		2		1				
Zotu16716								
Zotu2841		1	2	1	5	6	1	4
Zotu9606								
Zotu11209								
Zotu9737	1		5					
Zotu14300					1			
Zotu13148			1					1
Zotu4965	6	1		1		1	1	2
Zotu3560	2		2	2	1		2	2
Zotu15659					1			
Zotu9714					3		2	1
Zotu10906			1		1		2	
Zotu876	3	6	7	12	6	10	3	4
Zotu14641								
Zotu8458	1			1	2		1	
Zotu15715								
Zotu4438		2	1	1		5	1	
Zotu10045			1		1		2	
Zotu17558								
Zotu19143								
Zotu3861		3	2	2	10	2	11	
Zotu14530			1		1			1
Zotu11634		1		1			1	
Zotu7112		1			1		1	
Zotu9328			2					
Zotu12096								
Zotu8300			1			2	3	
Zotu7564	1		4	1		2		2
Zotu16912							1	
Zotu10935			2					
Zotu8464				2		1	4	3
Zotu3436	4	1	5	2	4	3	4	1
Zotu15411		1						
Zotu1108	4	8	3	5	6	7	15	7
Zotu10967	2		1			1	3	
Zotu12990							1	
Zotu14833								
Zotu11767								
Zotu20279								
Zotu3208				1	5	3	2	3
Zotu14012								
Zotu11858		1				1	3	1
Zotu13897								2
Zotu14974						1		
Zotu3470			1	1	7	4	1	1
Zotu19441		1						
Zotu3357						3	1	2
Zotu16608								1
Zotu10426				2	1		3	
Zotu15596		5						
Zotu16704				1				
Zotu7820		4	1					
Zotu9776	1		1	2		1	1	2
Zotu16462					1			
Zotu12999		2	2					1
Zotu13760								
Zotu2614	1	2		2	1	3		3
Zotu11060								
Zotu520	11	17	10	23	21	21	10	22
Zotu19825							2	
Zotu16012								1
Zotu17266	1							
Zotu15735		1	1				2	
Zotu10179		1			1			1
Zotu10193								
Zotu20322								
Zotu16361								
Zotu16437				1				
Zotu14993	1				1			
Zotu5768		1			4	2		
Zotu11835		2	1	5			1	2
Zotu13743							1	
Zotu5455		1		3			1	
Zotu20028								
Zotu12548								
Zotu6526	2					1	1	2
Zotu2038	1	2	3	3	9	5	5	8
Zotu10663					1			1
Zotu3460		1	2	1	3	2	1	1
Zotu4422	1	3	1	5	5	2	4	1
Zotu3158	4	2	3			2	1	
Zotu11063				1		1		
Zotu749	5	8	7	15	19	12	8	12
Zotu6470	1			1	1	1		2
Zotu8377				1	1			
Zotu16058		1					3	
Zotu13664								
Zotu5100	1	2		3				1
Zotu10310		1		1				
Zotu16689	1	3					1	
Zotu11691				3				3
Zotu3759		2	7	1			3	5
Zotu2450								2
Zotu20072								
Zotu8992					1			
Zotu20754								3
Zotu7109								
Zotu8685							1	1
Zotu2532	1		1		1		3	5
Zotu11682						1		
Zotu15046				2			2	
Zotu2561		1	3		2	1	3	1
Zotu7176	3					1		
Zotu13634							1	
Zotu12827								
Zotu19123					1	1		
Zotu17275	3		2				1	
Zotu11681	1	1					3	
Zotu17310								
Zotu13660								
Zotu2550			4	2	3			
Zotu9262					1			1
Zotu3459	1	1	2	2	1	3	2	1
Zotu7693			1		1	1	2	2
Zotu6652	1	2	1		1		2	
Zotu3423	2	2	2	10		2	1	2
Zotu1996	6	8	9	2	7	2	7	9
Zotu7789	1		1				2	2
Zotu10861		1						1
Zotu17686		1						
Zotu1212	4	2	4	3	9	16	9	13
Zotu3471	1	2	4	3		2	1	9
Zotu9122	1	1		1	1		6	1
Zotu16746			2				1	
Zotu3698								
Zotu8804					2			
Zotu10355	1	2	3					
Zotu12240								1
Zotu1607	8		4	5	2	4	2	6
Zotu11413								
Zotu1968	1	4	2	5	1	3	2	1
Zotu17441								
Zotu13356					1	1	1	
Zotu10555			2	1			1	1
Zotu3702		1		1	1	3	5	3
Zotu7689					1	1		
Zotu9821	2				1	1		
Zotu11277							1	
Zotu3704	1	1	3	1	5	6	4	2
Zotu3305	1	5	1	1	3	1	2	1
Zotu18488					1			
Zotu12239	1	1			1			1
Zotu3438	1	3	5	1	2	2		8
Zotu15634								
Zotu13956					1	3	1	1
Zotu17908								
Zotu14744			3					
Zotu8312		1				1		2
Zotu11367			1				2	
Zotu15012								
Zotu859	3	7	15	9	4	10	18	16
Zotu5489		1		2	3		1	
Zotu5066			1	7		2	4	1
Zotu7768		1	1				1	
Zotu14611								
Zotu11889			1		1			
Zotu16061				1			1	
Zotu14038	1					1		
Zotu6624							1	
Zotu402	10	6	12	6	12	5	12	9
Zotu20640								
Zotu6034	1	1						
Zotu19456								
Zotu12565					1			
Zotu4923								
Zotu9198								
Zotu13359					1	3		
Zotu19428								
Zotu6225					1			
Zotu16370								
Zotu6578		4					1	
Zotu20697					1			
Zotu12789								1
Zotu4769	1	1	3	2	4		2	2
Zotu7782						2	1	7
Zotu14312	1				1	1		
Zotu330	17	16	14	33	35	29	52	43
Zotu2234	3	6	5	7	7	6	4	9
Zotu5842	1	1	4	5	1	4	1	1
Zotu3030	1	1	3	4	1	2	4	6
Zotu14604			1					
Zotu17309								
Zotu12569		1	1					
Zotu10473					1	1	1	1
Zotu16349		1		1				
Zotu10712	4		3	1	2		2	1
Zotu5937		2	1	2		2		2
Zotu9579	2	1			1	2	1	4
Zotu3276	8	1		1	1	1	2	2
Zotu15883								
Zotu12649			1			3		2
Zotu10514	4	1		3	1			
Zotu13688							3	
Zotu9127		1		1				
Zotu14923								
Zotu14321			1	1	2	3	4	
Zotu1924	2	5	12	10	5	12	4	10
Zotu8869			1			1		2
Zotu10931							2	
