ID	bs_f_1	bs_f_2	bs_f_3	bs_f_4	bs_f_5	bs_f_6	bs_f_7	bs_f_8
Zotu621	5	8	11	12	18	13	18	22
Zotu1586		3	3	3	5	7		7
Zotu3619		2		1	2	2		6
Zotu5333	1	1		1	1	1		2
Zotu950	2	1	5		3	5	4	2
Zotu15367								1
Zotu19209								
Zotu1381	5	1				2		2
Zotu11635			2	1				
Zotu18222								
Zotu15350				2			1	1
Zotu17534								
Zotu2963							1	
Zotu10535			1					
Zotu2371								
Zotu3084		1						
Zotu6203							1	
Zotu13290								1
Zotu6009		1		1				2
Zotu8449		1		1	3		2	
Zotu18337								
Zotu1762	4	6	3	6	10	9	6	4
Zotu16706		1	1		1	3		
Zotu13762		1					1	
Zotu8536	1							
Zotu7540		1			1	1		
Zotu10977			4		1			2
Zotu1284	2	4	2	9	6	1	6	4
Zotu14146					4		2	
Zotu1677	2	4		1	3	7	5	6
Zotu11004					1	1		
Zotu3808		1	2	2		7	4	4
Zotu7347		1	6		3	1		
Zotu11616		1						1
Zotu2389		4	3	3	5	9	3	5
Zotu8715	1		1		2	1		
Zotu12184	1							
Zotu7125		1	1	2		1	2	1
Zotu15875					2	1		
Zotu6338	1	1		1	1		3	3
Zotu19960								
Zotu9139		2		1	1	1	1	
Zotu6093	2		1		3	2	2	
Zotu14236				1	2		1	
Zotu18668							1	
Zotu4654	3		3			2	3	1
Zotu17351								
Zotu17950								
Zotu13553					1	1	2	1
Zotu18508						2		
Zotu11849		2			2	1		
Zotu11882			1			1	1	
Zotu18774								
Zotu13220	1	1						
Zotu14978	1							
Zotu14895				1			1	
Zotu6097		1	1		6	2	2	
Zotu11945					2	4		
Zotu16411			1				1	
Zotu19031								
Zotu8858					3			
Zotu20565								
Zotu11238								
Zotu11860							2	
Zotu13751								
Zotu10768								
Zotu12127								
Zotu6486								
Zotu885								
Zotu4756					1			
Zotu17478								
Zotu13055							1	2
Zotu16157			1	1	1	1		1
Zotu5238	4	4	2	3	6	5	2	1
Zotu15094	1	1			1			
Zotu19026							1	
Zotu9240	3	1		2		1		1
Zotu13121								
Zotu13583								
Zotu17626	1	1						
Zotu11957						1	1	2
Zotu17655			1		2			2
Zotu17673				2		1	1	
Zotu3825	1		2		2	1		1
Zotu10810		1		2	1	1	1	
Zotu17341		1	1			3		
Zotu3133			1	1		2	1	2
Zotu6707	2			1	2	1	2	
Zotu16124		1			1	1		1
Zotu19649							1	
Zotu9784	3		1	1	1		1	
Zotu13663			1				1	
Zotu14982					1			
Zotu11444				1		1	1	1
Zotu8874								
Zotu7734								
Zotu17514								
Zotu16513							1	
Zotu10724							2	
Zotu7342	1	1	4	1	1			
Zotu19319	1							
Zotu12450							2	
Zotu13970								1
Zotu13338			1					
Zotu12174						1		
Zotu6364								
Zotu8957					1		1	
Zotu7800			2	1				
Zotu13998							1	
Zotu7011								1
Zotu3289			1		1	1	2	
Zotu7871						1		
Zotu13002								
Zotu9504								
Zotu4277		1	3	1	4	1	1	2
Zotu7117	1							
Zotu10040				1				
Zotu10833		2						
Zotu10788			1					1
Zotu16396	3							
Zotu20753								1
Zotu19821								
Zotu5919	1			5	1	1	2	1
Zotu5354			1		1	2	1	
Zotu10197		1	1		1		3	
Zotu1555	1	1	4	3	8	6		
Zotu7356		2		3	3	2		
Zotu17308								
Zotu14242	1							
Zotu9495	1		1	1	1			
Zotu6408	1			2	2		3	2
Zotu2878	1			1	3	4	2	8
Zotu6687					2	1		2
Zotu5255						2	3	
Zotu14003								2
Zotu13984					1	1		
Zotu17024								
Zotu6834		1	2				1	
Zotu16902		4						
Zotu19045								
Zotu13980								2
Zotu2380	1	2	1	2	5	1	3	2
Zotu6490			4					3
Zotu15816			1				1	
Zotu10556							2	
Zotu3733				1				
Zotu7191			1				3	
Zotu7715					1	1		
Zotu20466								
Zotu14553						1		
Zotu18399								
Zotu18910					1			
Zotu18510	1		1					
Zotu4039	1			2			3	2
Zotu10761				1	1	1		
Zotu16211	1		1	1	1			
Zotu10434			4		1	1		
Zotu9318	3	1	1			2		
Zotu10549	1		1	1		1		1
Zotu6667						4	1	
Zotu10219						1		
Zotu11391					2	3		
Zotu6703		1	1		3	2	1	2
Zotu3193								
Zotu9390	2	3			1	2		1
Zotu11797	1			1		1	3	
Zotu1400	7	4	12	6	8	12	13	8
Zotu13456								
Zotu1340				1			3	2
Zotu5793	1		2			2		
Zotu14282	2	1						
Zotu7233								1
Zotu9697	1					1		
Zotu13251						1		
Zotu7473								3
Zotu14049	1							
Zotu19484								
Zotu886	5	2	4	1	2	6	5	14
Zotu602	2	2	3		1	1	3	4
Zotu477	6	5	2		8	3	15	
Zotu19793								
Zotu18673								
Zotu19261								
Zotu6815		1			1		1	
Zotu18915								
Zotu6483								
Zotu7463		1						
Zotu7041								
Zotu4926						1		
Zotu19467								
Zotu11779								1
Zotu16269								
Zotu19331								
Zotu15482								
Zotu20018				2		1		
Zotu17942				1				
Zotu4198		6	4	2	1		1	5
