ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu9666				1			1	
Zotu14360				3		2	1	1
Zotu3697	9	3	2	1			1	3
Zotu1446	1	3	2			1		4
Zotu13964								
Zotu17979		1						
Zotu19004								
Zotu5697								1
Zotu6058						1		
Zotu18282							1	
Zotu13454		1			1			
Zotu476	40	43	36	13	15	44	23	15
Zotu15332								
Zotu4880		1			2			1
Zotu11676								
Zotu11465		1	2			2		1
Zotu15444	1							
Zotu20346								
Zotu8531	2						2	
Zotu7647	2			1				
Zotu16907								
Zotu1525	3	8	8	6	4	5	4	2
Zotu4317	3	4	1	1		3	1	1
Zotu12353			1		1	2	1	
Zotu15678	1							
Zotu13939					1			
Zotu4442	2							
Zotu9962	1							
Zotu8490								
Zotu10440				1			1	
Zotu17846				1				
Zotu15513								
Zotu18397		2						
Zotu3291				2				
Zotu2866			1		1			
Zotu7100					1			
Zotu3259								
Zotu5089	2				2	1		
Zotu6773								
Zotu16324								
Zotu11459								
Zotu7359							1	
Zotu14692								
Zotu6449								
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674					2			
Zotu9053								
Zotu15237					1			
Zotu15062								
Zotu7704					1	1		
Zotu9221								
Zotu6113								
Zotu2298				1	3			
Zotu3320								
Zotu3408				1	1			
Zotu3844				1			2	
Zotu16390								
Zotu10370		1						2
Zotu3594								
Zotu19913								
Zotu5071				1				
Zotu4851								
Zotu8772			1					
Zotu19032								
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965		1						
Zotu17989								
Zotu14405								
Zotu12670								
Zotu18386								
Zotu10674								
Zotu16425								
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216								
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408				4				
Zotu4563	5	3		7		1		2
Zotu17669		1						
Zotu19629								
Zotu18417								
Zotu5636			1		1	1	1	
Zotu10991	1	3		2	1			
Zotu5128	1		2	2				
Zotu11542				16			2	
Zotu19858		2						
