ID	bs_ck_1	bs_ck_2	bs_ck_3	bs_ck_4	bs_ck_5	bs_ck_6	bs_ck_7	bs_ck_8
Zotu15207						2		
Zotu17622								
Zotu18481				1				
Zotu19524								
Zotu7360						2		1
Zotu20399						2	1	
Zotu6467	1	1			2	2		
Zotu15421					1			
Zotu16926			1			1		
Zotu13435							1	
Zotu19999								
Zotu20228						1		
Zotu9652							1	
Zotu19199		1		2				
Zotu15169								
Zotu14535		1			3	2		
Zotu19581				1				
Zotu6741								
Zotu18718		1						
Zotu13953								
Zotu16999								
Zotu12082								
Zotu8418			1	1				2
Zotu11812				1	1	1		
Zotu11827								
Zotu13589								
Zotu9061								
Zotu11903								
Zotu13781								
Zotu8027								
Zotu18446								
Zotu7377			4					
Zotu10831								
Zotu18551								
Zotu7891								
Zotu19421								
Zotu14773								
Zotu6321								
Zotu9425								
Zotu9598			1		3		1	
Zotu17300								
Zotu10681								
Zotu15198								
Zotu6736								
Zotu8421				1		1		
Zotu10722	2							
Zotu12774								
Zotu13011					1			
Zotu4437								
Zotu3654								
Zotu10403	2					1		
Zotu19934								
Zotu8216								
Zotu5266								2
Zotu15380								
Zotu12390								
Zotu2476								
Zotu921								
Zotu3896								
Zotu8197								
Zotu17837	1							
Zotu8175		6						
Zotu20826								
Zotu13122				1	1	1		1
Zotu18890						1		
Zotu20038								
Zotu4850								
Zotu12679								
Zotu9685								
Zotu10298						1		
Zotu6239				1				
Zotu3319	2		1		2	6		
Zotu19684			1					
Zotu13249								
Zotu17248								
Zotu16393					1			
Zotu4803								
Zotu17355		1						
Zotu11969					1			
Zotu9740	1					1		
Zotu15749	1							
Zotu3375								
Zotu8944			2		2			2
Zotu3001								
Zotu18274								
Zotu11212			1		2	1		
Zotu9484								
Zotu8447						3		
Zotu16097						4		
Zotu4470								
Zotu10944								
Zotu11918								
Zotu16412				1		1		
Zotu9531		1	2			1		
Zotu18363				1	1			
Zotu18117								
Zotu16360								
Zotu18982								
Zotu8143								
Zotu2654			1			1		
Zotu7528								
Zotu15136								
Zotu4757	3					1		
Zotu10113				2		2		
Zotu10773					1			1
Zotu9329								1
Zotu20476					1			
Zotu9298							1	
Zotu8591		1			1			
Zotu14021								
Zotu13318								1
Zotu15778								
Zotu8330								
Zotu13690								
Zotu17082						1	1	
Zotu13815						1		1
Zotu10491					6	5		
Zotu13418								1
Zotu17063								
Zotu7054		3		3		1		
Zotu8948		1				2		
Zotu19571						1		
Zotu10098								
Zotu16597								
Zotu20108								
Zotu14352		1						
Zotu19683								
Zotu8492								
Zotu9583		1						1
Zotu14897								
Zotu5125		1			3	1		1
Zotu14200				1				1
Zotu16107								
Zotu9965						1		3
Zotu18864								
Zotu18987								
Zotu17501					2			
Zotu15119							1	
Zotu5995		1						
Zotu11821								
Zotu8789			1	2				
Zotu13463								
Zotu3961								
Zotu10438								
Zotu6568								
Zotu17294								
Zotu5436								
Zotu9673								
Zotu7219								
Zotu9202								
Zotu15275								
Zotu18819								
Zotu13248			1			1		
Zotu13653								
Zotu8368						1		
Zotu9777					1	1		
Zotu18422								
Zotu15088								
Zotu8336								
Zotu13478						1		
Zotu13451		1	1			2		
Zotu15877								
Zotu4996	1		3	3	2	1		3
Zotu8068								
Zotu15858								
Zotu4777								
Zotu6560								
Zotu18218								
Zotu18883								
Zotu19941								
Zotu12436								
Zotu15783								
Zotu19369								
Zotu10687						7		
Zotu12975			1			2		
Zotu14350						1		
Zotu14891			1					
Zotu9745								
Zotu11920								
Zotu6954								
Zotu7240								
Zotu10245								
Zotu9107					2	2		
Zotu10633	1		1		1	2		
Zotu12233		2						
Zotu13394					1	1		
Zotu16688					1			
Zotu19027				1				
Zotu13227								
Zotu13977	2				2			
Zotu20835					2			1
Zotu4600		1		4	2	3		2
Zotu8016	1		1					
Zotu2244		5		1	2	1	2	1
Zotu9538	1		1		1	1	2	1
Zotu8391			1		3			
Zotu20840	1						1	
Zotu11265			1		1	1		2
Zotu16911		1		1				
Zotu5349						1		1
Zotu19409				1				
Zotu20505								
Zotu11379	1	2			1			
Zotu13222			1		4			2
Zotu19112								
Zotu12884			3		3			1
Zotu14515	1							1
Zotu17316					2			
Zotu13501						1		
Zotu7590						2		
Zotu18903								
Zotu7066	2					3		
Zotu15095		1						
Zotu16004				1				
Zotu13927								
Zotu1751	13	14	1		1	1		2
Zotu8103						1		
Zotu16067						1		
Zotu15640						1		
Zotu7738								1
Zotu6763								
Zotu19398				1				
Zotu10769			2		3			
Zotu18692	2	1						
Zotu17698		3				2		
Zotu10716			1	1	2	2		
Zotu17609							2	
Zotu16108								2
Zotu5758			1					
Zotu17030								2
Zotu15230								
Zotu13619						1		
Zotu5899	3	1		2	1		2	1
Zotu9715					2		4	
Zotu3139	10	1	6	9	1	2	3	2
Zotu15405		2	1				1	1
Zotu15667								
Zotu11966								
Zotu11991								
Zotu9705								
Zotu9488	2		1	2				
Zotu17606			1		1			
Zotu17402								
Zotu19088								
Zotu6456	3	3		1	4	1	3	
Zotu10361	5							
Zotu16156								
Zotu15511				3				
Zotu18507								
Zotu4254	5			4	2	6	4	1
Zotu9897				1	2			1
Zotu13571								
Zotu13388								
Zotu17361								1
Zotu12468				1	1			
Zotu20173						1		
Zotu4580				2	3	2		
Zotu15063						1		
Zotu10847		1				1		
Zotu10948						2		
Zotu10814								
Zotu10600					1			
Zotu4333			1		4			4
Zotu12027								
Zotu2658			4		7	2	2	2
Zotu4463			2		2	3		
Zotu2138		3	2		10	9	2	
Zotu4210								
Zotu7683						1		
Zotu2857					3	4		1
Zotu5215				1	1			
Zotu13164					1			
Zotu15718						2		
Zotu6250			1	2	9	1		
Zotu9750					1			
Zotu8599						1		3
Zotu15455					1	1		
Zotu2767	1	1	5	2	2	5	2	1
Zotu8686			1					
Zotu15121								
Zotu7015						1	1	
Zotu14650			1					
Zotu12870			2					
Zotu5610	1		6		1			
Zotu17776							2	
Zotu19705							1	
Zotu11764								
Zotu17579		8						1
Zotu5465	1				2	1		
Zotu14756								
Zotu16249								
Zotu14126								
Zotu9692			2					
Zotu11195					2	1		
Zotu14825								
Zotu11855								
Zotu12986						1		
Zotu5067	1	2	3		2	3	2	3
Zotu15104							2	
Zotu18126								
Zotu19811								
Zotu20582								
Zotu19079								
Zotu14988								
Zotu12529				1	1	2		3
Zotu17273								
Zotu19863								
Zotu12965			1					
Zotu19277							1	
Zotu12113	1					2		
Zotu11937						1		
Zotu11647								
Zotu13662								1
Zotu12017							2	
Zotu12109								
Zotu12747						1		
Zotu15617								
Zotu9126		2			1	4	2	
Zotu16525						1		
Zotu17073							1	1
Zotu3228								
Zotu18913								
Zotu10253						1		
Zotu15977								
Zotu8085	1	3	1	1	1	1		
Zotu9918								
Zotu11979		2			1		2	1
Zotu18193		1						
Zotu15607			1	2				
Zotu18439								
Zotu10866		2					2	1
Zotu16771								
Zotu8374								
Zotu19492								
Zotu16545				1			1	
Zotu10504				2		1		2
Zotu6231		2		4	1	2	3	1
Zotu12046	1			1		1		
Zotu20628		1	1					
Zotu16750								
Zotu4276		2	2					
Zotu15871		1						
Zotu9274		1	1				1	
Zotu19904								
Zotu18633								1
Zotu6493	1	1	6	3	1	2	2	1
Zotu14869		1		2				
Zotu8385								
Zotu978	3	4	6	1	14	3	4	6
Zotu20211								
Zotu7607			1					1
Zotu12104			3					
Zotu17820			1					
Zotu4343	1	2	4		4	5	5	2
Zotu19176				1				
Zotu4456	1	1	4	2	2	1	3	
Zotu20592								1
Zotu16279			1			2	1	
Zotu10075	1				1			
Zotu12279		1	1				1	1
Zotu18378								
Zotu15429								
Zotu18773	1							
Zotu10653			3		2			
Zotu9308	2	1		2		1	2	1
Zotu20635								
Zotu11662								
Zotu5539			4	1	1	1		1
Zotu3968		1	1			1		
Zotu3749			1		1	1		
Zotu19809								
Zotu14709	1				1			1
Zotu20339								
Zotu18163								
Zotu16430								
Zotu14655	3							
Zotu18664								
Zotu13241								
Zotu4590	1		1			8		4
Zotu12869	1	1					3	
Zotu16964								
Zotu13042	1							
Zotu17007								
Zotu5704			1	2	1	2		
Zotu14853				3				
Zotu2092	4		4	3	3	2	2	1
Zotu16587						1		
Zotu19304			1		1			
Zotu18219				1				
Zotu11709						1		4
Zotu14058							1	
Zotu20146								
Zotu20213			1					1
Zotu16623								
Zotu20317								
Zotu17264								
Zotu15825			1	1				
Zotu11632	1	2			2			3
Zotu4346		2				1	2	1
Zotu10795				1	1			1
Zotu10101								1
Zotu20280						1		
Zotu19070								
Zotu19874								
Zotu13609					2			
Zotu14376				1				
Zotu16829								
Zotu18239								
Zotu16416	1					2		
Zotu19997						1		
Zotu5667		1	2	2		3	1	
Zotu9481			2	1		1		
Zotu20073						1		
Zotu4999			1		2	1		
Zotu2931		1	4	1	13	14		2
Zotu20525						1		
Zotu12639								
Zotu14940								
Zotu13761			1			1		
Zotu8580			2		2			
Zotu7175		1			1	1	2	
Zotu13411	2							
Zotu18873			1		1			
Zotu10622								
Zotu2933	4		11	6	4	4	6	1
Zotu7668	3		2			1		
Zotu4724	3	2	2			1	4	
Zotu5862							1	
Zotu3937		1	1					
Zotu8681								
Zotu5956					1			
Zotu12518								
Zotu11580								
Zotu4443								
Zotu9434						2		
Zotu2150								
Zotu1949			2					
Zotu3290								
Zotu6389	1							
Zotu4699								3
Zotu6613		1	1					
Zotu15463	2							1
Zotu2996	2	2	1	2			1	1
Zotu4706							1	
Zotu12547					2			
Zotu17397								
Zotu3156		1						
Zotu14056								
Zotu17566	1							
Zotu8964								
Zotu1920								
Zotu11692								
Zotu1995			1	1				
Zotu9998								
Zotu12311								
Zotu15917								
Zotu20293								
Zotu6649								
Zotu1204			1	3		1		
Zotu1367							1	
Zotu2814								
Zotu6659								
Zotu6949								
Zotu7234							1	
Zotu12451			1					
Zotu14268							1	
Zotu7702	1						4	
Zotu4827								
Zotu6296						1	6	4
Zotu18294							1	3
Zotu19673								
Zotu17552				1		1		
Zotu4888	1	3	2	2			2	1
Zotu10614	1			1			1	
Zotu6496								
Zotu18043								
Zotu16945								
Zotu6782	1		2					1
Zotu20534								
Zotu11143						1		
Zotu13170								
Zotu4494	1	2	1	1		4	1	2
Zotu20290			2					
Zotu14742			3			6		1
Zotu6367			1	2	1	1		2
Zotu14148			1					2
Zotu2890	4		1		2	3	8	
Zotu5239	2	1	1	1			2	1
Zotu5352	3		2					
Zotu11002								
Zotu20551				2			1	
Zotu7537								
Zotu3751				2		4	1	1
Zotu13163	1		2		1	1	2	2
Zotu3933		1						
Zotu4709					4	1	2	
Zotu3603	1		2	7			4	3
Zotu16104	1					1		2
Zotu17639								
Zotu17450				1		3		
Zotu15644								
Zotu11419		1			1	3		1
Zotu20851				1				
Zotu7561					2	1		
Zotu9448		1			1			
Zotu10666		1				1	1	5
Zotu11067						1		
Zotu16995	1							
Zotu3041	4	1			1			
Zotu1895				1				
Zotu18971			2					
Zotu11842								
Zotu19603								
Zotu20625								
Zotu17493								
Zotu15540								1
Zotu2898	2		2		5	9	2	2
Zotu6407						1		
Zotu9661			1	1				
Zotu8915		1			1			
Zotu9064						1		
Zotu18197							1	1
Zotu19802		1				1		1
Zotu4082		1	5	1	6		1	3
Zotu3301			2		3	1	1	4
Zotu15537						4		
Zotu14291								
Zotu14754	1		1					
Zotu19056								
Zotu18305								
Zotu9537	1							
Zotu10642	1							
Zotu19685	1			1	2			
Zotu18188			1				4	3
Zotu20492								
Zotu20165							2	
Zotu9145								1
Zotu1961	2	1	6		6	6		3
Zotu7306	1						1	
Zotu4626				1	5	1		1
Zotu5272	1		4	2	3	1		
Zotu10252			1			1	1	
Zotu17233								1
Zotu9599		2	1		1	2		
Zotu19247						2		
Zotu18097								
Zotu1831	2	1					1	
Zotu16487								
Zotu17368						1		
Zotu2692				1		1	2	1
Zotu9536	2	1	1	1		2	2	2
Zotu3149		3		1				
Zotu9258		1		2				
Zotu13915								
Zotu7832	1							
Zotu9761	2							
Zotu10324	1							
Zotu15118	1							
Zotu6130					1			
Zotu2473							1	
Zotu12098				1	2			
Zotu8274								
Zotu13224		1	1			2	1	
Zotu15137								
Zotu16173	1		3	2				1
Zotu14330	3					1		
Zotu8778	1		2	1	2			2
Zotu6733				1	3		3	
Zotu11384							1	1
Zotu9069	2			1	2	1	1	2
Zotu3772	5	2	9	5	3	4	2	7
Zotu14197								
Zotu11228						1		
Zotu7055								
Zotu16548								
Zotu11016								
Zotu10675								
Zotu10337		1				1		
Zotu18976								
Zotu7451								
Zotu3323	3					1		
Zotu4015	1	2		3	2	3		
Zotu17262	1							
Zotu9092		2						
Zotu2430	1	1			3	4	1	3
Zotu7694						1		
Zotu13383						2		
Zotu5990							1	
Zotu7886								
Zotu9223		3		1				
Zotu8899								
Zotu13537								
Zotu6984			1	1			1	
Zotu7954								
Zotu1959								
Zotu19546	1							
Zotu5913				1			1	
Zotu7550			1		1			
Zotu11728		1						
Zotu14322								
Zotu16235				1		3		1
Zotu12777	1	1						
Zotu17271								
Zotu8181								
Zotu10579					1			
Zotu12810				1		1		
Zotu18103							1	
Zotu2079				2		2	1	
Zotu12081	1						1	1
Zotu9567								
Zotu13853					2			
Zotu11687		1						
Zotu18579		1					3	
Zotu2617	5		4	8	2	4	8	4
Zotu14615			2		1		1	
Zotu13932	1	1			1	3	1	
Zotu12559				2		1		
Zotu18949								
Zotu11035	1	1	1				1	1
Zotu11310	1					1		
Zotu12767					1			
Zotu3146	5		1	1		1	1	
Zotu14430								
Zotu17844			1		2			
Zotu13377								
Zotu1256	2		2		1		1	2
Zotu3022	2			1	2	3	1	
Zotu2883	1	2	3	1	1	1	1	5
Zotu8898			1			1		
Zotu9060	1					2		
Zotu7553						1		1
Zotu10170	2		1					1
Zotu18160						1		
Zotu12278	1			1				2
Zotu14736			1					
Zotu19614								
Zotu20139						1		
Zotu9646			1		3			
Zotu14245	1		2	1		1		2
Zotu20758		1						
Zotu12579	2		1					3
Zotu19252			1					
Zotu3047	3	4	3	3	5	3	4	2
Zotu6907		3	1	4		3	1	1
Zotu8810			1	1	1			
Zotu10670	1			1				1
Zotu12799			1				1	
Zotu8533			1	1	5		1	
Zotu15167								
Zotu12267	2			2	1			1
Zotu14147								
Zotu11591								1
Zotu14810						1	2	
Zotu18610							1	
Zotu8966			2	1		1	1	
Zotu15140						1		
Zotu16439					2		1	
Zotu17879							1	
Zotu3514	5			1	3	1	3	2
Zotu16854	1							
Zotu372	30	21	39	38	34	26	67	39
Zotu5220		3		1		1	3	
Zotu19870	1							
Zotu7019	1					1	1	
Zotu5237		1	3		2	1	1	1
Zotu6019	2		1			1	2	
Zotu6507				1				
Zotu8405						1		
Zotu20601								
Zotu1663	1				1			
Zotu530	17	9	35	48	19	8	28	11
Zotu1394	5	2	1	11	1	3	9	
Zotu1194	5	3	4	4	1	3	9	
Zotu6995	1		1	1	3	2	9	2
Zotu4244		1	1				1	
Zotu3355	1	5	4	6	3	1	18	7
Zotu1133	12	3	13	9	7	7	2	20
Zotu2923					2			1
Zotu5532	1				15			
Zotu12012			2				1	
Zotu4080	1			2	2		13	4
Zotu11058			1					
Zotu6438		4		1	2	1	1	
Zotu6021	1							
Zotu8390						1		
Zotu9077						1		
Zotu17632				1				
Zotu12635					1	1		
Zotu13386	2							
Zotu20150								
Zotu10779					1		1	
Zotu17223	1			1		1	1	
Zotu19375								
Zotu15239								1
Zotu6281				1		1	1	2
Zotu12063								
Zotu14356	1							
Zotu13519				2			3	
Zotu1858	1	4	5	16	1	8	4	
Zotu8651	1	2		1	1		2	1
Zotu5573			1	1	2	1		2
Zotu1417	6	4	11	7	11	5	9	3
Zotu14230	2				2		2	
Zotu3187	2	2	3		2	7	1	1
Zotu16541	1		1					
Zotu9890	1	5			3	2		
Zotu1697	3	4	2	1	5	8	7	2
Zotu10136							3	
Zotu7841								
Zotu3767	3		3	9	3	1	10	2
Zotu8823	1			2			1	
Zotu16139								
Zotu17625								
Zotu12110				2				1
Zotu12687				1	3			
Zotu13452					1			
Zotu10157	1				2		3	
Zotu12114		2		2	2		2	1
Zotu14721						1		1
Zotu5745			5	1	1			2
Zotu3920						1		
Zotu3731	2	1	4		4	3		1
Zotu13010						1		
Zotu7516		2	2				1	
Zotu13741		1						
Zotu8448		2			1	1		3
Zotu14961				1	2	1		
Zotu17296			1	1	1		2	
Zotu11107			1				2	1
Zotu8265				1		1		
Zotu4973		2	1			4		1
Zotu12295			1			2		2
Zotu13767	1							
Zotu4960			3		1	4		
Zotu13319								
Zotu19719								
Zotu10345			1		1			1
Zotu16637								
Zotu3879		1	2			3	3	2
Zotu17907					1		1	
Zotu13978								
Zotu4938		2	1	4	2	1		
Zotu2947	1	3	5	3	3	5	6	11
Zotu1164	8	2	11	5	8	5	8	7
Zotu3363	1	5	2	3	3	4	10	2
Zotu9404			1			1		
Zotu7120				2	3			
Zotu10488	1				1	1	2	
Zotu18023								
Zotu12956	1		3	1				
Zotu6091						3		
Zotu5779	1		1	1		2	2	1
Zotu12896								
Zotu17529								
Zotu6047	2				1			
Zotu8055	4				1		1	2
Zotu13270	2			1			1	
Zotu9870			2		2			
Zotu12911								
Zotu4420		4		4	3	2	1	1
Zotu3212	4	6	8	1	7	11	4	3
Zotu2220	8	1	7	3	6	6	4	1
Zotu9096				2				1
Zotu8039			1		2		3	
Zotu10877					1	3		
Zotu11098		1	1		2	1		1
Zotu4790	2			7	3	4	4	2
Zotu7200	2	4	3		2	3		
Zotu3308	2	5	1	3	2	4	3	2
Zotu9604				2				
Zotu8321	2	2	9		1	1	2	1
Zotu11074							1	
Zotu6511				1				
Zotu6803				2	2	3	2	2
Zotu6807								
Zotu6005		1	2				1	
Zotu4369			2				4	2
Zotu16086								
Zotu16628								
Zotu12970			1		5			
Zotu12097	2		6	1				
Zotu13547			1			1	1	
Zotu8764	1				3		2	2
Zotu17159								1
Zotu11748			1					
Zotu8480								1
Zotu14133								2
Zotu19605	2			3			3	
Zotu13053					1			
Zotu20637				1			3	1
Zotu20671								
Zotu16942		1			2			
Zotu16910								
Zotu7178	1	1	2					
Zotu11146			1					
Zotu1557		1	2	2				1
Zotu3453		1	4	2			3	
Zotu1046	2	3		2		3	3	4
Zotu4245	3		1	2	1	2	1	
Zotu13385		1				2	2	1
Zotu10417			1			3		
Zotu13570			1		2		2	
Zotu13648				1		2		
Zotu17060								
Zotu13065					1			
Zotu18444								
Zotu3205		1					1	
Zotu5770								
Zotu4149							1	
Zotu1596	1		1				1	
Zotu14851								
Zotu20802								
Zotu1870	2			1			1	
Zotu14559	1				1			
Zotu1606	5	8	7		2	1	1	1
Zotu10134	2						2	2
Zotu7563								
Zotu8700			1					
Zotu5064						2		
Zotu2925			2		1			
Zotu3389								
Zotu13401								
Zotu13682								
Zotu11497								
Zotu1688				1		2	1	
Zotu6286							3	
Zotu9035				1				
Zotu18416								
Zotu10934								
Zotu12912								
Zotu4813	4	1		3		5		1
Zotu7158								
Zotu16773								
Zotu15814		1						
Zotu17164								
Zotu5712	3							
Zotu4918			1		2	2	1	
Zotu3279	2	2	1		3	4	2	
Zotu7749						1		
Zotu8989	1		2					1
Zotu3185			2	2	2	2	2	2
Zotu2607	3	2	1	5		5		3
Zotu13459				1				
Zotu3343		2	4	3	1	1	5	1
Zotu12865				1				
Zotu9839	1	1		1		2		
Zotu2760		1	2		5	1	9	
Zotu9937			1	1				3
Zotu18122					2		1	
Zotu11454	1		1		1	3		1
Zotu6644	2	4	3	1	3	5	1	
Zotu10957				2		1	2	
Zotu12685								1
Zotu6820								
Zotu9981								1
Zotu1361			1	2	1	4		1
Zotu3785								
Zotu10223								
Zotu8656	1		1	1				
Zotu15650	1			2				
Zotu13066								
Zotu18678						1		
Zotu19187								
Zotu1985		3	2				1	1
Zotu9654							1	
Zotu4023		2	1			1		3
Zotu14917							5	
Zotu5686								
Zotu10327							1	
Zotu17497								
Zotu5552								
Zotu11551								
Zotu18423			1		2		2	
Zotu11338					2			1
Zotu15281				1				
Zotu19996							1	
Zotu10891								1
Zotu11253					2		2	
Zotu16143	1	2			1			
Zotu7237				1	1		4	1
Zotu16184							4	1
Zotu15583					1			
Zotu16423								
Zotu18176						1		
Zotu15762	1							
Zotu17901								
Zotu13732							3	
Zotu9711	1	3	1					1
Zotu15313							2	
Zotu15709								
Zotu3254	2	1		3	1			2
Zotu11579								
Zotu16232								
Zotu3088								
Zotu11382	1	1			1	2		
Zotu3034	9		1	5		2	3	
Zotu1700	6	9	9	10	3	3	9	7
Zotu9225	1	1	1	2	1			
Zotu12491			3			1	1	1
Zotu2139	7		8	5	4	1	3	4
Zotu14580		4						
Zotu4195	1							
Zotu7947	1							
Zotu9389								
Zotu20366								
Zotu19601								
Zotu8240		1				2		1
Zotu7521			1					
Zotu10561				1				
Zotu8507								
Zotu10539								
Zotu19373			1				1	
Zotu10230						1		1
Zotu5135			1	1	2	2	1	2
Zotu6362	1		1	1	8		1	5
Zotu7382	2	1	1	2		3		
Zotu14549								
Zotu18816								3
Zotu6156		1		3	3	1		2
Zotu8444					1			
Zotu17222	1							
Zotu8205			1	1				
Zotu15520							1	
Zotu17156					1			1
Zotu10911	2							1
Zotu15660								
Zotu10734								
Zotu18026								
Zotu15860			1			1	1	
Zotu12572			1					
Zotu15536	1		1				2	
Zotu20798			1		1			
Zotu5157								
Zotu15437			1					
Zotu12836					2			
Zotu13812			2	3				2
Zotu19290								2
Zotu14749								
Zotu16825								
Zotu16246								
Zotu20063					2			
Zotu6546			1		3	1		
Zotu18916					1	2	1	
Zotu13367								
Zotu14866								
Zotu16339								
Zotu16982								1
Zotu10650								
Zotu17430								
Zotu16530	1							
Zotu18865		1				2		
Zotu8422			1					
Zotu15921				1				
Zotu11530								3
Zotu11940								
Zotu8623	1		1		6	1		1
Zotu13958	1		1					
Zotu18553								
Zotu7275						3		1
Zotu1780	3	1	17	8	20	5	2	12
Zotu8860			1					
Zotu18314	1	1		1				
Zotu20703	3		1					
Zotu17919								
Zotu2580					3	2	1	1
Zotu20650			1					
Zotu3771					1		1	
Zotu3399			1					
Zotu11061				1				
Zotu5259	4	2	2	5		1	7	1
Zotu5908					1	1	1	1
Zotu6961	2	2		1			1	
Zotu16786								1
Zotu19928				1				
Zotu17120						1	2	
Zotu8819				1				
Zotu19002	1							
Zotu16251								
Zotu7058							1	
Zotu14540			1	1			1	
Zotu3326	3					3		
Zotu7323								
Zotu19177								1
Zotu12067				1				
Zotu5724	1	1		1	2	2		1
Zotu2746				1	1			
Zotu14235								
Zotu3330								
Zotu12249			37					
Zotu11763								
Zotu14338								
Zotu17314								
Zotu20607								
Zotu14138								
Zotu19748								
Zotu20035								
Zotu20238								
Zotu16683								
Zotu10744								
Zotu15830								
Zotu6015			6		2		7	3
Zotu3954		2	1		4	2	2	8
Zotu13726		1						
Zotu5819	4	1	2	1	1	1	3	
Zotu8954	2							
Zotu19815	1							
Zotu6848	1		1		1	4	1	
Zotu14385							1	
Zotu12575								
Zotu14258	1			1				
Zotu16735								
Zotu4007				5		2	4	
Zotu15269	1							1
Zotu7471	1	2		1		1		
Zotu5536	6		1		1	1	5	3
Zotu17282	1		1					1
Zotu5639						1		
Zotu5994	1							
Zotu13803								
Zotu13041				1				
Zotu18895			2					1
Zotu11588	1		2	1				
Zotu12225						1		
Zotu20292								
Zotu10818	2					1		1
Zotu11751	1		1		1			1
Zotu19339	1							
Zotu19519								1
Zotu16844		1	1					4
Zotu2647	8		1	3		5	2	7
Zotu5459		2	1	1			1	
Zotu1540	7	4	4	8	2	4	2	7
Zotu8194			1				1	
Zotu398	30	25	14	30	19	27	28	29
Zotu14771		1			1			
Zotu9818					1		1	1
Zotu2917	2	1	1			4	8	
Zotu20641				3				
Zotu6051		1	3	4	1		2	2
Zotu15079	2			1				
Zotu16215								
Zotu18804				2		1		
Zotu14813			1			1		
Zotu16884			1	1	1		1	
Zotu19606				1		2		
Zotu11792								
Zotu5863		1	3	1	3	3	1	1
Zotu932	2	3	9	11	13	8	9	4
Zotu498	6	11	18	7	18	10	6	7
Zotu17247								
Zotu16262	1				1			
Zotu18119								
Zotu9152	1							
Zotu13333								1
Zotu12154							1	
Zotu11788			1	1	1	1	1	1
Zotu13865	1	1			1			
Zotu19268				1				
Zotu9893		3	1	2	3	1		2
Zotu19780	1		1	2		1		1
Zotu20733		1		2		2		3
Zotu14621	1	1		1		3		1
Zotu18554			1					
Zotu20648			2	1				
Zotu19895	1	1	1	1		2	1	
Zotu16117	1				1		1	
Zotu19285	10		5	5	17	4	5	4
Zotu18114				1	2			
Zotu20847	3	2	2	1	7	3	3	2
Zotu15234				2	1	1		
Zotu12475					2			
Zotu16052	1	1	1			3		5
Zotu16824						2		
Zotu12445					4	1		1
Zotu20699	4	2	4	4	2	2	3	4
Zotu15673			2		4	1	2	
Zotu19769			1	1				
Zotu18838					1			
Zotu15544	1		3			2		1
Zotu18189			4					
Zotu16682	1							
Zotu18958	1		2	3	2		1	
Zotu19792			1	2				
Zotu16714			2		1			1
Zotu18360				1				
Zotu18471			1	2			1	
Zotu15452	1		1		1			
Zotu18161			1	1	2	1	1	
Zotu17188							1	
Zotu19381								
Zotu887	7	2	4	8	5	1	6	6
Zotu7378								
Zotu620								
Zotu1155								
Zotu6229								
Zotu369			2					
Zotu8362		1				2		1
Zotu12733				1			1	
Zotu1234	1	6	7	13	18	13	8	8
Zotu7093						2		1
Zotu3090	5	2	6	1	1	3	2	1
Zotu14028				1				
Zotu8961	1			2				3
Zotu2666	5	2	2	11	4	1	1	3
Zotu20539			1	2				
Zotu4350	1	3	1	1	2	3	1	2
Zotu6112	1	2	1	3		1	1	2
Zotu6357		2	4	3	1		2	1
Zotu14612		1				1		
Zotu4416	1	3		3	7	3	2	4
Zotu19894	3							
Zotu4036	1		4			1	5	1
Zotu6833			3	1	1			
Zotu9046			8	1			1	1
Zotu20484		1			1			2
Zotu18641					1			
Zotu19195								
Zotu16190			1				1	
Zotu10227		1		1			1	
Zotu17970			1					1
Zotu9733								
Zotu20141								
Zotu13261								
Zotu10404				1	1		3	1
Zotu12712		5			1			
Zotu17710			1		1			
Zotu12340								
Zotu18911								
Zotu20705								
Zotu19295						2		
Zotu8504	4	1	2				1	1
Zotu19496							1	
Zotu1928	9	2	6	6	10	6	11	7
Zotu4141		1	3	1	3	2	2	3
Zotu10701	1		1	1	1			2
Zotu12331								
Zotu15372			4	1				
Zotu721	19	22	32	28	33	18	16	35
Zotu19917								2
Zotu10516	3							
Zotu184	54	31	67	87	70	38	41	60
Zotu983	11	6	19	15	11	11	6	18
Zotu2631		2	2	2	7	2		1
Zotu288	35	27	47	42	40	45	35	72
Zotu1198	4	2	8	6	17	6	8	8
Zotu4762							4	2
Zotu683	8	6	14	10	4	11	6	29
Zotu5263		1	2	1		3		1
Zotu13503			3		2			1
Zotu16342	1							
Zotu8154	2			4	1	1		2
Zotu4136	1	1	3		5	5	4	4
Zotu10382		1	1	1	2	1		
Zotu4385	1	1	1	1	1	2	1	2
Zotu15262			1					
Zotu276	41	13	26	36	25	26	23	38
Zotu937	11	6	20	21	7	7	8	7
Zotu2279	6	1	3	3	2	2		3
Zotu10291		1		1		1	5	
Zotu272	39	14	57	48	39	24	39	40
Zotu4199	3	2	5	1		4	2	4
Zotu20780				2		2		1
Zotu9702			1	1			1	
Zotu20334						2	1	
Zotu6108	1	4			1	1		
Zotu3432					6	2	1	2
Zotu14970					1	1		
Zotu2126	4	4	6	11	9	10	6	15
Zotu16394	3					1		
Zotu12463					1			
Zotu2690		1	4	2	3	3	6	3
Zotu16754								
Zotu3353	2	4	1	1	1	1		
Zotu5433	2	2		1	5		3	2
Zotu15297					1			
Zotu3439		1	2		7			
Zotu4337	1			4	1			
Zotu4956	1	3	1	1	2	2	1	1
Zotu9559					1			
Zotu12671	1	1	1					
Zotu2934	6	4	2	8	6	6	5	3
