ID	bs_ck_1	bs_ck_2	bs_ck_3	bs_ck_4	bs_ck_5	bs_ck_6	bs_ck_7	bs_ck_8
Zotu20346							1	4
Zotu8531					1		1	
Zotu7647			1					3
Zotu16907								
Zotu1525	7	6	8	2	10	9	11	4
Zotu4317	2	1	1	1	1	4	9	6
Zotu12353				1	1			
Zotu15678	1	2				1	1	1
Zotu13939								
Zotu4442							1	
Zotu9962		2						
Zotu8490								
Zotu10440				1				
Zotu17846								
Zotu15513				1				
Zotu18397						1		
Zotu3291								
Zotu2866								
Zotu7100								
Zotu3259			2					
Zotu5089						1		2
Zotu6773								
Zotu16324					2	1	2	1
Zotu11459				1				
Zotu7359			1		1	1		
Zotu14692								
Zotu6449	1	1		1				
Zotu5556								
Zotu15876								
Zotu20294								
Zotu3674								
Zotu9053								
Zotu15237								
Zotu15062								
Zotu7704								
Zotu9221								
Zotu6113								
Zotu2298	1							
Zotu3320								
Zotu3408								
Zotu3844								
Zotu16390	1		1	2		2		
Zotu10370	1							
Zotu3594			1					
Zotu19913								
Zotu5071								
Zotu4851	4		7		1			
Zotu8772	1	2		2	3	5	7	2
Zotu19032		1						2
Zotu5981								
Zotu12992								
Zotu11293								
Zotu14965								
Zotu17989						1		2
Zotu14405								
Zotu12670		1						
Zotu18386								
Zotu10674								
Zotu16425								
Zotu6532								
Zotu8668								
Zotu18495								
Zotu15116								
Zotu8423								
Zotu16175								
Zotu12216						1		
Zotu778								
Zotu13339								
Zotu11970								
Zotu15408								
Zotu4563	3	4		1	4	1	2	2
Zotu17669		1			1			
Zotu19629						1		1
Zotu18417						1	3	
Zotu5636			1		1	2		
Zotu10991			1					
Zotu5128						2	1	4
Zotu11542			1					1
Zotu19858								
Zotu5368	1						6	
Zotu9767								
Zotu16970								
Zotu11437	1	1				1		1
Zotu19585	2			1			1	
Zotu10191	1	1			1			
Zotu13056					1		1	
Zotu3867	3	1	4	1	6	2	3	
Zotu12566		1		1	1		1	
Zotu9226								2
Zotu17018								
Zotu16019								
Zotu1092	12	4	7	6	8	5	12	7
Zotu2660	3	5	5		2	1	2	5
Zotu6931		2	2		1	1	1	3
Zotu4374	1		1	3	1	3	1	2
Zotu3934	1		3	5	4	5	2	7
Zotu1820	5	6	5	2	6	3	6	5
Zotu5548	6	1	2	3	1	2	4	3
Zotu1014	7	5	8	9	7	5	3	7
Zotu1329	10	7	8	10	4	9	15	7
Zotu5101	5	1	1	1	3	2	3	1
Zotu19975								
Zotu5226			2	1		2	4	1
Zotu16362	2	18	2	2	4	10	5	7
Zotu16397	3	8	2	1	1		1	2
Zotu19198			1				1	
Zotu19911								
Zotu13061								
Zotu20336								
Zotu17692	39	68	33	46	39	53	25	28
Zotu20273								
Zotu18526								
Zotu13857		2	1				1	
Zotu20408								
Zotu17938		1						
Zotu20362								
Zotu14640								
Zotu14203								
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297		1	1				1	
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	7	3	4		3		3	2
Zotu19191				2				3
Zotu20068								
Zotu13963								
Zotu6623	4	1			1		4	1
Zotu1466	8	9	14	5	7	10	17	9
Zotu7885								
Zotu6087	3							
Zotu13711								
Zotu20773								
Zotu19711								
Zotu2950								
Zotu14156				1				
Zotu7297	2							
Zotu16868								
Zotu17508								
Zotu11070								
Zotu14329								
Zotu3405								
Zotu9027								
Zotu2972		1		3	2	1		
Zotu621	11	5	14	8	16	2	16	13
Zotu1586	3	3	2	5	6	2	2	1
Zotu3619			2		2	1	1	4
Zotu5333	1	3		2	3	1		1
Zotu950	6		4	1	1	3	1	
Zotu15367								
Zotu19209								1
Zotu1381	1	4		1	5	1	2	
Zotu11635	1	1						
Zotu18222								
Zotu15350								
Zotu17534								
Zotu2963								
Zotu10535			1	1				
Zotu2371								
Zotu3084					1			
Zotu6203								
Zotu13290		1		1	2			
Zotu6009							1	
