ID	rs_ck_1	rs_ck_2	rs_ck_3	rs_ck_4	rs_ck_5	rs_ck_6	rs_ck_7	rs_ck_8
Zotu4639								
Zotu5642			1					
Zotu14306			2					1
Zotu14557								
Zotu10175								
Zotu20618						1		
Zotu8553								
Zotu7017								
Zotu17978		1						
Zotu8020								
Zotu3009		2						
Zotu19790								
Zotu12655					1			1
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750				5			3	
Zotu18585		1						
Zotu15951				1				
Zotu16422								
Zotu2517	2							
Zotu18523								
Zotu1552				4				
Zotu180	6	6	5	4	1	1	1	1
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564				1		1		
Zotu20140								
Zotu8417								
Zotu14768		2						
Zotu11529								
Zotu17015								
Zotu18318								
Zotu13340					1			
Zotu20417							1	
Zotu9970					1			
Zotu15748								
Zotu6149					1			
Zotu15438								
Zotu17956								
Zotu20790								
Zotu7626				1				
Zotu17845								
Zotu18290								
Zotu9121							1	
Zotu17219								
Zotu17069						1		
Zotu7130	1							
Zotu20833								
Zotu3496						1		
Zotu9385							1	
Zotu19126							3	1
Zotu6270	14						1	1
Zotu16680		1						2
Zotu4601					38		3	
Zotu358	16	6	1	8	10	15	32	7
Zotu5864	1		1			2		1
Zotu5771	4						5	1
Zotu11633	2	1	2	2	8	4	1	1
Zotu105	63	56	38	40	57	83	78	66
Zotu5517	1	1	3					
Zotu2710	7	2	23		2	14		17
Zotu6738	1					1		2
Zotu17274					2			
Zotu17758			1		2			
Zotu20596								
Zotu3727	1		3	1	3	3	3	1
Zotu13299					1	1		
Zotu16314					1			
Zotu19628							1	
Zotu20365			1					1
Zotu1371	26	25	23	43	69	96	50	52
Zotu1523	23	27	45	24	39	53	11	29
Zotu835	9	10	26	16	50	24	32	11
Zotu2736	6	2	8	9	6	7	20	10
Zotu4165	6	2		1	5	4	12	4
Zotu2052	29	28	26	67	33	21	58	29
Zotu15836	7	3	1	2	5	15	8	4
Zotu1073	1	5	12	22	43	32	17	16
Zotu3970						3		
Zotu4518								
Zotu3039	3	1	2		3	3		2
Zotu204	50	89	86	65	126	115	18	54
Zotu328	35	71	36	111	46	35	158	41
Zotu4371								
Zotu6098							2	
Zotu35	100	88	151	110	320	429	199	94
Zotu337	2		2	4	3	121	18	19
Zotu7429						2		
Zotu13596	5	1		4	1	4	3	2
Zotu20441			1			1	1	
Zotu444	17	14	16	22	37	46	62	19
Zotu880	16	7	10	11	38	9	29	22
Zotu315	71	46	53	32	36	48	33	30
Zotu5443	1				4	1		1
Zotu8703	4			1		2		
Zotu20470								
Zotu982	8	16	18	25	29	12	20	16
Zotu1233	7	4	5	21	9	12	10	21
Zotu9405	2				1			
Zotu425	6	11	14	16	14	21	11	21
Zotu4874	1			3	3		3	1
Zotu15459							2	
Zotu18548								
Zotu10137	1		1					
Zotu11520			1					
Zotu17326		1						
Zotu5688	1	2	1	1	1	2		3
Zotu17127						1		
Zotu9958						2		5
Zotu18705					1			2
Zotu12818						2		
Zotu4875	3	2	7	3	2	4	2	5
Zotu11762		1	1				2	
Zotu13239		1	1			2		
Zotu3508		1		2			2	
Zotu7316	1	2	1	2	1	1	3	1
Zotu13139						2		3
Zotu2013	7	3	11	3	7	10	15	5
Zotu8412		1	2	1	1	1		
Zotu13426			1	1		1		1
Zotu5118	2	2	1	1	2	2	11	2
Zotu17863								
Zotu9929							1	
Zotu1484	4	11	7	12	15	10	10	8
Zotu14424		2				1		
Zotu747	18	1			4	1	3	1
Zotu1722	6	2	14		28	26	21	2
Zotu5204		1	2					
Zotu15779			1			3		
Zotu5360		1						
Zotu947	7	2	6		6	1	18	6
