ID	rs_ck_1	rs_ck_2	rs_ck_3	rs_ck_4	rs_ck_5	rs_ck_6	rs_ck_7	rs_ck_8
Zotu19999								1
Zotu20228	1							
Zotu9652								
Zotu19199		1						
Zotu15169		1						
Zotu14535		1				1		
Zotu19581								
Zotu6741		2		2				
Zotu18718								
Zotu13953								
Zotu16999								1
Zotu12082								
Zotu8418								
Zotu11812								
Zotu11827								
Zotu13589			1			1		4
Zotu9061				1				
Zotu11903								
Zotu13781							1	
Zotu8027					1			
Zotu18446								
Zotu7377								
Zotu10831								1
Zotu18551		2	1			1		
Zotu7891	1					3		1
Zotu19421								
Zotu14773			2					
Zotu6321	1		1	4		3		
Zotu9425					1			
Zotu9598			1					
Zotu17300								
Zotu10681								
Zotu15198						3		
Zotu6736			1	2		2		1
Zotu8421		1		1		1		1
Zotu10722								
Zotu12774								
Zotu13011			1					
Zotu4437		1						
Zotu3654	1				2			1
Zotu10403	1	1						
Zotu19934								
Zotu8216	2							
Zotu5266					1			
Zotu15380			2					
Zotu12390								1
Zotu2476			10	6	1			4
Zotu921		2	2	74		1	1	
Zotu3896								
Zotu8197								
Zotu17837								
Zotu8175								
Zotu20826								
Zotu13122			1					
Zotu18890								
Zotu20038		1						
Zotu4850			1			2	1	
Zotu12679		1						
Zotu9685						1		
Zotu10298								
Zotu6239								
Zotu3319		3	1	1			1	2
Zotu19684								
Zotu13249								
Zotu17248								
Zotu16393								
Zotu4803		1	2			1		
Zotu17355								
Zotu11969					1	1		
Zotu9740			2	1				2
Zotu15749				1				
Zotu3375	4		1			2		1
Zotu8944								2
Zotu3001	2	5	3	5	4	1	2	3
Zotu18274								
Zotu11212								
Zotu9484								
Zotu8447		2						1
Zotu16097		1						
Zotu4470		1	2	4				6
Zotu10944								
Zotu11918				1				
Zotu16412								1
Zotu9531								
Zotu18363								
Zotu18117								
Zotu16360								
Zotu18982	1	1		2				1
Zotu8143			3					1
Zotu2654		6	5	2	2	7		
Zotu7528				2				1
Zotu15136				1				
Zotu4757			2	1				
Zotu10113	1				2		1	
Zotu10773		2						
Zotu9329		1				1		1
Zotu20476					1			
Zotu9298		1				2		
Zotu8591								3
Zotu14021						1		
Zotu13318								
Zotu15778								
Zotu8330			2				1	
Zotu13690		1				1	1	
Zotu17082								
Zotu13815								
Zotu10491								
Zotu13418								1
Zotu17063								
Zotu7054					1			1
Zotu8948		1						
Zotu19571								
Zotu10098								
Zotu16597								
Zotu20108								1
Zotu14352				1				
Zotu19683								
Zotu8492			1			1		1
Zotu9583								1
Zotu14897						1		
Zotu5125	1			1		3		1
Zotu14200						1		
Zotu16107			1			3		
Zotu9965								
Zotu18864								
Zotu18987								
Zotu17501								
Zotu15119								1
Zotu5995		1						1
Zotu11821	1		1			2		
Zotu8789			1					
Zotu13463						1		
Zotu3961				1		3		1
Zotu10438		1						
Zotu6568	1	2	1	1	1	4		
Zotu17294								
Zotu5436								
Zotu9673								
Zotu7219								
Zotu9202								
Zotu15275								
Zotu18819	1							
Zotu13248								
Zotu13653								
Zotu8368								
Zotu9777								
Zotu18422							1	
Zotu15088	2	1	2			1		
Zotu8336			1					1
Zotu13478	1							
Zotu13451	1	3	2	1				
Zotu15877			1					1
Zotu4996		1				1		
Zotu8068	1				1	1		
Zotu15858								
Zotu4777	1		1	1	1	6	1	4
Zotu6560	2	4	4			2		
Zotu18218				2		1	1	1
Zotu18883	2			1				
Zotu19941								
Zotu12436								
Zotu15783								
Zotu19369						2		
Zotu10687								
Zotu12975								1
Zotu14350				1				
Zotu14891								
Zotu9745					2			1
Zotu11920								
Zotu6954					2			2
Zotu7240		2	1	1	1		1	2
Zotu10245	1		1	1			1	
Zotu9107			1	1				
Zotu10633			1					
Zotu12233				1				
Zotu13394								
Zotu16688								
Zotu19027	1					3		
Zotu13227								
Zotu13977								
Zotu20835			2					
Zotu4600	1		1					
Zotu8016		1						
Zotu2244	2	2	2	2	1			1
Zotu9538	1			1				1
Zotu8391								
Zotu20840								
Zotu11265								
Zotu16911		1		1				
Zotu5349								
Zotu19409								
Zotu20505								
Zotu11379			2					
Zotu13222		1						
Zotu19112		1						
Zotu12884		1						2
Zotu14515					1	1		
Zotu17316								
Zotu13501			1					2
Zotu7590						1		1
Zotu18903								2
Zotu7066	1		1			1		
Zotu15095					1			2
Zotu16004								
Zotu13927							2	
Zotu1751	2	6	2	1	4	2	3	2
Zotu8103								
Zotu16067								
Zotu15640								1
Zotu7738					1		1	1
Zotu6763		2	1		2	1		1
Zotu19398								
Zotu10769					1			
Zotu18692		1						
Zotu17698								
Zotu10716		1						
Zotu17609								
Zotu16108					1			1
Zotu5758								
Zotu17030								
Zotu15230								
Zotu13619								
Zotu5899			1					
Zotu9715								
Zotu3139								
Zotu15405								
Zotu15667								
Zotu11966		1						
Zotu11991								
Zotu9705		1						1
Zotu9488	1	2						
Zotu17606								
Zotu17402		1		1				1
Zotu19088				1				
Zotu6456								
Zotu10361							2	
Zotu16156								
Zotu15511					1			1
Zotu18507								
Zotu4254						3		1
Zotu9897	1					1		
Zotu13571	3	1						4
Zotu13388								
Zotu17361								
Zotu12468		3		1		1	2	
Zotu20173		1	1					
Zotu4580		3	1	1				2
Zotu15063	1					3		
Zotu10847								
Zotu10948	1	2						
Zotu10814						1		
Zotu10600								
Zotu4333				3		1	1	3
Zotu12027	1						1	
Zotu2658				4	2	1		9
Zotu4463		5	3			3		
Zotu2138		3				1		3
Zotu4210		4			2	2		2
Zotu7683						1		2
Zotu2857	1							4
Zotu5215		3						
Zotu13164								
Zotu15718	3	2						2
Zotu6250				1		3	1	3
Zotu9750		3				2		2
Zotu8599		2				1		
Zotu15455			1					
Zotu2767	1	6	2	7	10	5	2	2
Zotu8686								1
Zotu15121								
Zotu7015				2				1
Zotu14650								
Zotu12870								
Zotu5610		3	1	3	3	10		
Zotu17776								1
Zotu19705					1			
Zotu11764								
Zotu17579								1
Zotu5465	4	4	7	2	6	5	2	5
Zotu14756					2			2
Zotu16249						1		
Zotu14126							1	
Zotu9692	1	1	1			1	3	1
Zotu11195		1	1					
Zotu14825								
Zotu11855	2							
Zotu12986	1							
Zotu5067	1	1			2	1		
Zotu15104								
Zotu18126								
Zotu19811								
Zotu20582	1							
Zotu19079								
Zotu14988								
Zotu12529		3						1
Zotu17273								
Zotu19863								
Zotu12965					2			
Zotu19277								
Zotu12113								
Zotu11937								
Zotu11647								
Zotu13662								1
Zotu12017								2
Zotu12109								2
Zotu12747		1		1	2			
Zotu15617								
Zotu9126								
Zotu16525								
Zotu17073		1			1			
Zotu3228		1	2	1				
Zotu18913								
Zotu10253								
Zotu15977			2					1
Zotu8085								
Zotu9918			1				1	
Zotu11979		1		1				1
Zotu18193								
Zotu15607							2	
Zotu18439								1
Zotu10866	1	1					1	1
Zotu16771								
Zotu8374				2		1		
Zotu19492		1	1					2
Zotu16545								
Zotu10504								
Zotu6231	1					1	1	
Zotu12046								
Zotu20628								
Zotu16750								
Zotu4276		1	2			1		1
Zotu15871			1					
Zotu9274							1	
Zotu19904								
Zotu18633								
Zotu6493				1				
Zotu14869								
Zotu8385					3			
Zotu978		3	1					
Zotu20211					1	1		
Zotu7607	1							
Zotu12104					1			
Zotu17820								
Zotu4343	2	4		1		2	1	2
Zotu19176	1	1						
Zotu4456				3			1	3
Zotu20592					3		1	
Zotu16279		1						
Zotu10075								
Zotu12279	1		1					
Zotu18378								
Zotu15429				1				
Zotu18773								1
Zotu10653								
Zotu9308		1						
Zotu20635								
Zotu11662						1		1
Zotu5539			1	3	2	2	1	1
Zotu3968	1	2	3	1	1	2	2	5
Zotu3749		1	3	3	4	6	1	5
Zotu19809								
Zotu14709		1			3	1		1
Zotu20339						3		
Zotu18163		1						
Zotu16430					1			1
Zotu14655								
Zotu18664								1
Zotu13241								1
Zotu4590								
Zotu12869								
Zotu16964								
Zotu13042								
Zotu17007								
Zotu5704								
Zotu14853								
Zotu2092	1		1	2	1			
Zotu16587							1	
Zotu19304								
Zotu18219								
Zotu11709								
Zotu14058								
Zotu20146								
Zotu20213							2	
Zotu16623								3
Zotu20317				1				
Zotu17264								
Zotu15825								
Zotu11632						2		
Zotu4346								
Zotu10795				1				
Zotu10101	1						1	
Zotu20280		1						
Zotu19070								1
Zotu19874								1
Zotu13609								
Zotu14376								
Zotu16829	2							1
Zotu18239								
Zotu16416				1				
Zotu19997								
Zotu5667	1	2	1	1	1	1		1
Zotu9481	1		2			5	2	
Zotu20073			1			1		
Zotu4999			3	3		10	6	10
Zotu2931	9		4	2	1	11	3	2
Zotu20525			1					1
Zotu12639	2							
Zotu14940								
Zotu13761		1						
Zotu8580		2		1	1	5		2
Zotu7175				1				
Zotu13411								
Zotu18873								1
Zotu10622								
Zotu2933	2							
Zotu7668								
Zotu4724								
Zotu5862	3	1	3		6	1	3	2
Zotu3937	2	14	3		3	6	3	3
Zotu8681	1	3	1			2		1
Zotu5956		2	1		3			1
Zotu12518				1	1			4
Zotu11580	4	2		2				1
Zotu4443	9	7		1	2	8	3	4
Zotu9434		1		1				
Zotu2150	1	1	1					
Zotu1949			5					
Zotu3290								
Zotu6389						1		
Zotu4699							1	
Zotu6613							1	
Zotu15463								
Zotu2996		3						1
Zotu4706								
Zotu12547								
Zotu17397								
Zotu3156		1		1	1	1		
Zotu14056								
Zotu17566		1						
Zotu8964				1			1	
Zotu1920			3					
Zotu11692								
Zotu1995			2	2				
Zotu9998								
Zotu12311	6							
Zotu15917								
Zotu20293								
Zotu6649	2							
Zotu1204		1	1	3		2		
Zotu1367	1	2	1	3	1		1	3
Zotu2814			2	1				
Zotu6659								2
Zotu6949								
Zotu7234			1			1		
Zotu12451								
Zotu14268								
Zotu7702	1							
Zotu4827	1			1				
Zotu6296								
Zotu18294					1			
Zotu19673								
Zotu17552	1							
Zotu4888								
Zotu10614								
Zotu6496								
Zotu18043								
Zotu16945								
Zotu6782	1	2						1
Zotu20534	1				1			
Zotu11143			1					
Zotu13170								
Zotu4494								3
Zotu20290								
Zotu14742								
Zotu6367								
Zotu14148								
Zotu2890		1						
Zotu5239			1					
Zotu5352								
Zotu11002								
Zotu20551								
Zotu7537						2		
Zotu3751	1							
Zotu13163								
Zotu3933								
Zotu4709					1	1		
Zotu3603		2	1					
Zotu16104								
Zotu17639								
Zotu17450		1						
Zotu15644								4
Zotu11419								1
Zotu20851				1		1		
Zotu7561								
Zotu9448					1			
Zotu10666								
Zotu11067				1				
Zotu16995								
Zotu3041	2	1	3	1	1			
Zotu1895	1							
Zotu18971								
Zotu11842								
Zotu19603	1						1	
Zotu20625								
Zotu17493				1			1	
Zotu15540								2
Zotu2898	4	3	9	4	1	12	4	11
Zotu6407	1			1		1	2	2
Zotu9661					1			
Zotu8915	1		2	3	1	1		
Zotu9064			1	1		2		2
Zotu18197					1			
Zotu19802	2					3		
Zotu4082	1			1	1			
Zotu3301	2	3	1	1	6	1	1	
Zotu15537			1					1
Zotu14291								
Zotu14754						1		
Zotu19056								
Zotu18305				1				
Zotu9537								
Zotu10642	1		1		2			
Zotu19685								
Zotu18188	1							
Zotu20492								
Zotu20165	1							
Zotu9145								
Zotu1961	1	11	3	2	2	11	7	7
Zotu7306		1	1	1		1		
Zotu4626	3	3	3	2	7	1	1	2
Zotu5272	2						3	
Zotu10252			1			1		
Zotu17233				1				
Zotu9599			2					
Zotu19247					1			
Zotu18097							1	2
Zotu1831	3	8	9	6	5	14	6	4
Zotu16487				1	1			1
Zotu17368		1	1					
Zotu2692				5				
Zotu9536								
Zotu3149								
Zotu9258								
Zotu13915					1	1		
Zotu7832								
Zotu9761							1	
Zotu10324		1						
Zotu15118								
Zotu6130								
Zotu2473				5				
Zotu12098	2							
Zotu8274					1			
Zotu13224								
Zotu15137								
Zotu16173								
Zotu14330						1		
Zotu8778			1					
Zotu6733	2	1						
Zotu11384								
Zotu9069								
Zotu3772				2	1			
Zotu14197								
Zotu11228								
Zotu7055					1	1		1
Zotu16548						1		
Zotu11016			1	1	2			2
Zotu10675		1						1
Zotu10337	1		1		2	1		1
Zotu18976						1		
Zotu7451	1	4				1	1	
Zotu3323		6	4	1		11		4
Zotu4015					1	1	1	1
Zotu17262						1		
Zotu9092								
Zotu2430		1	3	1	6			1
Zotu7694					2	2	2	1
Zotu13383								
Zotu5990			1					
Zotu7886								
Zotu9223					1			
Zotu8899			1					
Zotu13537								
Zotu6984	1					1		
Zotu7954								
Zotu1959				2				
Zotu19546								
Zotu5913	2							
Zotu7550						2		
Zotu11728		1						
Zotu14322							1	
Zotu16235								
Zotu12777								
Zotu17271								2
Zotu8181		1						
Zotu10579								
Zotu12810								
Zotu18103								
Zotu2079		1						
Zotu12081		1						
Zotu9567								
Zotu13853								
Zotu11687								
Zotu18579								
Zotu2617		1	1				1	
Zotu14615								1
Zotu13932		1				2		
Zotu12559								
Zotu18949								
Zotu11035								
Zotu11310								
Zotu12767								1
Zotu3146	1		1					
Zotu14430								
Zotu17844	1	1					1	
Zotu13377								
Zotu1256		6	1			1		
Zotu3022			1	1	2			
Zotu2883								3
Zotu8898			1					
Zotu9060		1				2		
Zotu7553								
Zotu10170								
Zotu18160								
Zotu12278								
Zotu14736								
Zotu19614								
Zotu20139								
Zotu9646				1				
Zotu14245						1		
Zotu20758							1	
Zotu12579								
Zotu19252								
Zotu3047	1				3	1		2
Zotu6907	1					1		1
Zotu8810								
Zotu10670								
Zotu12799								
Zotu8533						1		
Zotu15167		1						
Zotu12267						1		1
Zotu14147								
Zotu11591								
Zotu14810								
Zotu18610	1							
Zotu8966				1				
Zotu15140								
Zotu16439							1	2
Zotu17879								
Zotu3514			1					
Zotu16854								
Zotu372	4	1	4		1	3	2	2
Zotu5220								
Zotu19870								1
Zotu7019								
Zotu5237						1	1	1
Zotu6019				1				
Zotu6507	1							
Zotu8405		1						
Zotu20601								
Zotu1663		1	1					
Zotu530	4	5	6	2	2			
Zotu1394	1	1						
Zotu1194			1				2	
Zotu6995			1					
Zotu4244			1					
Zotu3355			1					1
Zotu1133	4							1
Zotu2923								
Zotu5532								
Zotu12012		1	1					
Zotu4080								
Zotu11058			1		1			1
Zotu6438								
Zotu6021	1	1						
Zotu8390				1				
Zotu9077	2			1	4	2		
Zotu17632								
Zotu12635					1			
Zotu13386								
Zotu20150		1						
Zotu10779								
Zotu17223								
Zotu19375				1			2	
Zotu15239								
Zotu6281								
Zotu12063			1	1	2			3
Zotu14356								
Zotu13519								
Zotu1858	1		1	1		1		
Zotu8651								
Zotu5573								
Zotu1417		1						1
Zotu14230								
Zotu3187			1	1				
Zotu16541								1
Zotu9890								
Zotu1697		1	5	3	1	1	2	2
Zotu10136						1		3
Zotu7841								
Zotu3767			1		1		1	
Zotu8823								
Zotu16139								
Zotu17625								
Zotu12110								
Zotu12687								
Zotu13452								
Zotu10157								
Zotu12114						1		
Zotu14721								
Zotu5745			1			4	1	3
Zotu3920		1						
Zotu3731	1			1		3		
Zotu13010								
Zotu7516			1				2	
Zotu13741			3	1				
Zotu8448		2				2	1	
Zotu14961								
Zotu17296								
Zotu11107								
Zotu8265								
Zotu4973	1			5	4	3	1	2
Zotu12295								
Zotu13767		5	2	1	1			
Zotu4960								
Zotu13319			1					2
Zotu19719								
Zotu10345								
Zotu16637								
Zotu3879	1	2	2					6
Zotu17907								
Zotu13978								
Zotu4938		1	7			3		1
Zotu2947		1						1
Zotu1164	5	3	2	3	1			
Zotu3363	1		3		5	1	6	6
Zotu9404								1
Zotu7120			1	1				
Zotu10488								
Zotu18023								
Zotu12956			1					
Zotu6091								
Zotu5779			1		1	1	2	1
Zotu12896								
Zotu17529							2	
Zotu6047			1					
Zotu8055		1		2		2	1	1
Zotu13270		2		2				2
Zotu9870								
Zotu12911			2					
Zotu4420					1			
Zotu3212	1		1					
Zotu2220	1	2	5	7	2	4	6	5
Zotu9096			1				1	
Zotu8039	1							
Zotu10877								
Zotu11098	1							
Zotu4790							1	
Zotu7200			1				1	
Zotu3308	1			2			1	2
Zotu9604								
Zotu8321		1					2	4
Zotu11074								
Zotu6511			1	1			1	2
Zotu6803	1		2		1		1	
Zotu6807								
Zotu6005								
Zotu4369	3	1	1					
Zotu16086								
Zotu16628			1					
Zotu12970			1	1				
Zotu12097	1							
Zotu13547								
Zotu8764						1		2
Zotu17159								
Zotu11748								
Zotu8480								
Zotu14133								
Zotu19605								
Zotu13053			1					
Zotu20637								
Zotu20671	2							
Zotu16942	1					1		
Zotu16910								
Zotu7178								
Zotu11146								
Zotu1557		4		1				
Zotu3453				2				
Zotu1046	3	3	3					2
Zotu4245								
Zotu13385								
Zotu10417						1		
Zotu13570								
Zotu13648								
Zotu17060							1	
Zotu13065								
Zotu18444								
Zotu3205						1		
Zotu5770			1					
Zotu4149			1		1			
Zotu1596		14		1				1
Zotu14851								
Zotu20802		1				1		
Zotu1870		1						
Zotu14559								
Zotu1606	3	5				1	2	1
Zotu10134								
Zotu7563	1			1	1			
Zotu8700		1	1					
Zotu5064	2		1					
Zotu2925	2	2	1	1				
Zotu3389	1					1		
Zotu13401								
Zotu13682								
Zotu11497								
Zotu1688		6				6		
Zotu6286		1	1					
Zotu9035								
Zotu18416								
Zotu10934		1						
Zotu12912								
Zotu4813				2				1
Zotu7158								
Zotu16773								
Zotu15814		2						
Zotu17164								
Zotu5712	1							
Zotu4918								
Zotu3279						1		
Zotu7749								1
Zotu8989			3					
Zotu3185	7	2	1					
Zotu2607								1
Zotu13459								
Zotu3343				2	1			
Zotu12865								
Zotu9839					2	1	1	
Zotu2760		1					1	
Zotu9937				1			1	
Zotu18122	1							
Zotu11454								
Zotu6644		1					1	
Zotu10957								
Zotu12685								
Zotu6820	1	1						
Zotu9981								
Zotu1361		2	2	2				2
Zotu3785			2					
Zotu10223								
Zotu8656								
Zotu15650								
Zotu13066								
Zotu18678								1
Zotu19187								
Zotu1985	1	2			1	1	2	3
Zotu9654								
Zotu4023			1	1				1
Zotu14917								
Zotu5686								
Zotu10327								
Zotu17497								
Zotu5552	1							
Zotu11551	2							
Zotu18423		1						
Zotu11338								
Zotu15281		1						
Zotu19996								
Zotu10891		1	1			3		
Zotu11253	1							
Zotu16143								
Zotu7237								
Zotu16184								
Zotu15583		6		2				
Zotu16423	1	1			1			
Zotu18176								
Zotu15762								
Zotu17901		6	1					
Zotu13732								
Zotu9711				1				
Zotu15313								
Zotu15709								3
Zotu3254		1						
Zotu11579								
Zotu16232								
Zotu3088			2	2				
Zotu11382								
Zotu3034	3					3		
Zotu1700	1	5	1	2	5	1		1
Zotu9225								
Zotu12491					1			
Zotu2139		1		1	2		1	
Zotu14580								
Zotu4195								
Zotu7947		1						
Zotu9389	1							1
Zotu20366								
Zotu19601								
Zotu8240			2	2	1	1	1	
Zotu7521		2		1		2		
Zotu10561				1		1		2
Zotu8507		1			1		1	
Zotu10539								1
Zotu19373								1
Zotu10230				1	4		5	
Zotu5135	1							
Zotu6362								
Zotu7382		1	1					2
Zotu14549								
Zotu18816								
Zotu6156		1			1	2		2
Zotu8444	1							
Zotu17222								
Zotu8205		1				1		
Zotu15520								
Zotu17156								
Zotu10911								
Zotu15660								
Zotu10734	1	2				1		
Zotu18026								1
Zotu15860						1		
Zotu12572				1				
Zotu15536								
Zotu20798								
Zotu5157		2						
Zotu15437						2		1
Zotu12836								1
Zotu13812								
Zotu19290								
Zotu14749			2					
Zotu16825								
Zotu16246								
Zotu20063	1							
Zotu6546		1					1	
Zotu18916	1							
Zotu13367		1						
Zotu14866								1
Zotu16339								
Zotu16982								
Zotu10650			1		4		2	5
Zotu17430							1	
Zotu16530								
Zotu18865								
Zotu8422		1						
Zotu15921						1		
Zotu11530								2
Zotu11940						1		
Zotu8623								2
Zotu13958								
Zotu18553								
Zotu7275	1		2					4
Zotu1780	1	6	5	6	4	3	1	5
Zotu8860								
Zotu18314								
Zotu20703								
Zotu17919								
Zotu2580								
Zotu20650								
Zotu3771								
Zotu3399								
Zotu11061								
Zotu5259								
Zotu5908								
Zotu6961	1		2					
Zotu16786								1
Zotu19928			1					
Zotu17120							1	
Zotu8819								
Zotu19002								
Zotu16251			1					
Zotu7058	1			1				
Zotu14540							1	
Zotu3326	2	1	1		1			
Zotu7323								
Zotu19177								
Zotu12067					2			
Zotu5724						1		
Zotu2746								
Zotu14235								
Zotu3330								
Zotu12249								
Zotu11763								
Zotu14338								
Zotu17314								
Zotu20607								
Zotu14138								
Zotu19748								
Zotu20035								
Zotu20238								
Zotu16683								
Zotu10744								
Zotu15830								
Zotu6015						2		2
Zotu3954				1	1			
Zotu13726				1			1	
Zotu5819							2	1
Zotu8954	2		1	1		1		
Zotu19815								
Zotu6848								
Zotu14385								
Zotu12575								1
Zotu14258								
Zotu16735						1		
Zotu4007			3			1		
Zotu15269		1						
Zotu7471	1		1					
Zotu5536						1	1	
Zotu17282	1							
Zotu5639								1
Zotu5994								
Zotu13803								1
Zotu13041								
Zotu18895								
Zotu11588								
Zotu12225							1	
Zotu20292								
Zotu10818					1			1
Zotu11751		1						
Zotu19339								
Zotu19519							2	
Zotu16844								
Zotu2647	1		1	3				
Zotu5459	2						2	1
Zotu1540	3	1	2	2	3	6	3	6
Zotu8194	1	1			2	1	1	
Zotu398	8	7	8	2	2	8	4	10
Zotu14771								
Zotu9818			1	1				
Zotu2917	1			2	1	1	2	1
Zotu20641								
Zotu6051			1	3			4	3
Zotu15079								1
Zotu16215							1	
Zotu18804								
Zotu14813					1	1		
Zotu16884				2			1	
Zotu19606			1					
Zotu11792	1	3		1		1		1
Zotu5863	3	2		2	4	3	2	7
Zotu932	5	7	7	8	12	10	17	14
Zotu498	46	38	25	31	43	25	39	42
Zotu17247	1		1	2				2
Zotu16262							2	
Zotu18119								
Zotu9152		4		2		2		2
Zotu13333		2		1			2	1
Zotu12154		2		2		1		
Zotu11788					2	2	1	
Zotu13865				1		1	1	
Zotu19268	1							
Zotu9893	2		1	1			1	
Zotu19780	1	1	1	1	1			1
Zotu20733	1						2	
Zotu14621								
Zotu18554	2		1					
Zotu20648								
Zotu19895	2			1	3		2	3
Zotu16117	1	1			1			
Zotu19285	7	2	9	7	2	7	4	5
Zotu18114				1	1		2	
Zotu20847	1	1	1	3	3		2	
Zotu15234								
Zotu12475	1	1		1	1			1
Zotu16052	2		3	1		1	1	1
Zotu16824				2		1		
Zotu12445						2		
Zotu20699	6	4	6	5	6	4	6	3
Zotu15673	2		1	1	1	2	1	1
Zotu19769		2	1			2		3
Zotu18838		1					3	
Zotu15544					1			
Zotu18189		2	1			1	2	2
Zotu16682			1				1	
Zotu18958			3	1	1		1	
Zotu19792				1		1	2	1
Zotu16714							1	
Zotu18360								1
Zotu18471							1	1
Zotu15452					2			
Zotu18161								
Zotu17188			2		2			
Zotu19381								1
Zotu887	3	4	1	2	1	2	1	
Zotu7378								
Zotu620								
Zotu1155								
Zotu6229								
Zotu369								
Zotu8362				3				
Zotu12733							1	
Zotu1234	1	4	1	1	2		4	4
Zotu7093			2					1
Zotu3090		1	2	2	5		3	9
Zotu14028								
Zotu8961						1		
Zotu2666			4		6	1	2	8
Zotu20539	1							
Zotu4350			1		1	2	1	5
Zotu6112	2	1		1		1	2	
Zotu6357					1			1
Zotu14612					1			
Zotu4416		1			1			2
Zotu19894		3						
Zotu4036					1	1		2
Zotu6833		1		1				
Zotu9046						1	2	
Zotu20484						1		
Zotu18641				1				
Zotu19195								
Zotu16190								
Zotu10227				1			1	
Zotu17970	1	1		1				2
Zotu9733				1			1	
Zotu20141	1							
Zotu13261					1		1	
Zotu10404								
Zotu12712								
Zotu17710								
Zotu12340						3		1
Zotu18911						1		
Zotu20705			2			1	1	1
Zotu19295		2		1				
Zotu8504								
Zotu19496								
Zotu1928		4	5	2		3	6	1
Zotu4141	1	1		2				
Zotu10701						3		
Zotu12331			1				1	
Zotu15372								
Zotu721	2	7	7	18	4	38	6	4
Zotu19917						2		
Zotu10516						4		
Zotu184	11	14	11	19	22	21	14	21
Zotu983	10	10	17	6	5	17	6	18
Zotu2631	1		3	3	4	6	3	5
Zotu288	18	28	41	24	21	54	9	21
Zotu1198	3	4	10	7	10	13	4	4
Zotu4762		1	2		1	1	1	4
Zotu683	8	7	6	3	3	10	6	5
Zotu5263	2	1	1		4	1		
Zotu13503	1					1		
Zotu16342								2
Zotu8154	1					1		
Zotu4136			1					2
Zotu10382			2				1	
Zotu4385		8		1	2		3	4
Zotu15262		1				1		
Zotu276	13	6	26	13	6	29	11	21
Zotu937		2	9	5	7	2	1	9
Zotu2279			2			4	1	2
Zotu10291		3				2		1
Zotu272	14	17	42	20	25	35	22	26
Zotu4199		2	1	2	3	2	1	4
Zotu20780								
Zotu9702		1						
Zotu20334								
Zotu6108		1	1		1			1
Zotu3432					1	2	2	
Zotu14970								
Zotu2126	1	3		6	5	3	6	1
Zotu16394				1			2	1
Zotu12463								
Zotu2690		1	1				3	1
Zotu16754						3		
Zotu3353			2			1	2	1
Zotu5433				2			2	1
Zotu15297								
Zotu3439					3	1		
Zotu4337			2	4		3		
Zotu4956	5					1		
Zotu9559								
Zotu12671		3			1		1	
Zotu2934					2		2	
Zotu5918		2				1		
Zotu13997								
Zotu14609	1							2
Zotu4799								
Zotu18632								
Zotu19422								
Zotu14201		1						
Zotu6322	1		1	1			3	2
Zotu15518								
Zotu13099	1	2					1	
Zotu5611	1				1			1
Zotu19302								
Zotu17768								
Zotu16547						1		
Zotu20715								
Zotu910	3	1	3	5	9	3	7	8
Zotu666	2	6		9	7	7	10	11
Zotu1453				1	2	6	1	3
Zotu6983	2				1		1	
Zotu9125				1	1		1	
Zotu2011		1	3	2	1	2	1	1
Zotu3322	1		1		1			1
Zotu12181						2		
Zotu19282								1
Zotu11836								
Zotu19439					1	1		
Zotu18300								
Zotu5051	2			1		3		5
Zotu16630		1						
Zotu5628				1		2	2	
Zotu19979								
Zotu1832		1	3	6	2	2	1	4
Zotu2899	1		5	2	1	4	7	3
Zotu143	19	25	33	64	39	32	76	58
Zotu808	1	2	6	5	4	4	12	8
Zotu4466			1			2	2	1
Zotu16100			1					
Zotu13287					1			
Zotu13018				1			1	1
Zotu7462				2				2
Zotu16336								
Zotu15357						1		
Zotu9532								
Zotu19578								
Zotu19687			1					
Zotu16767		2						1
Zotu13551	1							
Zotu19753	1	1				1		2
Zotu9674								2
Zotu8260	4	2				3		
Zotu12942								
Zotu668	3	3	11	5	5	5	8	4
Zotu759	5	3	5	11	7	3	11	2
Zotu2318	1		4	1	1	1	6	5
Zotu10424								1
Zotu11686					2			
Zotu13374								
Zotu15425		1	1			1		
Zotu19520			1					
Zotu14875								
Zotu13407	1			1	1		1	
Zotu13935				1				
Zotu17792			1					
Zotu16134	1		2	2			2	
Zotu20117			1	1				
Zotu12487		1			1		1	
Zotu248	8	6	16	31	24	19	14	18
Zotu1314	2	3	3	7	4	5	3	2
Zotu14846								
Zotu5542			1	1				
Zotu6079	1	2	1	2				1
Zotu18447		1		2		2	2	1
Zotu18486	1				1			
Zotu2114	2		5	10	5	3	11	3
Zotu20059								
Zotu2002	2	2	7	6	3	7	6	11
Zotu3075	1		4		6	6	3	10
Zotu18680								
Zotu5874	1	1	2			3		
Zotu2029				3	2	1		3
Zotu3128	2		2		2	2	1	2
Zotu5962	1						2	1
Zotu1356			4	4	5	2	6	6
Zotu4786			3	2			1	
Zotu1157	12	1	4	6	12	9	6	10
Zotu9554	1	1			2			
Zotu3769	1	1	2	1	6	1	1	1
Zotu6597	1		1		1	2		3
Zotu16351	1		1					
Zotu2560		4	1	3	1	2	4	9
Zotu5722	2	2	4	4	3	3	1	5
Zotu4619		1	3	5		1	1	
Zotu287	28	21	24	38	38	25	33	31
Zotu9953				1		2		
Zotu3687	1	1	4	3			4	3
Zotu18041			1					
Zotu20563								
Zotu20613						3		
Zotu17784								
Zotu6371	2					1		1
Zotu8936					1			
Zotu11001								
