ID	hps_cd_1	hps_cd_2	hps_cd_3	hps_cd_4	hps_cd_5	hps_cd_6	hps_cd_7	hps_cd_8
Zotu14282			2					
Zotu7233	2	1		1	2	1		2
Zotu9697				1	2			1
Zotu13251						1	1	
Zotu7473				1		1		
Zotu14049					2			
Zotu19484								
Zotu886	1	13	4	9	3	5	6	2
Zotu602	2	9	2	52		1	4	2
Zotu477		19	1	47	1	2	38	
Zotu19793								
Zotu18673							2	
Zotu19261								
Zotu6815								
Zotu18915			1					
Zotu6483				1				
Zotu7463								
Zotu7041		3	1					
Zotu4926			1					
Zotu19467			1					
Zotu11779								1
Zotu16269			1					
Zotu19331								
Zotu15482				3				
Zotu20018								
Zotu17942			2	2				
Zotu4198	5	1	5		1	1		
Zotu8387	3	1	1					
Zotu2597	1		10	4	5	2		1
Zotu17194								
Zotu14835				10				
Zotu20732	1	1				1		
Zotu19529				1				
Zotu6353								
Zotu9384								
Zotu17358								1
Zotu2202								
Zotu18975								
Zotu15606						1		1
Zotu18299								
Zotu14428			1	1			2	
Zotu7187				2				
Zotu20791								
Zotu5379								
Zotu13578								
Zotu1351	4	6	1	1		5	8	8
Zotu1893	5	3	2	1	4	16		5
Zotu20700						1		
Zotu9290								
Zotu6421		2					1	
Zotu16176		1		1				
Zotu13880	1							2
Zotu9811							2	
Zotu18383								
Zotu6796								
Zotu11544	1	1	2			1		
Zotu19264								
Zotu15838	1	1		1			1	
Zotu10993				3	3			
Zotu19945								
Zotu13952				1	2			
Zotu10007			2	1	4	2		
Zotu20474	1							
Zotu16519								
Zotu5191	1		2		2	2	2	1
Zotu9928			1					
Zotu1508	12	10	7	4	4	13	5	2
Zotu17362		1						
Zotu5795					1	1	1	
Zotu9014								
Zotu11305	1	1	1		1			
Zotu6101	1	1						
Zotu17446								
Zotu8494	1			1			2	
Zotu7076							1	
Zotu19108		1	2					
Zotu7659		2	1	2		1	6	
Zotu11122								
Zotu3998								
Zotu17230								
Zotu6241	4	2	2	1				1
Zotu564	3	8	14	2	9	2	14	18
Zotu9774		1	1					
Zotu5969	2				1	2		2
Zotu10850			3		2			
Zotu13175	1							
Zotu629	12		1		6	2	2	8
Zotu953	2	2		1	3	2	1	2
Zotu7595				2	1			
Zotu3597				1	1			1
Zotu2520			1	13	2	1	1	
Zotu10341	1							
Zotu6514								
Zotu8183	1	1	2					
Zotu20841								
Zotu10985			3		1		1	
Zotu362	14	33	40	21	21	9	21	26
Zotu890		20	6	3	3	1	4	5
Zotu548	13	14	16	17	18	8	13	34
Zotu3134	6	1	5	2	4	2		4
Zotu4812	2	2	2		1	1	2	1
Zotu13892			3					1
Zotu830	7	13	15	10	8	7	3	12
Zotu274	30	27	37	23	28	19	16	41
Zotu1640	4	7	4	5	6	4	4	9
Zotu4310		2				2		1
Zotu2208	3	6	1	2	2		3	
Zotu432	18	18	46	12	25	12	23	23
Zotu2687	4	2	3	2	3	5	1	1
Zotu823	11	3	18	11	9	6	8	11
Zotu4594	2		3		2			1
Zotu20763			1		1			
Zotu11178								
Zotu15780			1			1		1
Zotu2238	4	3	1	6	2	3	4	1
Zotu8708	3						1	2
Zotu8038	3	1		1			1	1
Zotu11843							1	
Zotu2499		5					11	
Zotu14075								1
Zotu17787								
Zotu1052	5	4	7	5	6	16	5	8
Zotu7129		1		4		3	2	2
Zotu17398								
Zotu137	23	16	27	19	13	23	15	19
Zotu1776				2			3	1
Zotu5123					2	1		
Zotu5162	1	1	1					
Zotu8550								
Zotu8557		1	5		2	2	1	
Zotu1294	6	17	7	4	8	10	6	4
Zotu17852				1				
