ID	hp_f_1	hp_f_2	hp_f_3	hp_f_4	hp_f_5	hp_f_6	hp_f_7	hp_f_8
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920								
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170	3				1			
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982								
Zotu993								
Zotu9173								
Zotu20134								
Zotu16018								
Zotu5583	1	2					3	
Zotu8841		2	1		1			
Zotu17732								
Zotu3011		4	3	1	3	6		2
Zotu5765		2	1	5	1	3		
Zotu6240		1				2	2	
Zotu7961	3							
Zotu11511		2	1					1
Zotu19491			1					
Zotu8463				1				
Zotu7658		1						
Zotu12921								
Zotu13277								
Zotu14952								
Zotu15982								
Zotu9990	1							
Zotu13620		1			1			
Zotu11813						1		
Zotu19700								
Zotu7385			1		1	4	2	
Zotu3085	1	1	1	2		6	2	
Zotu14032		1						
Zotu13198				1				
Zotu17583							4	1
Zotu13975	1							
Zotu12317			2	1		1		
Zotu7882					1			
Zotu3657	1	1	5	3	2		1	
Zotu9423	1			1		2		
Zotu9734		3	1		1		4	
Zotu16172			5					4
Zotu481	32	48	26	10	29	34	25	5
Zotu1375	4	10	7	4	5	11	8	
Zotu9414						2		
Zotu7416	2			3	1			
Zotu1322	6	5	7	1	2	6	7	
Zotu1144	5	6	2	1	2	3	7	2
Zotu869	6	6	13	15	6	4	7	1
Zotu5561				1				2
Zotu1614						1		5
Zotu11137								
Zotu2792	1	1	4				1	4
Zotu3593		5	1	2	1	1	1	
Zotu6691								3
Zotu59	72	85	101	74	95	120	101	21
Zotu7465		2	1	1	3	1		
Zotu1846	3	4	4	4	2	12	6	
Zotu1939								
Zotu4102	1	1				1		
Zotu7965								
Zotu3417	5		4	2	1			
Zotu10803							3	
Zotu6000								
Zotu7098								
Zotu5193		2						2
Zotu1153	26	7	9	18	9	7	6	2
Zotu15740			1					
Zotu14576								
Zotu10479				6				
Zotu19206								
Zotu2281		3	2	1		1	1	
Zotu7239		2						
Zotu4263	1	1	1		1	2		
Zotu7235	3					1		
Zotu15967		2						
Zotu13217		1		2				
Zotu12741								
Zotu4500			1			3	4	
Zotu8736			2					
Zotu3930	1	4	6	3	2	1	2	
Zotu9368	2		1					
Zotu7376								
Zotu2787		2		1		1		1
Zotu18567					1			
Zotu7186	1		3			1		
Zotu18336								
Zotu8370						2	1	
Zotu12448				1				
Zotu17050								
Zotu13482	1							
Zotu18313								
Zotu12621	1	3	1					
Zotu4772	1	1			1		3	
Zotu13569								
Zotu13576						1		
Zotu19888								
Zotu10166	1				1	1		
Zotu15916							1	
