ID	bs_f_cd_1	bs_f_cd_2	bs_f_cd_3	bs_f_cd_4	bs_f_cd_5	bs_f_cd_6	bs_f_cd_7	bs_f_cd_8
Zotu4594			2	1	2			
Zotu20763	2	1		1	1			
Zotu11178								
Zotu15780								
Zotu2238	4	2	8	6	2	6	2	1
Zotu8708		2			1		1	
Zotu8038	2	1	1		1	1	3	
Zotu11843				1	2			
Zotu2499	1					5	1	
Zotu14075								
Zotu17787								
Zotu1052	6	5	5	13	4	6	1	4
Zotu7129	10	1	1	3	1		1	1
Zotu17398	1							
Zotu137	15	11	19	18	10	18	11	18
Zotu1776							1	
Zotu5123								1
Zotu5162		3				2		1
Zotu8550		1						
Zotu8557			1		1	1	1	1
Zotu1294	8	5	4	6	7	6	9	9
Zotu17852						1		
Zotu6819		2	1			1	3	
Zotu7733			1					
Zotu11615	2							1
Zotu16870			1			1		
Zotu2132	1	6	2	11	5	1	5	6
Zotu6301	2	1		3	1		1	3
Zotu6161		1	2	1	1	5		3
Zotu12637						1	3	
Zotu16071			5					
Zotu16579								
Zotu10184	3							
Zotu17269								
Zotu15410								
Zotu20527								
Zotu15902					1			
Zotu18663	1	1			1			
Zotu2424	1		3	2	6	1		6
Zotu18676		2						
Zotu19506	1					1		
Zotu14448		1			2		1	
Zotu17597	1						1	1
Zotu12437								
Zotu14585							1	1
Zotu20266								
Zotu16711							1	
Zotu6727								
Zotu18473					1			
Zotu18256								
Zotu18712								
Zotu17656								
Zotu18844			1					
Zotu20369								
Zotu12074							1	
Zotu18670		1						
Zotu20004								
Zotu15082		1						
Zotu4048								
Zotu13854								
Zotu13676	1							
Zotu20107								
Zotu10297	2	5					1	1
Zotu2697	1							1
Zotu17928								
Zotu13228								
Zotu13491						1		
Zotu17802		2					1	
Zotu6886			1					
Zotu16005	1							3
Zotu1727								
Zotu10640								
Zotu7229								
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920								
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170						1		
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982		1		2				
Zotu993	1	3	2	8	2		1	
Zotu9173								
Zotu20134								
Zotu16018		2					1	
Zotu5583		2	2				4	
Zotu8841				1				1
Zotu17732								
Zotu3011	1	4	2		1	6	6	2
Zotu5765			2			2	1	2
Zotu6240	4				2			2
Zotu7961	2		1			3		
Zotu11511	1							2
Zotu19491					1			
Zotu8463			1				1	
Zotu7658	1	3						1
Zotu12921	1		1					
Zotu13277								
Zotu14952								
Zotu15982		1						
Zotu9990	1		2				1	
Zotu13620	5						1	1
Zotu11813								
Zotu19700								
Zotu7385	2		1			3	3	3
Zotu3085	2	4		1	2	4	8	5
Zotu14032		1			1			
Zotu13198							1	
Zotu17583							2	
Zotu13975						1		
Zotu12317	1				1			1
Zotu7882	1							
Zotu3657	8	8	6	1	6	2	4	2
Zotu9423	1							
Zotu9734	3						1	
Zotu16172	1						1	
Zotu481	22	22	28	29	24	31	29	30
Zotu1375	9	14	5	10	6	12	6	9
Zotu9414	2			1		1	2	
Zotu7416	1	2	2		1	2		
Zotu1322	12	10	21	9	1	13	9	11
Zotu1144	8	5	8	9	19	8	9	8
Zotu869	21	17	18	16	12	25	9	15
Zotu5561				1	1		2	
Zotu1614	2	4	3	4		4	1	1
Zotu11137	2		1					
Zotu2792						2	1	1
Zotu3593	3	2	2	6		3		2
Zotu6691	1				1		2	
Zotu59	134	108	96	115	75	131	92	114
Zotu7465			1	1				
Zotu1846		10	1	4	1	9	3	2
Zotu1939	1				2			
Zotu4102	4	5	7			3	2	3
Zotu7965		2	2			1		1
Zotu3417		2	2	1		2	3	
Zotu10803	1							
Zotu6000	3	1	3		1	2		
Zotu7098					1			
Zotu5193		2	3	1		1	6	
Zotu1153	10	9	20	10	9	9	7	12
Zotu15740								
Zotu14576		2		2		2	1	
Zotu10479			1		1		1	1
Zotu19206						1	1	
Zotu2281	2	6	3	3		9	3	3
Zotu7239	6			2		3	4	2
Zotu4263	1		2	5	1	3	1	
Zotu7235	3		1	2				
Zotu15967								
Zotu13217				4	1	1		
Zotu12741	1			1	1		1	
Zotu4500	4	2		3		4		1
Zotu8736								
Zotu3930	3	1	6	3	1	1	6	1
Zotu9368			2			1		
Zotu7376	1	5			1	2	3	1
Zotu2787	1	2	3	1	5		1	4
Zotu18567						2		
Zotu7186			3	2	1	2	3	
Zotu18336	2							
Zotu8370			6				1	2
Zotu12448	1	1	1			1	2	2
Zotu17050		1				2		
Zotu13482				1				
Zotu18313	2			1		1		
Zotu12621		1						
Zotu4772		20		3	1		1	1
Zotu13569				2	1			
Zotu13576		2	1	1	2	1		2
Zotu19888						1		
Zotu10166			1	1				
Zotu15916								
Zotu2024	5		6	3	3	4	4	2
Zotu5580					1			
Zotu10566							1	
Zotu11303	1	2			1	1		1
Zotu12951								3
Zotu7920			2			2		1
Zotu5621		4		1		2	2	2
Zotu16352		1	2				1	
Zotu13486	1	1		2		1	3	1
Zotu18954		1	2				1	
Zotu7757		1		2	1		1	1
Zotu11205	1							
Zotu10466	1		1	1		2		
Zotu14137			2				2	
Zotu17618	1							
Zotu4909	1	2			1	2		4
Zotu2512	13	3	3	10	2	1	5	3
Zotu7788	1			2	2		1	1
Zotu9712	1							
Zotu9342					1	1		
Zotu10526	1		1			1		3
Zotu5448								
Zotu12326								
Zotu8717						1		
Zotu4639	1							
Zotu5642			2					
Zotu14306	1							1
Zotu14557								
Zotu10175	3	1						
Zotu20618		1					2	1
Zotu8553						2		
Zotu7017						1		
Zotu17978								
Zotu8020								
Zotu3009				1			5	
Zotu19790	2	1	1					
Zotu12655							4	1
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750	1			1		1	4	1
Zotu18585								
Zotu15951								
Zotu16422								
Zotu2517								1
Zotu18523								
Zotu1552								
Zotu180								
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564								
Zotu20140								
Zotu8417						2	2	
Zotu14768							1	
Zotu11529								
Zotu17015							2	
Zotu18318			1					
Zotu13340								
Zotu20417	1		2					4
Zotu9970	1							1
Zotu15748		1						
Zotu6149	1	1		2	3	1	1	1
Zotu15438							2	
Zotu17956								
Zotu20790			1					
Zotu7626				4		3		1
Zotu17845								
Zotu18290	1		1					
Zotu9121		1						
Zotu17219			2		1		1	
Zotu17069			1					
Zotu7130		1			3			1
Zotu20833	1			1				
Zotu3496								
Zotu9385					1			
Zotu19126								
Zotu6270								
Zotu16680								
Zotu4601		1	1					
Zotu358	1							
Zotu5864								
Zotu5771								
Zotu11633			1		1			
Zotu105			1					
Zotu5517								
Zotu2710						1		
Zotu6738			2			1		
Zotu17274		1	1			2	1	2
Zotu17758			1				1	
Zotu20596							1	
Zotu3727	2			1		2	6	1
Zotu13299	1							
Zotu16314								
Zotu19628								
Zotu20365			1				1	
Zotu1371						1	2	
Zotu1523	1							
Zotu835	1		2	1				3
Zotu2736								
Zotu4165								
Zotu2052								
Zotu15836								
Zotu1073								
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204					1			
Zotu328								
Zotu4371								
Zotu6098								
Zotu35		1				1		
Zotu337							1	
Zotu7429								
Zotu13596								
Zotu20441								
Zotu444		1	4		1			
Zotu880								
Zotu315		1	3			1		
Zotu5443								
Zotu8703								
Zotu20470								
Zotu982	1	2	2			2		
Zotu1233	10	2	6	4	3	7	7	6
Zotu9405								
Zotu425	23	20	22	18	8	18	11	21
Zotu4874			1		1	4	2	2
Zotu15459	5							
Zotu18548							5	
Zotu10137						1		
Zotu11520	1				1	2	1	1
Zotu17326								
Zotu5688								
Zotu17127								
Zotu9958								
Zotu18705								
Zotu12818								
Zotu4875								
Zotu11762								
Zotu13239				1		1		
Zotu3508	1	1						
Zotu7316								
Zotu13139								
Zotu2013	1		2	2	1	1	1	5
Zotu8412			2					2
Zotu13426								
Zotu5118								
Zotu17863								
Zotu9929								
Zotu1484	1		2			1	1	
Zotu14424								
Zotu747	2	4	9	27	13	4	19	1
Zotu1722		7	3		8	2	2	
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947		6	3		1	3	9	1
Zotu3816	3	5	1				5	
Zotu3615		3		1		1	4	
Zotu4625				1				
Zotu3183								
Zotu20260		1						
Zotu18419								
Zotu17243								
Zotu507								
Zotu8328								
Zotu2196								
Zotu3421				2			1	1
Zotu4457				2		1		1
Zotu4792				1		1		
Zotu7296								
Zotu9478								
Zotu179	1							
Zotu297								
Zotu424								
Zotu1011	2	2	3	2				
Zotu2378								
Zotu5975	2	2				6	1	
Zotu11408								
Zotu17503								
Zotu19527								
Zotu1250	4		1	5	3	1	1	3
Zotu675	6	4	11	8	11	7	10	4
Zotu3210	1	2	3	3		2	3	1
Zotu7988							5	
Zotu11292					1			
Zotu540	9	21	6	15	13	12	17	3
Zotu790	11	4	3	15	7	7	12	8
