ID	rs_f_1	rs_f_2	rs_f_3	rs_f_4	rs_f_5	rs_f_6	rs_f_7	rs_f_8
Zotu9125					1			
Zotu2011				2	1			1
Zotu3322					2		3	1
Zotu12181								
Zotu19282								
Zotu11836					1			
Zotu19439			1					
Zotu18300			1					
Zotu5051		1				1		
Zotu16630			1					
Zotu5628	2				1			
Zotu19979								
Zotu1832		1	1	1	1	2	2	
Zotu2899			1	1				
Zotu143	10	8	24	48	30	17	8	38
Zotu808	2	1	3	5	3	2	2	
Zotu4466			1			1	2	
Zotu16100				1				
Zotu13287				1				
Zotu13018								
Zotu7462	1							1
Zotu16336	1							
Zotu15357				1				
Zotu9532		1					1	1
Zotu19578	2		2		1			
Zotu19687								
Zotu16767								
Zotu13551						1		
Zotu19753					1			
Zotu9674				1				
Zotu8260					2			
Zotu12942								
Zotu668	5	1	6	10	11	6	1	
Zotu759	7	4	7	2	6	2	1	1
Zotu2318		1	2	5	1		1	
Zotu10424			2				1	
Zotu11686						1		
Zotu13374								
Zotu15425					1	1		
Zotu19520								
Zotu14875								
Zotu13407		1			2	1		
Zotu13935					1			
Zotu17792								
Zotu16134	1		5		3			
Zotu20117								
Zotu12487			1		1			1
Zotu248	17	19	13	28	32	13	6	18
Zotu1314	4	4	3	4	4	1		1
Zotu14846								
Zotu5542	1							
Zotu6079			1					
Zotu18447	1	1		1	1		2	
Zotu18486	1		3	2	2			
Zotu2114	3	7	3	5	11	5	6	
Zotu20059					1			
Zotu2002	3	1	4	9	10	12	2	4
Zotu3075	1	3	7		4	12	3	
Zotu18680								
Zotu5874			3			2	2	
Zotu2029		5	2	4	5	7	2	1
Zotu3128	4	1		3	4	5		
Zotu5962	2		2					2
Zotu1356	17	8	4	6	14	8		4
Zotu4786	1	4	2	2		2	2	
Zotu1157	6	4	5	4	8	5	6	3
Zotu9554					1			3
Zotu3769		2		3		1		5
Zotu6597	5	1	1					
Zotu16351			1	1				
Zotu2560	4	5	6	7	4		3	4
Zotu5722	2				3			
Zotu4619	2	2	1	2			1	
Zotu287	24	41	35	38	57	65	40	15
Zotu9953								
Zotu3687	1	1	3		3			
Zotu18041	1				1		1	
Zotu20563					1			
Zotu20613				2	1			
Zotu17784								
Zotu6371						2		
Zotu8936								
Zotu11001								
Zotu16373								
Zotu19697								
Zotu6473								1
Zotu4099	1	2						
Zotu3295	1	1	1	3	1	3		
Zotu4313		2		1		1		
Zotu8212								
Zotu13657			2					
Zotu341	10	14	14	11	27	19	16	8
Zotu1538	1	3	2	1	4	3	1	1
Zotu7298								
Zotu185	12	12	14	8	29	9	8	9
Zotu4508		1			2			
Zotu15696								
Zotu3425							2	1
Zotu2412		2	3		1	1		1
Zotu1420		2		1	4	2		2
Zotu17886								
Zotu785			4		5		1	3
Zotu18788								
Zotu2798								
Zotu3551	1		1					
Zotu17206								
Zotu2388	1	3	1			2	1	1
Zotu419	6	9	15	8	30	11	11	5
Zotu6530		1	1	1				
Zotu19406								
Zotu14586								
Zotu15248								
Zotu5392					1			
Zotu5153			2				2	
Zotu20253								
Zotu14834					1			
Zotu14104			1			1		
Zotu19950								
Zotu13120	1		2					
Zotu18609								
Zotu19072								
Zotu6083	1		2		1			
Zotu15707			1					
Zotu6209		1			1			
Zotu15133								
Zotu1271	1	6	1	2	3	4	1	6
Zotu6343	1	1		1				
Zotu16038								
Zotu12121								
Zotu19049								
Zotu16640								
Zotu3882								
Zotu19105								
Zotu14389								
Zotu7698								
Zotu14614								
Zotu19661								
Zotu19134								
Zotu16561								
Zotu11822				1				
Zotu7814			1	1		1		
Zotu6643					1			
Zotu4404								2
Zotu12723								
Zotu1236		1	1					
Zotu4955								
Zotu18603								
Zotu15549								
Zotu16713								
Zotu7034		1		2				1
Zotu6134			2					
Zotu6175						2		1
Zotu20390				1				
Zotu3048				1				1
Zotu6941				1				
Zotu4916	1	2		1				
Zotu1006	1	1	1	1	4		1	1
Zotu16810								
Zotu12898								
Zotu19351								
Zotu17563								
Zotu6760								
Zotu18758								
Zotu17518								
Zotu19181								
Zotu3817				1	1	1	1	
Zotu12455								
Zotu5378		1		1		1		
Zotu4587	2	1	1			2	3	1
Zotu10459								
Zotu15165								
Zotu3936	2	1			1			
Zotu3898		1	2	1	1	3		2
Zotu9386			1					
Zotu1936	5	5	7	6	2	1		2
Zotu2991		1	3	1	1	1	1	
Zotu14431								1
Zotu12880								
Zotu19987								
Zotu12015		1						
Zotu18034								
Zotu16872	2			3			3	
Zotu17745	1							
Zotu16368								
Zotu4395			1	2				
Zotu15457								
Zotu11853	1				1			1
Zotu18449								
Zotu7896		1	1	2			4	5
Zotu14030								1
Zotu19021		1						
Zotu2515	1	10		3	9	1	5	3
Zotu3068		8		2	3	5	3	2
Zotu1214	7	9	5	2	9	7	10	3
Zotu3532		4	2	2	5	3	8	2
Zotu5620		2			2	2		
Zotu12513	3			2	2			1
Zotu15011								
Zotu7092	1		5	2	5	2	3	
Zotu1325	7	13	12	8	19	17	11	7
Zotu1513	8	16	9	2	13	6	11	2
Zotu5997	2	1	2	5	4	3	3	
Zotu2270	2	7	12	7	9	6	7	5
Zotu842	10	19	14	13	15	19	21	5
Zotu5500	1	4	3			5		
Zotu898	16	13	8	9	15	13	13	3
Zotu1042	24	13	12	12	23	15	16	3
Zotu1202	12	11	8	9	17	19	11	3
Zotu3839	2	2	1	1	1	1	2	1
Zotu1541	4	7	11	6	7	6	4	5
Zotu578	13	12	21	20	15	12	14	10
Zotu20800								
Zotu3260		1			5	1	2	
Zotu10490				1				1
Zotu12966		1		1	1			
Zotu10517	3			1		1		
Zotu7905		1						
Zotu3467		1	4		2	2	1	3
Zotu3766	2		3		1	2	4	2
Zotu11974								2
Zotu4251		7	3	2	3	3		4
Zotu15045								
Zotu10054		1	2		1			1
Zotu13669		3	1		2			
Zotu6132	1	3	3	4	6	2	8	
Zotu8268			1		2		1	
Zotu15692	1	3	1	1		3	2	
Zotu8169			2	1	2		1	3
Zotu6923	1			1	5			
Zotu14224		1	1				3	
Zotu11266					3			
Zotu12694			1			3	3	
Zotu1650	4	3	2	5		2	4	1
Zotu17022			2					
Zotu935	2	6	10	1	8	6	2	1
Zotu9857								
Zotu15514								
Zotu1821	8	10	2	2	7	3	10	3
Zotu10303								1
Zotu3219		2			1	1		
Zotu15179								
Zotu15547								
Zotu16631								
Zotu9155								
Zotu15495								
Zotu7953								
Zotu11569		1						
Zotu19537							1	
Zotu11886								
Zotu6422								
Zotu12672								
Zotu16355						1		
Zotu7650		1						
Zotu14506								
Zotu15453								
Zotu10477								
Zotu1583								
Zotu3580					1			
Zotu16296								
Zotu20852								
Zotu15164							1	
Zotu16676						2		
Zotu14374			1	1	1			
Zotu12374								
Zotu12011						1		1
Zotu20188						1		
Zotu17043							1	
Zotu18848								
Zotu10601					1	2		
Zotu18794								
Zotu10890								
Zotu9765		1				1		
Zotu15920								
Zotu7555		2						
Zotu8236								
Zotu6810				1	1	1	3	2
Zotu2519		1	6		2	2		
Zotu3590	4	2	10		1	5	12	
Zotu11625								
Zotu20289	5			1				
Zotu16893								
Zotu7392		1			1		1	1
Zotu6057						1		
Zotu11809			1					
Zotu8920							1	
Zotu14239								
Zotu10465		1				2		
Zotu7268			1		1	2		
Zotu20026						2		
Zotu20157		1	1		4	2	1	
Zotu10874			8					
Zotu8675								
Zotu14583								
Zotu8529		1						
Zotu18232								
Zotu3437		1				1	5	
Zotu11679								1
Zotu19589							2	
Zotu7672							2	
Zotu20034								
Zotu4622	1	1			1			1
Zotu19919								
Zotu10817								
Zotu3971								
Zotu20452								
Zotu13625								
Zotu16549			1					
Zotu17760			1					
Zotu17763								
Zotu9770		4	1				4	2
Zotu7519	2		1	1				
Zotu10533			1					
Zotu10144	5	11	10	3	7	5	10	
Zotu12938	4	3	1			1	2	1
Zotu2101	11	10	21	3	8	6	21	1
Zotu10855	1	1			1		2	
Zotu2572	3	7	6		6	2	3	
Zotu17399					2	1		
Zotu3262	3		3	2	2	1	6	
Zotu11117		3	6		2	2	1	2
Zotu1666	16	22	12	4	14	7	7	1
Zotu4410	11	3	3	1	4	3	4	4
Zotu10889	1	5		1	2		1	
Zotu5925	4	4	2	2	3	1	3	1
Zotu18254								
Zotu4672	5		4		7	6	3	
Zotu6292	1		1					
Zotu16542								
Zotu7396		2		1			1	
Zotu18385								
Zotu16007		2				1	5	
Zotu4172		3	4		2		5	
Zotu16529							1	
Zotu12502	2	1						
Zotu20209								
Zotu20360				1	1			
Zotu12830	1		1					
Zotu15233								
Zotu14144					1			1
Zotu16271							4	
Zotu6662	1							
Zotu20331					1		1	
Zotu11727		1						
Zotu4741				1	1		1	1
Zotu16476								
Zotu12995			1					
Zotu7670	1							
Zotu16106								
Zotu16888								
Zotu4821		1						
Zotu12226			1					
Zotu9044								
Zotu10461								
Zotu14318								
Zotu17401								
Zotu18587								
Zotu20229								
Zotu19485								
Zotu14163								
Zotu16248								
Zotu20560								
Zotu10960								
Zotu14729								
Zotu18899								
Zotu4771								
Zotu14941							1	
Zotu20530					2			
Zotu3598	3	1			7	1	3	6
Zotu17059								
Zotu19411		1						
Zotu9695				1		2		
Zotu11350			1	2				
Zotu4583					1			
Zotu12893	1							
Zotu9373		1		1				1
Zotu12664	4						1	
Zotu18962		1		1				
Zotu1365								
Zotu12542		1						
Zotu15009								
Zotu5482								
Zotu7220								
Zotu10279						1		
Zotu1860		1			2	2		1
Zotu13756								
Zotu14051								
Zotu8232								
Zotu15879								
Zotu13103								
Zotu6208		2				1		
Zotu6898	1	1	2	1	7		1	1
Zotu13898		3		1				1
Zotu10357		1			1	2		
Zotu16210								
Zotu5356						1		2
Zotu8409								
Zotu1300	3	3	1	2	2	2	5	8
Zotu6344			1					
Zotu3419			3	2		1		5
Zotu8272							1	
Zotu17423								
Zotu698	10	15	15	7	9	9	7	17
Zotu1104	5	5	6	4	9	4	10	9
Zotu3569	2	1	2	4	1	4	4	9
Zotu13649	1							
Zotu11083						1		1
Zotu17001								
Zotu3409			1					
Zotu4541		2						
Zotu4476								
Zotu14165								1
Zotu1872	1	6	9	6	3	8	2	2
Zotu2314	3	4	3	5	7	2	3	8
Zotu14976		3	1					1
Zotu7509		2			2	1	1	
Zotu18018				1				1
Zotu2585	5	7	3	5	1	2	4	5
Zotu8751		1						
Zotu2672			2	1				
Zotu4728	2		1				1	
Zotu6563		3					2	3
Zotu11359			2	2				
Zotu4598			2					
Zotu9678								
Zotu12598				1				
Zotu13792								1
Zotu14335								
Zotu12354				1				
Zotu14477	1		1					
Zotu12903	1							
Zotu18542								
Zotu10552	1			1				
Zotu15225		1			1			
Zotu6872								
Zotu14401							1	
Zotu20215							1	
Zotu18182					1			1
Zotu11845								
Zotu7321								
Zotu17364				1				
Zotu14588								
Zotu13162								
Zotu18905						1		
Zotu18421								
Zotu14006					1	2	1	2
Zotu2578	10	5	7	3	4	7	3	5
Zotu4685	1	2	2		2			3
Zotu20114								
Zotu13448								
Zotu16952								
Zotu19442								
Zotu8648	3	1			2			
Zotu18020	1	2		2			1	
Zotu13329		2				1		
Zotu15023					3		1	
Zotu3820	1			1	1		1	2
Zotu8824				2				1
Zotu4529		1	1		1			3
Zotu4726	1	1		3	1	1	3	2
Zotu14019								
Zotu9509		1			3		1	
Zotu5198	4		2	1	5	3	2	
Zotu4418		2	5			2	1	2
Zotu11396								2
Zotu1096	27	39	20	30	47	20	22	27
Zotu3854	4	3	7	5	3	8	5	2
Zotu2343		1	1					
Zotu2815	1		2	7	2	1	3	2
Zotu3887	1	4	4	8	7	12	1	1
Zotu10103	1		1	1	2			1
Zotu7746		2						
Zotu7984		1			1			
Zotu14408					1			
Zotu2404	8	9	7	4	13	3	9	6
Zotu11420		1			2		1	1
Zotu15177			1		3		1	2
Zotu8314		2	1	3	7	3		3
Zotu9699	2	1	1			3	1	
Zotu13171	1		1					
Zotu8150		3	2				7	
Zotu15890		1						3
Zotu19568				3				
Zotu10408			1	1	2	1	1	
Zotu5871	1				1	2		
Zotu12319	1	1	2		1			
Zotu12384								
Zotu16216	1							
Zotu7999	3	1			5		1	
Zotu9170					1	1		
Zotu4267		2	3	1	1	1	3	
Zotu19644		3						1
Zotu20834							1	
Zotu17699					1	1		2
Zotu4797	2			3	1	3	1	4
Zotu13847					2			
Zotu12815								
Zotu19216								
Zotu3442	1	2	1			2	1	2
Zotu7747	2	2	2	1	2		3	
Zotu4633		2	5	3	4	1	6	4
Zotu9337						1		
Zotu15765								
Zotu4281	1	1		3	2	3	1	2
Zotu4107	2		5	2	2	1		6
Zotu18113		1	1					
Zotu18247					1			1
Zotu20375		1			2	1		
Zotu827	8	16	12	6	25	12	8	17
Zotu1795	7	6	3	4	4	5	3	4
Zotu1359	8	1	6	13	5	4	3	15
Zotu1550	5	3	4	2	9	3	2	6
Zotu7967	4	2						
Zotu14446		1			2			
Zotu10210								1
Zotu1320		2	2	3	4			6
Zotu711	13	18	12	11	10	11	5	20
Zotu3526		1	1	3	1	4	1	6
Zotu11041		1		1	1	1		1
Zotu9913			1		1		1	1
Zotu18127								1
Zotu9876					1		1	
Zotu12362								
Zotu5915			2					
Zotu13057								1
Zotu18909								
Zotu11421								
Zotu10331		1	1		1	1	2	1
Zotu13499								1
Zotu5926		2	1	1				
Zotu11593		1						2
Zotu256	32	27	41	22	34	43	30	39
Zotu709	2	2	3	14	7	1	4	2
Zotu4674	1				1			4
Zotu1067	1		3	3	1			3
Zotu4071		1	2		1			
Zotu16428								1
Zotu11487							2	4
Zotu16153								3
Zotu19824								
Zotu12435								
Zotu18191								
Zotu10162					1		1	
Zotu5176	2		1	1				2
Zotu4675	1		3	7	1			9
Zotu15221								1
Zotu1972			2	5	3	2		1
Zotu19300								
Zotu5830		5	1	2	5		1	
Zotu10824		1		1	1		2	1
Zotu7729	1	3		1				1
Zotu11714	1	1						
Zotu17878		1	4	1				
Zotu5083	2	4	1	1		3	3	2
Zotu2147	11	8	3	2	5	14	3	2
Zotu19397								
Zotu4608	2	3	3	1	1	1	1	6
Zotu9816		2	3		1	1	1	1
Zotu15604								
Zotu10416								
Zotu13709	1	2			1			
Zotu2359	1	1	3	5	2	4	1	
Zotu17631	2							
Zotu13773						1	1	
Zotu17045								
Zotu11372					1			
Zotu4367	3	2			2			
Zotu13878		2		1				
Zotu19768				1				
Zotu9575						1		
Zotu7957					1	1	1	
Zotu4902							3	
Zotu6394	2	1	1		3		4	
Zotu11439		4	1			2	1	3
Zotu14206			1					
Zotu16885								
Zotu11163								
Zotu15292								
Zotu6669								
Zotu6920				2	2		1	1
Zotu15573		2		1			1	
Zotu5119	2	1	1				1	2
Zotu17128								
Zotu17277		1					1	1
Zotu19448								
Zotu2922	13	3	3	2	2	10	4	
Zotu8022		2	1			2		
Zotu9348		1			1	1		1
Zotu5904	4		3	1	2	4	4	2
Zotu15076			1				1	
Zotu4137	2	3	3	8	9	4	19	9
Zotu4825		6	1	1	1	4	9	2
Zotu12446				1	1	1	2	1
Zotu1739	10	4	7	2	5	9	6	2
Zotu17868								
Zotu6986				1		1		
Zotu17947								
Zotu13717								
Zotu15575						1		
Zotu1660	1	5	5	3	3	5	6	7
Zotu8637	1					1	1	1
Zotu6755						1		
Zotu15741								
Zotu12927				2				1
Zotu8726								1
Zotu8691	2	1	1			1	2	
Zotu1305	17	13	16	6	17	17	25	5
Zotu11208					2			
Zotu17113	1						1	
Zotu17225	1		1		1		2	1
Zotu10835	3			3	1	1		2
Zotu14222	2							
Zotu9234				1			3	1
Zotu15538								
Zotu17370								1
Zotu11871			2					2
Zotu17261								
Zotu18792								
Zotu707	1	2	6	5	2	5	1	10
Zotu1255	2	2	3	2		2	3	7
Zotu1053	3	6	6	7	9	6	4	7
Zotu3165	1	1	6	5	2	4	1	1
Zotu2596		3		1	3	1	2	
Zotu3622	5	1	1					
Zotu17825					2		1	
Zotu12136				1				1
Zotu12932								1
Zotu16113								1
Zotu6426		1	2	1	1		2	2
Zotu3707	2	1	1	5	2	1	4	6
Zotu9999		1	1	1	1	1	1	1
Zotu19819					1			
Zotu20792			1					
Zotu14707						2		
Zotu8879	1						1	1
Zotu14523		1			2			
Zotu9621								
Zotu6655	2							1
Zotu9254			1					
Zotu20316								
Zotu14145								
Zotu20348	1							
Zotu5192	2				1	2		
Zotu7355								
Zotu1830								
Zotu10272								1
Zotu17663							1	
Zotu3151	8	7	5	2	6	3	9	4
Zotu7813		2		2	1		1	
Zotu15431		1						
Zotu1152	11	6	5	7	5	2	17	10
Zotu18669						1	1	
Zotu10226		1					2	
Zotu18858		1	1					
Zotu18672					1			
Zotu233	10	28	11	23	36	17	44	16
Zotu7152				2				
Zotu18467		2						
Zotu14152								
Zotu5916								
Zotu446	6	2	3	3	1	5	9	4
Zotu13129						1		1
Zotu5752				2			1	
Zotu999	10	8	6	13	6	6	17	14
Zotu13199				1				1
Zotu18061	1			2				
Zotu6806		1	1	1	7		2	
Zotu3129	2	5			2	1	3	
Zotu7341		1						1
Zotu13678								
Zotu462	6	16	7	5	11	3	15	6
Zotu815	7	10	2		7	4	5	
Zotu3236	4				1	4		
Zotu6933	1	1				2	2	
Zotu2146			1			1		
Zotu5960								
Zotu11246								
Zotu4439		1		2	2	2	3	2
Zotu14439	3		1	2				
Zotu18030	1		1				1	
Zotu12586								
Zotu16863					1	1		1
Zotu19808							3	
Zotu363	13	14	16	6	10	13	25	26
Zotu8285			3	1				3
Zotu5761				1				1
Zotu4873	1				1			
Zotu7884								
Zotu3662	2			4				1
Zotu11068					3			1
Zotu12715							1	2
Zotu15117		1						1
Zotu6878			1	1			1	
Zotu9854		2						
Zotu10431		3						
Zotu3230	3	5	1	1	2	4	5	4
Zotu8164		2	4		2	2	2	1
Zotu15034	1				1			
Zotu19427	1		3				1	
Zotu11179							1	
Zotu10953	1			2	1	3	3	1
Zotu13988						2		
Zotu19340								
Zotu7241	1							
Zotu857	4		1	2	3		1	13
Zotu2425	5	1	4	2	1	4	3	13
Zotu292	13	20	16	17	6	13	16	26
Zotu2329	1	3	8	4	2	2	2	11
Zotu9972	2	1		2				1
Zotu445	29	38	43	32	21	25	28	51
Zotu14899		1					1	
Zotu18099								
Zotu6508	1							
Zotu17066	1							
Zotu19055								
Zotu12062		2						
Zotu16494		1						
Zotu10834								
Zotu14646								
Zotu3410								
Zotu9279								
Zotu9393								
Zotu5516				1				2
Zotu11610				2	1			1
Zotu2398	1				1			
Zotu389	67	65	88	38	45	46	88	63
Zotu5039		1	4	1	1			1
Zotu12727								2
Zotu5802		2			2		5	3
Zotu15802								
Zotu18952					1	1		2
Zotu19418					1			2
Zotu5200		8	4	4	5	1		2
Zotu9010			1		5	1	1	1
Zotu16669	2				1			
Zotu12702					1			
Zotu14739								
Zotu16681								
Zotu11721								1
Zotu14572								
Zotu4846	1	6			2		2	
Zotu5031								1
Zotu11354		1					1	
Zotu10041								
Zotu15331				1	2		1	
Zotu7551		2	1	1				
Zotu10865								
Zotu14837								
Zotu14237		1	1					
Zotu10844								
Zotu13263								
Zotu16179		1						
Zotu3479						1	1	
Zotu16607								
Zotu3894	1							2
Zotu6460							1	1
Zotu14340								
Zotu16234						1		
Zotu17905			1					
Zotu14265								
Zotu13446						1	1	
Zotu13742								
Zotu11887								
Zotu10729		2	1				3	
Zotu18563			1					
Zotu18192		1	2				1	
Zotu6795	1					1	1	
Zotu5596		1	2	4	2		4	3
Zotu20045			1					
Zotu9547		1	1			2	7	
Zotu15172								
Zotu20528					1			
Zotu6554	1							1
Zotu17410								
Zotu11938			1				4	1
Zotu9367			1					
Zotu6972						1	1	
Zotu16136	1			1				
Zotu2215								
Zotu2932				1				
Zotu6729	2	1	5	3	2		4	4
Zotu624	20	19	39	23	19	17	30	30
Zotu4016			1		1			
Zotu4651	2	1	2		1		1	3
Zotu3850	4	3	4	2	5	4	4	3
Zotu4883	2	2		3	1	1	4	1
Zotu5055	1	4		1	2	1	3	2
Zotu9312		1	3			2	5	2
Zotu4534								
Zotu8230						1		
Zotu3616						2		
Zotu4471		1			3			
Zotu13142								
Zotu2080		3	3	3	2	1		
Zotu1977	4	6	1	4	2	1		1
Zotu7482								
Zotu7547				4				
Zotu5715		1	1	1				
Zotu3589	1							
Zotu9282					4	1		
Zotu6700		1		1				
Zotu7433					3	1	2	
Zotu5131		1	2	5	3	1		
Zotu260	26	40	21	18	22	20	28	23
Zotu780	6	9	15	8	17	9	4	12
Zotu14780								3
Zotu15338								2
Zotu15472								1
Zotu818	2	6	1	2	2	5	7	7
Zotu1990	1	4						
Zotu1510	3	3		2	2	2	2	
Zotu8088							1	
Zotu16793								
Zotu11589								
Zotu20192								
Zotu2982	1	2	1			3	1	1
Zotu7074								
Zotu19293								
Zotu1507	3	5	2	2	5	6	7	3
Zotu15565		1			1	2		
Zotu18345								
Zotu14774					1	1	1	
Zotu5304	4	2		3	1	1	1	1
Zotu6917		1		1			2	1
Zotu12862	2	1				1		
Zotu6934	1	6	1	1	6	4		
Zotu8802					1	1		
Zotu4402	15	5	3		2	6	4	3
Zotu14645	2			1			2	
Zotu11440								1
Zotu2065		1		1		1		2
Zotu13881								
Zotu2664							1	
Zotu16252								2
Zotu7198							1	
Zotu14288								
Zotu20737				1				
Zotu4233	2	2	6	1		3	3	3
Zotu19153	1	1			2			2
Zotu5277		1	2			1		3
Zotu11489	1	1				2		
Zotu9511								
Zotu3019	2	5		1	3	16	3	1
Zotu3005								
Zotu8851			6	1				7
Zotu14848		2		3				
Zotu7179								
Zotu18454								
Zotu16518								
Zotu20347								
Zotu3985	1	7	2	2	1			
Zotu13408			1					1
Zotu3338								
Zotu8769								
Zotu9653								
Zotu2703								
Zotu4421	1	1	3	1		2	1	
Zotu9917					3			
Zotu12372						5		1
Zotu14336					2		3	10
Zotu9371		1	2					
Zotu18752	1		2				2	
Zotu11213		1						
Zotu12790	1	2	1	2	1			1
Zotu5927	1	3	4		2			
Zotu19394					2			
Zotu12592								1
Zotu7139			1	2	1		2	1
Zotu20272	1					2	2	
Zotu4394	1	3	1		3			
Zotu4423		4	2	1		1		1
Zotu18518				1				
Zotu5328	1	1	16	1	2	8	4	
Zotu725	15	12	13	109	83	26	1	8
Zotu688	2	17	28	5	8	1	6	10
Zotu227	79	57	47	79	49	68	119	106
Zotu3827					1	5		2
Zotu13349								
Zotu1386	1	11	8	8	11	6	1	11
Zotu2446	5	5	5	2	1	1	1	6
Zotu12503		2			1			4
Zotu2943	1	2		4	1	3		2
Zotu5270		2			2	2		7
Zotu7119						1		2
Zotu6964		2	3	3	2	1		2
Zotu7252			1		1		1	
Zotu6837		3	2	2		6	1	4
Zotu16133	2			1		3		3
Zotu11729							2	1
Zotu17386								
Zotu11258					2			
Zotu19233		1						
Zotu2985								
Zotu20227								
Zotu11496	2	2	1	1				1
Zotu6409		1		1	1			3
Zotu10717			1	1		2	2	1
Zotu14715		1						
Zotu12260							1	
Zotu12035	1		1	1		1		
Zotu12024			2	1	1		1	1
Zotu12558	2					1		
Zotu5181		1		3		3		1
Zotu17087								
Zotu6648						4		
Zotu5909	3	2	4		3		1	4
Zotu1187	4	7	6	6	4	10	2	36
Zotu5099					2			3
Zotu4988		1		2	2	2	4	12
Zotu12320		2					1	3
Zotu20178								
Zotu166	52	115	77	86	123	96	41	33
Zotu258	51	54	43	51	71	48	20	25
Zotu18310								
Zotu11737			1		3			
Zotu13233		1	1					
Zotu19321	1	1						
Zotu3204	8	8	9	9	14	2	9	
Zotu4618	3	7	2	3	4	5	4	
Zotu894	7	6	11	16	5	5	3	4
Zotu19938								
Zotu2503	1	1	2	1	4	2	1	5
Zotu8398			2	1				
Zotu19771								
Zotu4691	1			3	1	2	3	
Zotu8156			1	1	1			
Zotu11521					1			
Zotu14564								
Zotu109	77	109	65	71	84	48	36	29
Zotu809	11	9	6	9	13	2	7	6
Zotu5214		1	1	2			1	1
Zotu1207	6	6	3	2	7	1	6	4
Zotu2112	2	2	3	5	4	2	3	4
Zotu15926					1			1
Zotu1798	2	3	2	2	2	4		4
Zotu415	5	14	10	3	11	5	9	3
Zotu245	27	34	26	30	47	19	15	15
Zotu2556	1	3	1		1	1	2	
Zotu1257	2	7	1	5	8	3	4	2
Zotu14440	2	1	1		4		2	1
Zotu17420								
Zotu4303		5		1		1		
Zotu9943								
Zotu8546					1			
Zotu15101					2			
Zotu10077							1	
Zotu14658		2	3					
Zotu3585	1	2	1		3	3	2	
Zotu9594			1		2			
Zotu19551								
Zotu13990	1							
Zotu16760			1		1			
Zotu2742	7	6	3	5	9	5	8	1
Zotu13926								
Zotu1051	8	11	8	8	17	12	8	11
Zotu4575	4	3		1	1	3	1	
Zotu11994								
Zotu787	41	28	25	23	18	22	9	20
Zotu19278	1							
Zotu5000		1	4	2		1	3	2
Zotu15586							1	
Zotu11251		1				1		
Zotu15307				1				
Zotu4977				3	2			
Zotu8912		2	1	1				1
Zotu10908	1					2		1
Zotu14600						1		
Zotu8420			1					
Zotu7544								1
Zotu4429	1	2				1		5
Zotu5302	4				34			1
Zotu3240		1			6		3	7
Zotu7479				2				1
Zotu1632	1	5			1	2	2	2
Zotu8184						1		
Zotu12580		1						
Zotu8457			2			3		3
Zotu17955								2
Zotu20062		2						1
Zotu5460								3
Zotu15998							2	
Zotu16769								
Zotu17553								
Zotu17581								
Zotu8714								
Zotu6106					2			
Zotu16610								
Zotu8914								
Zotu228	31	33	29	30	37	15	27	13
Zotu832	11	9	11	7	16	9	5	11
Zotu994	9	16	8	10	7	13	1	7
Zotu14182	3		1		1			1
Zotu616	9	32	23	7	22	9	10	18
Zotu1245	8	6	8	5	5	2	3	15
Zotu3321	1	3			5	3	1	
Zotu2644	3	4	1		1	2	6	3
Zotu16032								6
Zotu20182				1				1
Zotu9394	1		1					
Zotu14623		2	1		1		1	3
Zotu14344		1	1	1		1	2	2
Zotu20222		1						
Zotu4984		1	1	3	2	1	2	6
Zotu10215		3	2	2	5			1
Zotu9873					1			
Zotu18616								
Zotu6602		3	1		4		3	2
Zotu3663	1			6		4		3
Zotu4417		6		2	2	1	1	5
Zotu9950						1		
Zotu10683				2	2	1	1	1
Zotu14131							2	
Zotu19544								1
Zotu10538					3	2	2	2
Zotu18803								
Zotu13993	1				1			
Zotu12025			1					1
Zotu10432				1				
Zotu8562			2			2		1
Zotu13344								
Zotu2633	7	2	3	3	4	2	2	3
Zotu18606								1
Zotu6413		3	1	2	1			1
Zotu11539					2			
Zotu12229								
Zotu18805								
Zotu8168	1	4	4	1	2	1		
Zotu11490				1	1			
Zotu14688	1	2	1					
Zotu15020								
Zotu17286		2		1				
Zotu17744	2							
Zotu14244		1	1	1				
Zotu14802			1	1				
Zotu16770		1		1				
Zotu11754	1	1						
Zotu20473								
Zotu4597	2	3		2	5		3	
Zotu13924		1				1		
Zotu19925								
Zotu9038	2		1		1			
Zotu19318		1			1	1		
Zotu8325	4	1		1	4	1		
Zotu3527	3	3	2	7	5	3	2	1
Zotu3955	2	7	3	6	11	6		2
Zotu14801	3					1		
Zotu15682					1			
Zotu14990								
Zotu16820								
Zotu18637								2
Zotu19856								
Zotu18205					2			
Zotu11441				2		1		
Zotu15903						1		1
Zotu12180	1		2	1	1	2		
Zotu17428	1	1	1	2	1			1
Zotu4381	2	4	5	4	1	4	3	12
Zotu12756	1		1				1	
Zotu14839	1						1	1
Zotu16856								
Zotu20296								
Zotu14761							8	
Zotu20358								
Zotu5474	1		3	2	2	2	8	2
Zotu5843		1	2	2	4	2	2	2
Zotu16861		1	1					
Zotu10307				1	2			1
Zotu17284		1	1	4	3	2	1	
Zotu3800	7	6	7	3	12	3	6	13
Zotu1765	9	7	9	15	25	6	13	6
Zotu1535	11	6	14	21	11	16		17
Zotu14867			1					1
Zotu14686			2	2				
Zotu16265			1	1			1	1
Zotu18248			2			1	2	
Zotu18463			1		2			1
