ID	rs_cd_1	rs_cd_2	rs_cd_3	rs_cd_4	rs_cd_5	rs_cd_6	rs_cd_7	rs_cd_8
Zotu12448								
Zotu17050								
Zotu13482								
Zotu18313								
Zotu12621							1	
Zotu4772						1		
Zotu13569	1							
Zotu13576								
Zotu19888								
Zotu10166	1							
Zotu15916								
Zotu2024								
Zotu5580								
Zotu10566				1				
Zotu11303								
Zotu12951								
Zotu7920								
Zotu5621								
Zotu16352								1
Zotu13486					1			
Zotu18954								
Zotu7757								
Zotu11205								
Zotu10466								
Zotu14137								
Zotu17618								
Zotu4909								
Zotu2512	4		3	6		9		
Zotu7788		1						
Zotu9712								
Zotu9342								
Zotu10526						1		
Zotu5448								
Zotu12326			1		1			
Zotu8717								
Zotu4639							1	
Zotu5642					3			
Zotu14306								
Zotu14557								
Zotu10175					1			
Zotu20618								
Zotu8553								
Zotu7017								
Zotu17978								
Zotu8020					1			1
Zotu3009					1			
Zotu19790								
Zotu12655					1		1	
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750		46	2	2				1
Zotu18585						2	1	
Zotu15951								
Zotu16422								18
Zotu2517								
Zotu18523								
Zotu1552								
Zotu180				1				
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564			1			1		
Zotu20140								3
Zotu8417	2	7	7	3	1	3	2	7
Zotu14768	2	6	2		1			3
Zotu11529								
Zotu17015								
Zotu18318	1				3			
Zotu13340						4	1	
Zotu20417							2	
Zotu9970		1						
Zotu15748								
Zotu6149	2			1				
Zotu15438							1	
Zotu17956								
Zotu20790	1							
Zotu7626								
Zotu17845								
Zotu18290						2		
Zotu9121								
Zotu17219								
Zotu17069								
Zotu7130					2			
Zotu20833								
Zotu3496		1					158	
Zotu9385	3	1		2			2	
Zotu19126							1	
Zotu6270		2					1	1
Zotu16680					1		26	
Zotu4601	1			1		1		1
Zotu358	3	8	6	1	28		8	6
Zotu5864					1			
Zotu5771						2		
Zotu11633		1			4	2	1	
Zotu105	37	30	50	9	90	29	32	7
Zotu5517								
Zotu2710	2	1		5	1	1		
Zotu6738	1				2	2		
Zotu17274			2	1		1		1
Zotu17758		2			1		1	
Zotu20596								
Zotu3727		2		2		3	1	1
Zotu13299								
Zotu16314					3			
Zotu19628								
Zotu20365					1			1
Zotu1371	8	16	17	14	43	20	37	14
Zotu1523	7	9	8	4	17	14	11	3
Zotu835	9	3	9	7	21	25	19	4
Zotu2736	4	3	3	1	1	1	4	1
Zotu4165	4		3	1	1	1	2	
Zotu2052	9	9	6	7	10	15	10	3
Zotu15836	2	4	1	1	7	1	2	
Zotu1073	2	10	10	5	30	10	5	1
Zotu3970	1						2	
Zotu4518		2						
Zotu3039			1		5			1
Zotu204	18	11	19	21	76	34	24	11
Zotu328	3	29	10	26	30	40	26	2
Zotu4371								
Zotu6098								
Zotu35	34	60	58	46	336	67	172	33
Zotu337	5	9	1	10	120	4	1	8
Zotu7429								
Zotu13596	1	2	1	1	2	1	2	1
Zotu20441					2			
Zotu444	8	12	10	16	29	20	20	12
Zotu880	9	3	6	9	8	12	1	
Zotu315	10	36	41	21	131	29	39	40
Zotu5443			1	1		1		
Zotu8703					1	1		
Zotu20470								
Zotu982	3	4	6	14	8	13	5	3
Zotu1233	2	3	9	9	2	6	5	2
Zotu9405			1					
Zotu425	5	2	9	13	2	17	10	2
Zotu4874	1					2	3	
Zotu15459								
Zotu18548	1	2			1			
Zotu10137								
Zotu11520								
Zotu17326					1			
Zotu5688		1		3		2	1	
Zotu17127		1						
Zotu9958	1	2		1	1		1	1
Zotu18705		1			2			
Zotu12818								
Zotu4875		1		3	1	1		1
Zotu11762		2						
Zotu13239	3							2
Zotu3508	2	1	1			1	4	1
Zotu7316		3	1	1	2	1	1	
Zotu13139				1				
Zotu2013	2	1				4		6
Zotu8412		1		1	1			
Zotu13426					3			
Zotu5118			3		2	1		
Zotu17863								
Zotu9929				2	3			
Zotu1484	3	3	5	4	1	4	3	
Zotu14424					1			
Zotu747	4	1	4	4	3	14		
Zotu1722	7	4	5	15	10	4	1	2
Zotu5204			2		1	1	2	1
Zotu15779							1	
Zotu5360			9	1			4	
Zotu947	6	9	7	21	33		11	6
Zotu3816					1	1		1
Zotu3615		1		2		1		
Zotu4625		2			2			1
Zotu3183	2			2	1	1		
Zotu20260			1					
Zotu18419								
Zotu17243								
Zotu507								
Zotu8328								
Zotu2196					1			
Zotu3421		1			3	1		1
Zotu4457								
Zotu4792					1	1		
Zotu7296								
Zotu9478					1		1	
Zotu179	3	11	7	36	9	5	9	3
Zotu297			1	4	2	7	4	3
Zotu424			16	12	10	4	9	5
Zotu1011	1	2	9	13	8	10	8	3
Zotu2378	2		2	3	6		6	2
Zotu5975						1	1	
Zotu11408			1					
Zotu17503								
Zotu19527								
Zotu1250	5	2	8	5	1	8	6	6
Zotu675	10	7	5	14	5	15	8	4
Zotu3210	4		2	9	1		4	
Zotu7988								
Zotu11292	1							
Zotu540	6	5	6	22	2	9	11	6
Zotu790	6	3	5	19	2	16	8	11
Zotu2755	1			2	3	1	4	4
Zotu4216				1				4
Zotu400	24	25	15	28	45	20	17	32
Zotu24	224	287	474	441	270	304	242	306
Zotu1892	1	8		2	2	5	7	3
Zotu18820				2				
Zotu7145			1	1				
Zotu19813								
Zotu10688			2	1	1			
Zotu2693			3			2		1
Zotu3824	1			1	1		2	
Zotu4718			1			1		
Zotu17677			1	2		1	1	
Zotu8654		1	1	4	2	3		
Zotu16245				1			1	1
Zotu12366	3	4		3		1		
Zotu2653	3			3		3	1	4
Zotu3778	1	1	3	4	3	3	1	
Zotu3348	1			1	2		3	5
Zotu2535		5	4	3	4	1	1	3
Zotu3811	3	1	2	1	1		2	
Zotu15688								
Zotu14444		1						
Zotu2566	2	3	10	2	2	2	1	47
Zotu1132	12	10	78	6	10	5	3	40
Zotu7979	6	6	12	9	7	8	4	9
Zotu3646	3	3	3	4	2	2	1	1
Zotu16135	1	2	4	1		1	2	4
Zotu7542	1		1					4
Zotu19093								
Zotu17313								
Zotu5446					2	4		
Zotu13313								
Zotu15919								
Zotu8048		1		1	5			
Zotu12983								
Zotu6260					1			
Zotu13586					1			
Zotu19435								
Zotu15205								
Zotu5786				3	1			
Zotu5159	1				1			1
Zotu7243								
Zotu9283			1	2	4			
Zotu6069	1		5	1	2	1	4	
Zotu13466		1		1				
Zotu16465								1
Zotu11158								
Zotu568	16	18	20	4	19	2	11	5
Zotu9054			1					
Zotu15611			1	1				
Zotu15377								
Zotu17295								
Zotu648	7	7	8	5	17	9	9	9
Zotu18468								
Zotu3710	1			1			1	
Zotu8925	1	1			2			
Zotu12676	5	2						
Zotu12877			1					
Zotu1240	2	21	4	9	8	9	2	4
Zotu6618		1	6					
Zotu14537	1		1	1				
Zotu19476	1	4	1		1	1		2
Zotu5232	2	4	4	5	2	2	1	2
