Zotu,com_id,cor,p
Zotu360,Com_12377_pos,0.904761905,0.002008276
Zotu360,Com_16717_neg,-0.857142857,0.006530017
Zotu164,Com_21014_neg,0.838338383,0.009323116
Zotu360,Com_1618_neg,-0.928571429,0.000862968
Zotu202,Com_6165_pos,-0.904761905,0.002008276
Zotu202,Com_12204_pos,-0.904761905,0.002008276
Zotu240,Com_15204_neg,0.862290909,0.005872991
Zotu169,Com_12005_neg,0.880952381,0.00385032
Zotu240,Com_6062_neg,0.874267171,0.004512386
Zotu240,Com_9970_neg,0.874267171,0.004512386
Zotu69,Com_9970_neg,0.857142857,0.006530017
Zotu192,Com_895_pos,-0.880952381,0.00385032
Zotu192,Com_3601_pos,0.928571429,0.000862968
Zotu240,Com_19721_pos,-0.850314646,0.007471415
Zotu202,Com_2294_pos,-0.857142857,0.006530017
Zotu169,Com_26097_pos,-0.904761905,0.002008276
Zotu12,Com_14549_pos,0.857142857,0.006530017
Zotu164,Com_2927_pos,0.862290909,0.005872991
Zotu79,Com_4838_pos,-0.857142857,0.006530017
Zotu10,Com_17900_pos,-0.874267171,0.004512386
Zotu190,Com_23938_pos,-0.871575794,0.004798257
Zotu192,Com_11776_pos,-0.904761905,0.002008276
Zotu10,Com_28510_pos,-0.886243434,0.003373343
Zotu169,Com_22087_neg,0.857142857,0.006530017
Zotu192,Com_343_pos,0.880952381,0.00385032
Zotu202,Com_15712_pos,-0.880952381,0.00385032
Zotu79,Com_7295_neg,-0.857142857,0.006530017
Zotu240,Com_15121_pos,-0.874267171,0.004512386
Zotu12,Com_4250_neg,-0.857142857,0.006530017
Zotu169,Com_21571_neg,0.880952381,0.00385032
Zotu190,Com_4645_neg,0.871575794,0.004798257
Zotu192,Com_22958_pos,-0.857142857,0.006530017
Zotu192,Com_6890_neg,0.857142857,0.006530017
Zotu240,Com_3932_pos,-0.838338383,0.009323116
Zotu44,Com_12636_pos,-0.862290909,0.005872991
Zotu202,Com_23252_pos,0.857142857,0.006530017
Zotu202,Com_3162_neg,-0.857142857,0.006530017
Zotu190,Com_14140_pos,0.883851509,0.003583935
Zotu190,Com_19767_neg,0.834748647,0.009929687
Zotu240,Com_6710_neg,0.874267171,0.004512386
Zotu360,Com_9122_neg,-0.928571429,0.000862968
Zotu202,Com_7023_neg,-0.857142857,0.006530017
Zotu79,Com_2491_neg,0.928571429,0.000862968
Zotu240,Com_12173_neg,0.886243434,0.003373343
Zotu69,Com_12173_neg,0.904761905,0.002008276
Zotu240,Com_7300_neg,0.934148484,0.000679106
Zotu190,Com_10651_pos,-0.834748647,0.009929687
Zotu192,Com_4554_pos,-0.880952381,0.00385032
Zotu192,Com_110_pos,-0.857142857,0.006530017
Zotu10,Com_814_neg,0.862290909,0.005872991
Zotu44,Com_814_neg,0.898219696,0.002438797
Zotu202,Com_2378_pos,-0.857142857,0.006530017
Zotu44,Com_18389_neg,-0.850314646,0.007471415
Zotu190,Com_5538_neg,-0.834748647,0.009929687
Zotu44,Com_11981_pos,0.910195959,0.001690861
Zotu32,Com_2363_neg,-0.904761905,0.002008276
Zotu12,Com_4185_pos,0.904761905,0.002008276
Zotu164,Com_4212_pos,0.850314646,0.007471415
Zotu192,Com_11168_pos,-0.904761905,0.002008276
Zotu44,Com_13536_pos,0.922172222,0.001110817
Zotu360,Com_54_neg,0.857142857,0.006530017
Zotu10,Com_4535_pos,0.922172222,0.001110817
Zotu202,Com_579_pos,0.880952381,0.00385032
Zotu12,Com_4371_pos,-0.904761905,0.002008276
Zotu44,Com_586_neg,0.850314646,0.007471415
Zotu169,Com_25905_pos,0.857142857,0.006530017
Zotu360,Com_25905_pos,-0.857142857,0.006530017
Zotu79,Com_855_neg,-0.857142857,0.006530017
Zotu164,Com_28920_pos,-0.874267171,0.004512386
Zotu240,Com_3559_neg,-0.898219696,0.002438797
Zotu202,Com_5732_pos,-0.880952381,0.00385032
Zotu240,Com_3935_pos,0.850314646,0.007471415
Zotu169,Com_2609_pos,0.928571429,0.000862968
Zotu360,Com_2609_pos,-0.928571429,0.000862968
