Zotu,com_id,cor,p
Zotu23,Com_11545_neg,-0.922172222,0.001110817
Zotu100,Com_11615_neg,0.886243434,0.003373343
Zotu48,Com_11615_neg,0.945230086,0.000394052
Zotu48,Com_11625_neg,-0.896127224,0.00258811
Zotu48,Com_11698_pos,-0.90840294,0.001791685
Zotu48,Com_11726_pos,-0.90840294,0.001791685
Zotu48,Com_11731_neg,-0.847024363,0.007954271
Zotu48,Com_11776_pos,0.871575794,0.004798257
Zotu48,Com_11777_pos,-0.90840294,0.001791685
Zotu119,Com_11788_pos,0.934148484,0.000679106
Zotu48,Com_11795_pos,-0.883851509,0.003583935
Zotu13,Com_118_pos,0.934148484,0.000679106
Zotu36,Com_1182_neg,0.843434712,0.008503234
Zotu48,Com_11843_pos,-0.883851509,0.003583935
Zotu48,Com_11865_neg,-0.969781517,6.74E-05
Zotu73,Com_11895_pos,-0.843434712,0.008503234
Zotu128,Com_11962_pos,-0.850314646,0.007471415
Zotu13,Com_11962_pos,-0.970077272,6.55E-05
Zotu314,Com_11985_neg,0.883851509,0.003583935
Zotu32,Com_12000_neg,-0.874267171,0.004512386
Zotu51,Com_12005_neg,0.880952381,0.00385032
Zotu169,Com_1201_pos,0.969781517,6.74E-05
Zotu10,Com_1201_pos,0.838338383,0.009323116
Zotu187,Com_1201_pos,0.902707567,0.002137647
Zotu32,Com_12075_pos,-0.874267171,0.004512386
Zotu165,Com_12075_pos,-0.928571429,0.000862968
Zotu51,Com_12075_pos,-0.880952381,0.00385032
Zotu314,Com_12141_pos,-0.90840294,0.001791685
Zotu125,Com_12167_pos,0.928571429,0.000862968
Zotu314,Com_12195_pos,-0.896127224,0.00258811
Zotu31,Com_12377_pos,0.850314646,0.007471415
Zotu14,Com_12495_pos,-0.836501913,0.009630399
Zotu48,Com_12500_pos,-0.871575794,0.004798257
Zotu130,Com_1254_neg,0.853912564,0.006965288
Zotu192,Com_1254_neg,-0.880952381,0.00385032
Zotu343,Com_12573_neg,0.862290909,0.005872991
Zotu48,Com_12573_neg,-0.834748647,0.009929687
Zotu48,Com_12623_neg,-0.834748647,0.009929687
Zotu100,Com_12636_pos,0.898219696,0.002438797
Zotu1,Com_12636_pos,-0.902707567,0.002137647
Zotu48,Com_12840_neg,-0.896127224,0.00258811
Zotu314,Com_12859_pos,-0.945230086,0.000394052
Zotu32,Com_12881_pos,-0.850314646,0.007471415
Zotu23,Com_12881_pos,-0.946124747,0.000375312
Zotu14,Com_1290_neg,0.836501913,0.009630399
Zotu8,Com_1290_neg,-0.857142857,0.006530017
Zotu45,Com_1290_neg,-0.904761905,0.002008276
Zotu219,Com_1290_neg,-0.857142857,0.006530017
Zotu167,Com_1290_neg,0.867532847,0.005249136
Zotu12,Com_12910_neg,0.880952381,0.00385032
Zotu165,Com_12928_pos,-0.928571429,0.000862968
Zotu48,Com_1293_neg,-0.883851509,0.003583935
Zotu12,Com_12962_neg,0.904761905,0.002008276
